monitor,wavelength_nm,z_nm,monitor_T_signed,raw_power_W,sourcepower_W,raw_over_sourcepower,path_C_available,path_A,path_B,path_C,path_AB_diff
N1_DIAG_UPPER_OUTSIDE,450.0,610.0,0.7351751071064471,6.917515135983435e-16,9.409343527979164e-16,0.735175107106447,False,0.7351751071064471,0.735175107106447,nan,1.1102230246251565e-16
N1_DIAG_UPPER_OUTSIDE,450.9999999999999,610.0,0.7388619842826455,6.952664512457597e-16,9.40996378262427e-16,0.7388619842826456,False,0.7388619842826455,0.7388619842826456,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_OUTSIDE,451.99999999999994,610.0,0.7572916078400274,7.126553212316812e-16,9.410579938477607e-16,0.7572916078400272,False,0.7572916078400274,0.7572916078400272,nan,1.1102230246251565e-16
N1_DIAG_UPPER_OUTSIDE,453.00000000000006,610.0,0.7525632969127721,7.082517703138491e-16,9.411192031544703e-16,0.7525632969127721,False,0.7525632969127721,0.7525632969127721,nan,0.0
N1_DIAG_UPPER_OUTSIDE,453.9999999999999,610.0,0.7652942821791616,7.202796799581723e-16,9.411800097436883e-16,0.7652942821791617,False,0.7652942821791616,0.7652942821791617,nan,-1.1102230246251565e-16
N1_DIAG_UPPER_OUTSIDE,455.00000000000006,610.0,0.763986015202453,7.190945156364867e-16,9.412404171376484e-16,0.763986015202453,False,0.763986015202453,0.763986015202453,nan,0.0
N1_DIAG_PML_UPPER,445.0,1100.0,0.7763392988090079,7.30238678541038e-16,9.406179484425257e-16,0.7763392988090079,False,0.7763392988090079,0.7763392988090079,nan,0.0
N1_DIAG_PML_UPPER,445.99999999999994,1100.0,0.7782307279186611,7.320676988684723e-16,9.406820787279249e-16,0.7782307279186612,False,0.7782307279186611,0.7782307279186612,nan,-1.1102230246251565e-16
N1_DIAG_PML_UPPER,446.99999999999994,1100.0,0.768629125704526,7.230846067924659e-16,9.407457805215044e-16,0.768629125704526,False,0.768629125704526,0.768629125704526,nan,0.0
N1_DIAG_PML_UPPER,448.00000000000006,1100.0,0.7791692465442472,7.330494845747354e-16,9.408090576289282e-16,0.7791692465442474,False,0.7791692465442472,0.7791692465442474,nan,-1.1102230246251565e-16
N1_DIAG_PML_UPPER,449.0,1100.0,0.7469237228609715,7.02759552601085e-16,9.408719138137389e-16,0.7469237228609715,False,0.7469237228609715,0.7469237228609715,nan,0.0
N1_DIAG_PML_UPPER,450.0,1100.0,0.7355416505276317,6.920964068951283e-16,9.409343527979164e-16,0.7355416505276317,False,0.7355416505276317,0.7355416505276317,nan,0.0
N1_DIAG_PML_UPPER,450.9999999999999,1100.0,0.7385254621307853,6.94949785119654e-16,9.40996378262427e-16,0.7385254621307853,False,0.7385254621307853,0.7385254621307853,nan,0.0
N1_DIAG_PML_UPPER,451.99999999999994,1100.0,0.7575653469729652,7.129129256309614e-16,9.410579938477607e-16,0.7575653469729652,False,0.7575653469729652,0.7575653469729652,nan,0.0
N1_DIAG_PML_UPPER,453.00000000000006,1100.0,0.7523985429733444,7.080967172176583e-16,9.411192031544703e-16,0.7523985429733443,False,0.7523985429733444,0.7523985429733443,nan,1.1102230246251565e-16
N1_DIAG_PML_UPPER,453.9999999999999,1100.0,0.7653060370323327,7.202907433909944e-16,9.411800097436883e-16,0.7653060370323328,False,0.7653060370323327,0.7653060370323328,nan,-1.1102230246251565e-16
N1_DIAG_PML_UPPER,455.00000000000006,1100.0,0.7641447312863922,7.192439056295399e-16,9.412404171376484e-16,0.764144731286392,False,0.7641447312863922,0.764144731286392,nan,1.1102230246251565e-16
