tuple_id,mode,offset_deg,slot_0_candidate_id,slot_60_candidate_id,slot_120_candidate_id,slot_180_candidate_id,slot_240_candidate_id,slot_300_candidate_id,min_worst_ratio,min_worst_Tx,max_worst_matrix_error,max_candidate_phase_span_deg,max_relative_phase_error_deg,rms_relative_phase_error_deg,worst_wavelength_nm,tuple_pass_flag,failed_gates,recommendation
offset_153,global_offset_relabel,153.000000,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.523155,0.433866,0.532763,138.750059,90.736201,36.401208,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_213,global_offset_relabel,213.000000,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3.523155,0.433866,0.532763,138.750059,90.736201,36.401208,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_273,global_offset_relabel,273.000000,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,3.523155,0.433866,0.532763,138.750059,90.736201,36.401208,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_333,global_offset_relabel,333.000000,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.433866,0.532763,138.750059,90.736201,36.401208,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_030,global_offset_relabel,30.000000,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,3.523155,0.433866,0.532763,138.750059,93.736201,37.414307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_090,global_offset_relabel,90.000000,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,3.523155,0.433866,0.532763,138.750059,93.736201,37.414307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_150,global_offset_relabel,150.000000,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,3.523155,0.433866,0.532763,138.750059,93.736201,37.414307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_210,global_offset_relabel,210.000000,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,3.523155,0.433866,0.532763,138.750059,93.736201,37.414307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_270,global_offset_relabel,270.000000,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,3.523155,0.433866,0.532763,138.750059,93.736201,37.414307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
offset_330,global_offset_relabel,330.000000,H500DIMER12D_001_B300_x_pair_swap_G70_O-30,H500DIMER2C_004_B120_x_pair_swap_G60_O-20,H500DIMER2H_003_B120_y_pair_noswap_G22_O-30,H500DIMER2H_001_B120_y_pair_noswap_G20_O-30,H500DIMER12A_004_B240_x_pair_swap_G90_O-30,H500DIMER2D_006_B240_x_pair_swap_G80_O-30,3.523155,0.433866,0.532763,138.750059,93.736201,37.414307,450,false,ratio;Tx;matrix_error;relative_phase;rms_phase;candidate_gate,expand_240_300_or_global_search
