rank,diameters_nm,phase_fit_RMS_band_max,maximum_phase_error_over_band,maximum_step_drift_peak_to_peak,amplitude_CV_band_max,minimum_T_over_band,all_legacy_engineering_gates_pass
42,"100,120,130,145,170,185",11.880047798156738,23.35343360900879,40.431671142578125,0.1585022360086441,0.3582616448402405,False
43,"110,125,135,150,175,185",11.898687362670898,22.281442642211914,23.090913772583008,0.05035189911723137,0.740563690662384,False
44,"130,135,150,175,195,230",11.92193603515625,23.023685455322266,22.614486694335938,0.04989088699221611,0.740563690662384,False
45,"110,125,135,150,160,190",11.932729721069336,20.829818725585938,46.29981994628906,0.1902148723602295,0.27601373195648193,False
46,"115,130,135,155,175,195",12.068399429321289,16.921585083007812,19.181095123291016,0.048253338783979416,0.740563690662384,False
47,"125,135,155,185,195,230",12.090814590454102,23.24125099182129,26.52430534362793,0.048043593764305115,0.740563690662384,False
48,"115,125,135,155,175,190",12.125962257385254,18.75638771057129,23.090913772583008,0.04883093759417534,0.740563690662384,False
49,"100,120,130,150,155,185",12.140020370483398,22.468914031982422,17.041133880615234,0.006083434913307428,0.9550254940986633,False
50,"120,130,145,155,185,195",12.155660629272461,21.27973175048828,15.015068054199219,0.014133929274976254,0.909990131855011,False
51,"125,135,150,160,195,230",12.249899864196777,20.455196380615234,46.29981994628906,0.18488353490829468,0.27601373195648193,False
52,"125,145,155,175,195,230",12.260437965393066,18.99981117248535,26.52430534362793,0.034100066870450974,0.8141019940376282,False
53,"110,125,135,155,160,195",12.280890464782715,23.822532653808594,44.472679138183594,0.18753013014793396,0.27601373195648193,False
54,"105,120,130,145,175,185",12.312222480773926,26.441747665405273,15.735498428344727,0.0098150335252285,0.9423889517784119,False
55,"130,145,170,185,195,230",12.33026123046875,20.408695220947266,40.431671142578125,0.15824413299560547,0.3582616448402405,False
56,"115,125,145,150,175,195",12.33519172668457,23.19818687438965,17.554298400878906,0.014753526076674461,0.909990131855011,False
57,"125,130,150,175,190,210",12.349093437194824,25.604278564453125,23.423418045043945,0.05539591610431671,0.7140700817108154,False
58,"110,120,135,150,175,190",12.384771347045898,21.385509490966797,26.05698585510254,0.049753740429878235,0.740563690662384,False
59,"125,135,150,175,185,225",12.3984375,24.307100296020508,30.939939498901367,0.06717080622911453,0.6641677618026733,False
60,"125,135,155,160,195,230",12.447301864624023,24.039371490478516,44.472679138183594,0.18365596234798431,0.27601373195648193,False
61,"100,115,125,145,155,185",12.456195831298828,22.00804328918457,17.041133880615234,0.006629680283367634,0.9550254940986633,False
62,"120,135,150,175,190,210",12.493316650390625,22.412797927856445,26.389490127563477,0.06835933774709702,0.7140700817108154,False
63,"115,125,145,155,185,195",12.527302742004395,19.42025375366211,17.554298400878906,0.014273491688072681,0.909990131855011,False
64,"105,120,130,145,155,190",12.594815254211426,19.492759704589844,16.958717346191406,0.006383872590959072,0.9550254940986633,False
65,"120,130,145,155,185,210",12.761930465698242,25.731128692626953,26.389490127563477,0.055323608219623566,0.7140700817108154,False
66,"105,125,130,150,175,190",12.768983840942383,23.2232608795166,16.958717346191406,0.009831592440605164,0.9423889517784119,False
67,"110,125,145,155,175,195",12.797722816467285,22.41082000732422,19.69135093688965,0.015014438889920712,0.909990131855011,False
68,"105,120,130,145,175,190",12.807865142822266,23.921579360961914,16.958717346191406,0.009958582930266857,0.9423889517784119,False
69,"130,145,170,185,210,230",12.85981559753418,21.434885025024414,40.431671142578125,0.15719090402126312,0.3582616448402405,False
70,"125,145,155,185,195,230",12.889901161193848,22.240598678588867,26.52430534362793,0.03501760959625244,0.8141019940376282,False
71,"130,145,155,185,210,230",12.899002075195312,26.46457862854004,22.614486694335938,0.056539855897426605,0.7140700817108154,False
72,"110,125,135,145,175,190",12.90510368347168,25.073963165283203,23.090913772583008,0.0502319298684597,0.740563690662384,False
