evaluation_label,wavelength_nm,angle_deg,T_TE,T_TM,T_unpolarized,energy_residual,candidate_id,static_structure_id,topology
448nm,448.0,2.0,0.14698530292588594,0.14734303406775556,0.14716416849682074,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,3.0,0.14738074432578654,0.14818816158570564,0.1477844529557461,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,4.0,0.14787297693880258,0.14931449511666595,0.14859373602773426,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,5.0,0.14839739012979974,0.15066157951029355,0.14952948482004663,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,6.0,0.14886696931517773,0.15214716792861466,0.1505070686218962,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,7.0,0.14917065200971913,0.15366508315107305,0.1514178675803961,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,8.0,0.14917303836164,0.1550842110409251,0.15212862470128255,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,9.0,0.14871672821109588,0.15624977302486615,0.15248325061798101,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,10.0,0.14762875512076828,0.15698816878594984,0.15230846195335906,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,11.0,0.1457324295702221,0.15711651145222316,0.15142447051122263,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,12.0,0.14286510842878603,0.15645729589678845,0.14966120216278722,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,13.0,0.1389007967573419,0.1548573547764533,0.1468790757668976,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,14.0,0.13377423770854102,0.1522085524041022,0.1429913950563216,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,15.0,0.1275010097076053,0.1484661118714721,0.13798356078953872,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,16.0,0.12018735795306923,0.14365989116918304,0.13192362456112613,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,17.0,0.11202511638280623,0.13789497249844876,0.1249600444406275,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,18.0,0.10327112128156264,0.13134055775352133,0.11730583951754198,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,19.0,0.09421544560415161,0.12420943155302251,0.10921243857858706,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,20.0,0.08514624279107319,0.11673276371042392,0.10093950325074855,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,21.0,0.076319339451072,0.10913574899367161,0.09272754422237181,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,22.0,0.06793810561955656,0.10161845146863302,0.08477827854409478,5.551115123125783e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,23.0,0.06014520687206438,0.09434402463299683,0.07724461575253061,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,24.0,0.05302448950403628,0.08743427045963285,0.07022937998183457,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,25.0,0.04660951000222217,0.08097101045587335,0.06379026022904775,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,26.0,0.04089507696222652,0.07500116381135448,0.0579481203867905,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,27.0,0.03584900368515124,0.06954355767953384,0.05269628068234254,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,28.0,0.03142239076483461,0.06459598988064669,0.04800919032274065,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,29.0,0.02755772857122085,0.06014163476865656,0.0438496816699387,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,30.0,0.02419476249036379,0.056154361881649684,0.040174562186006735,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,31.0,0.02127441108688188,0.05260286721699818,0.03693863915194003,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,32.0,0.018741154336019646,0.04945370758040864,0.034097430958214145,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,33.0,0.016544306949783733,0.04667341514384898,0.03160886104681636,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,34.0,0.014638529600132257,0.04422989032799256,0.02943420996406241,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,35.0,0.012983851155519253,0.04209325670689192,0.02753855393120559,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,36.0,0.011545399867983927,0.040236332096535786,0.025890865982259856,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,37.0,0.010292979569413798,0.03863483718038531,0.024463908374899555,6.661338147750939e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,38.0,0.009200579977719232,0.03726743290584545,0.02323400644178234,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,39.0,0.008245876531511374,0.0361156528100639,0.02218076467078764,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,40.0,0.007409752051924265,0.03516377678871647,0.021286764420320365,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,41.0,0.006675857260758064,0.03439867806775515,0.020537267664256606,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,42.0,0.006030217480087509,0.03380966440258811,0.01991994094133781,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,43.0,0.005460886938551411,0.033388326910033565,0.019424606924292487,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,44.0,0.004957648729867846,0.03312840463867945,0.01904302668427365,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
