trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-36.071501567142846,9.648574794840017e-07
case,-0.7,-36.000612229693914,1.043632991776828e-06
case,-0.7,-35.92978656010103,1.1218583030470182e-06
case,-0.7,-35.85902427919125,1.198284824150591e-06
case,-0.7,-35.788325109424925,1.2717059352567262e-06
case,-0.7,-35.717688774881736,1.3409752781325825e-06
case,-0.7,-35.647115001246846,1.4050238076925385e-06
case,-0.7,-35.57660351579718,1.4628753376389491e-06
case,-0.7,-35.506154047387966,1.513660346083523e-06
case,-0.7,-35.43576632643925,1.556627841926747e-06
case,-0.7,-35.36544008492272,1.5911551307158449e-06
case,-0.7,-35.295175056348555,1.6167553588747284e-06
case,-0.7,-35.22497097575249,1.6330827567445604e-06
case,-0.7,-35.154827579682944,1.6399355429208067e-06
case,-0.7,-35.084744606188366,1.637256494061921e-06
case,-0.7,-35.014721794804665,1.6251312248444305e-06
case,-0.7,-34.94475888654274,1.603784261267123e-06
case,-0.7,-34.874855623876265,1.573573026346833e-06
case,-0.7,-34.80501175072943,1.5349798897649888e-06
case,-0.7,-34.73522701246498,1.4886024616772163e-06
case,-0.7,-34.665501155872256,1.4351423352508458e-06
case,-0.7,-34.59583392915542,1.3753925022217652e-06
case,-0.7,-34.526225081921766,1.3102236806511857e-06
case,-0.7,-34.456674365170215,1.2405698040188848e-06
case,-0.7,-34.38718153127986,1.1674129258288362e-06
case,-0.7,-34.31774633399865,1.0917677941498659e-06
case,-0.7,-34.24836852843221,1.0146663461916953e-06
case,-0.7,-34.179047871032786,9.371423644375199e-07
case,-0.7,-34.109784119588255,8.602165234080958e-07
case,-0.7,-34.04057703321124,7.84882040271793e-07
case,-0.7,-33.97142637232847,7.120911237422256e-07
case,-0.7,-33.90233189867004,6.427423945554682e-07
case,-0.7,-33.833293375258954,5.77669427846856e-07
case,-0.7,-33.76431056640069,5.176305435109594e-07
case,-0.7,-33.6953832376729,4.632999456755746e-07
case,-0.7,-33.62651115591516,4.1526028727629697e-07
case,-0.7,-33.55769408921894,3.739967108728227e-07
case,-0.7,-33.48893180691754,3.398923927476981e-07
case,-0.7,-33.42022407957621,3.1322559436669106e-07
case,-0.7,-33.351570678982334,2.941682037931804e-07
case,-0.7,-33.28297137813576,2.827857299107851e-07
case,-0.7,-33.21442595123916,2.790386945288758e-07
case,-0.7,-33.145934173688495,2.8278535177071144e-07
case,-0.7,-33.07749582206369,2.937856506578747e-07
case,-0.7,-33.00911067411918,3.11706345532836e-07
case,-0.7,-32.94077850877476,3.361271498757072e-07
case,-0.7,-32.87249910610643,3.6654782209549555e-07
case,-0.7,-32.80427224733734,4.0239606689368437e-07
case,-0.7,-32.73609771482879,4.430361326586859e-07
case,-0.7,-32.6679752920714,4.877779838783344e-07
case,-0.7,-32.59990476367632,5.358869275614635e-07
case,-0.7,-32.53188591536648,5.865935739368604e-07
case,-0.7,-32.463918533968,6.391040140449014e-07
case,-0.7,-32.39600240740168,6.92610100055449e-07
case,-0.7,-32.32813732467447,7.462997180484857e-07
case,-0.7,-32.2603230758712,7.993669474116964e-07
case,-0.7,-32.19255945214618,8.510220057934548e-07
case,-0.7,-32.12484624571507,9.005008835774533e-07
case,-0.7,-32.05718324984672,9.470745770202365e-07
case,-0.7,-31.989570258855093,9.900578344481484e-07
case,-0.7,-31.922007068091315,1.0288173352068303e-06
case,-0.7,-31.854493473935765,1.0627792263836628e-06
case,-0.7,-31.787029273790253,1.0914359476966894e-06
case,-0.7,-31.719614266070224,1.1143522804008293e-06
