geometry_id,wavelength_nm,polarization,lf_T_proxy,lf_eta_m-3,lf_eta_m-2,lf_eta_m-1,lf_eta_m+0,lf_eta_m+1,lf_eta_m+2,lf_eta_m+3,lf_source,lf_scope
K6X_D105_D120_D125_D130_D165_D190,452,s,0.9099389314651489,0.018370959907770157,0.0234795194119215,0.07539897412061691,0.19204756617546082,0.6424923539161682,0.0298396535217762,0.018370959907770157,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,453,s,0.8973453044891357,0.01878921128809452,0.022200340405106544,0.06632208079099655,0.15650440752506256,0.6745188236236572,0.04287593811750412,0.01878921128809452,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,454,s,0.8914138674736023,0.017982304096221924,0.021135278046131134,0.060429807752370834,0.13886593282222748,0.6921181082725525,0.05148617550730705,0.017982304096221924,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D105_D120_D125_D130_D165_D190,455,s,0.8879660367965698,0.016938576474785805,0.020615117624402046,0.0571296289563179,0.12932421267032623,0.7015122175216675,0.05754164978861809,0.016938576474785805,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,445,p,0.899267315864563,0.00017586836474947631,0.013310289941728115,0.022516651079058647,0.06598519533872604,0.8107654452323914,0.08707069605588913,0.00017586836474947631,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,446,p,0.8881595134735107,0.0003473009273875505,0.012639948166906834,0.017691100016236305,0.0670798122882843,0.8033885955810547,0.09850592911243439,0.0003473009273875505,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,447,p,0.8780490756034851,0.0013893867144361138,0.013536198064684868,0.014338323846459389,0.06781251728534698,0.7958982586860657,0.10563591867685318,0.0013893867144361138,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,448,p,0.8667080402374268,0.002905050525441766,0.015690915286540985,0.011577094905078411,0.06704534590244293,0.7880855798721313,0.11179099231958389,0.002905050525441766,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,449,p,0.8521595597267151,0.005034155212342739,0.019429681822657585,0.008723077364265919,0.0643695741891861,0.7790669202804565,0.11834242194890976,0.005034155212342739,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,450,p,0.8290380239486694,0.008006483316421509,0.025641290470957756,0.005976049695163965,0.05867592617869377,0.7643860578536987,0.12930771708488464,0.008006483316421509,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,451,p,0.7910267114639282,0.011997370980679989,0.034911636263132095,0.004120142664760351,0.04934397339820862,0.7375625967979431,0.15006697177886963,0.011997370980679989,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,452,p,0.727860689163208,0.01718275435268879,0.047863561660051346,0.0055611333809792995,0.03581155836582184,0.6864879727363586,0.18991032242774963,0.01718275435268879,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,453,p,0.6449862122535706,0.021422892808914185,0.059376802295446396,0.013584224507212639,0.022783780470490456,0.6086181998252869,0.2527911961078644,0.021422892808914185,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,454,p,0.5747092962265015,0.022437136620283127,0.062050897628068924,0.02720462903380394,0.018386565148830414,0.5291181206703186,0.31836557388305664,0.022437136620283127,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,455,p,0.5459691882133484,0.02008575014770031,0.05345095321536064,0.03922218829393387,0.024394184350967407,0.4823527932167053,0.36040833592414856,0.02008575014770031,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,445,s,0.899267315864563,0.00017586836474947631,0.013310289941728115,0.022516651079058647,0.06598519533872604,0.8107654452323914,0.08707069605588913,0.00017586836474947631,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,446,s,0.8881595134735107,0.0003473009273875505,0.012639948166906834,0.017691100016236305,0.0670798122882843,0.8033885955810547,0.09850592911243439,0.0003473009273875505,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,447,s,0.8780490756034851,0.0013893867144361138,0.013536198064684868,0.014338323846459389,0.06781251728534698,0.7958982586860657,0.10563591867685318,0.0013893867144361138,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,448,s,0.8667080402374268,0.002905050525441766,0.015690915286540985,0.011577094905078411,0.06704534590244293,0.7880855798721313,0.11179099231958389,0.002905050525441766,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,449,s,0.8521595597267151,0.005034155212342739,0.019429681822657585,0.008723077364265919,0.0643695741891861,0.7790669202804565,0.11834242194890976,0.005034155212342739,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,450,s,0.8290380239486694,0.008006483316421509,0.025641290470957756,0.005976049695163965,0.05867592617869377,0.7643860578536987,0.12930771708488464,0.008006483316421509,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,451,s,0.7910267114639282,0.011997370980679989,0.034911636263132095,0.004120142664760351,0.04934397339820862,0.7375625967979431,0.15006697177886963,0.011997370980679989,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,452,s,0.727860689163208,0.01718275435268879,0.047863561660051346,0.0055611333809792995,0.03581155836582184,0.6864879727363586,0.18991032242774963,0.01718275435268879,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,453,s,0.6449862122535706,0.021422892808914185,0.059376802295446396,0.013584224507212639,0.022783780470490456,0.6086181998252869,0.2527911961078644,0.021422892808914185,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,454,s,0.5747092962265015,0.022437136620283127,0.062050897628068924,0.02720462903380394,0.018386565148830414,0.5291181206703186,0.31836557388305664,0.022437136620283127,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
K6X_D135_D155_D190_D220_D225_D230,455,s,0.5459691882133484,0.02008575014770031,0.05345095321536064,0.03922218829393387,0.024394184350967407,0.4823527932167053,0.36040833592414856,0.02008575014770031,FORMAL_M7A_LF_BASELINE,FULL_TRACKED_ORDER_VECTOR
