angle,intensity
-25.640070980146238,8.592063079253649e-07
-25.57650217316814,8.586525598999281e-07
-25.512967104399642,8.580582467355955e-07
-25.449465642177586,8.574245118560727e-07
-25.385997655351638,8.567525462566927e-07
-25.32256301328098,8.560435868871025e-07
-25.259161585830967,8.552989149705608e-07
-25.19579324336985,8.545198542633335e-07
-25.132457856765512,8.537077692577269e-07
-25.069155297382228,8.528640633324054e-07
-25.005885437077474,8.519901768537072e-07
-24.942648148198685,8.510875852317196e-07
-24.87944330358014,8.50157796934947e-07
-24.816270776539813,8.492023514673985e-07
-24.753130440876237,8.482228173119887e-07
-24.690022170865422,8.472207898441266e-07
-24.626945841257797,8.461978892193635e-07
-24.56390132727514,8.451557582389979e-07
-24.50088850460758,8.440960601974461e-07
-24.437907249410575,8.430204767152125e-07
-24.374957438301948,8.419307055611994e-07
-24.312038948358925,8.408284584680977e-07
-24.24915165711521,8.397154589444478e-07
-24.186295442558052,8.385934400869852e-07
-24.123470183125388,8.374641423967034e-07
-24.060675757702942,8.363293116020613e-07
-23.997912045621398,8.351906964925837e-07
-23.935178926653567,8.340500467660605e-07
-23.872476281011586,8.329091108923847e-07
-23.80980398934413,8.317696339969839e-07
-23.74716193273364,8.306333557666505e-07
-23.6845499926936,8.29502008380473e-07
-23.621968051165794,8.283773144683926e-07
-23.559415990517614,8.27260985099823e-07
-23.496893693539366,8.261547178045945e-07
-23.434401043441618,8.25060194628346e-07
-23.371937923852542,8.239790802243646e-07
-23.309504218815306,8.22913019983718e-07
-23.247099812785443,8.21863638205363e-07
-23.18472459062828,8.208325363078019e-07
-23.12237843761638,8.198212910836982e-07
-23.060061239426958,8.188314529987342e-07
-22.997772882139362,8.178645445358389e-07
-22.935513252232596,8.169220585858086e-07
-22.87328223658276,8.16005456885187e-07
-22.811079722460615,8.151161685021773e-07
-22.74890559752912,8.142555883711919e-07
-22.686759749840967,8.134250758765939e-07
-22.62464206783616,8.126259534860153e-07
-22.562552440339648,8.118595054335787e-07
-22.500490756558868,8.111269764532257e-07
-22.438456906081402,8.10429570562282e-07
-22.37645077887265,8.097684498953011e-07
-22.314472265273427,8.091447335881506e-07
-22.25252125599767,8.085594967122467e-07
-22.190597642130154,8.080137692587758e-07
-22.12870131512415,8.075085351726833e-07
-22.06683216679917,8.070447314361921e-07
-22.00499008933872,8.066232472015325e-07
-21.943174975288052,8.062449229725855e-07
-21.881386717551894,8.059105498350705e-07
-21.8196252093923,8.056208687349433e-07
-21.757890344426404,8.053765698046083e-07
-21.696182016624245,8.051782917366072e-07
-21.63450012030661,8.050266212043962e-07
-21.572844550142893,8.049220923298795e-07
-21.511215201148907,8.0486518619735e-07
-21.449611968684803,8.048563304135504e-07
-21.388034748452963,8.048958987135488e-07
-21.32648343649586,8.049842106122066e-07
-21.264957929194022,8.051215311010053e-07
-21.203458123263957,8.053080703900821e-07
-21.141983915756068,8.055439836953363e-07
-21.080535204052648,8.058293710705407e-07
-21.019111885865858,8.061642772844171e-07
-20.957713859235675,8.065486917426959e-07
-20.896341022527917,8.069825484552507e-07
-20.834993274432293,8.074657260484054e-07
-20.773670513960365,8.079980478226049e-07
-20.71237264044362,8.08579281855668e-07
-20.651099553531548,8.09209141151901e-07
-20.589851153189677,8.098872838373816e-07
-20.528627339697643,8.106133134017888e-07
-20.46742801364734,8.113867789871776e-07
-20.40625307594096,8.122071757241419e-07
-20.345102427789133,8.130739451158407e-07
-20.283975970709076,8.139864754703956e-07
-20.222873606522736,8.149441023821882e-07
-20.161795237354895,8.159461092625849e-07
-20.100740765631386,8.169917279206776e-07
-20.039710094077275,8.180801391945732e-07
-19.978703125715004,8.192104736338106e-07
-19.917719763862628,8.20381812233445e-07
-19.85675991213204,8.21593187220356e-07
-19.795823474427166,8.228435828922685e-07
-19.7349103549422,8.241319365099887e-07
-19.674020458159895,8.254571392432915e-07
-19.61315368884977,8.268180371708614e-07
-19.552309952066402,8.282134323346261e-07
-19.491489153147736,8.296420838487672e-07
-19.43069119771332,8.3110270906363e-07
-19.369915991662637,8.325939847846371e-07
-19.30916344117345,8.341145485462916e-07
-19.248433452700066,8.356629999411917e-07
-19.187725932971706,8.372379020039405e-07
-19.12704078899086,8.388377826496708e-07
-19.066377928031628,8.404611361668405e-07
-19.005737257638057,8.421064247638068e-07
-18.94511868562259,8.437720801685599e-07
-18.884522120064386,8.454565052808818e-07
-18.823947469307733,8.471580758760478e-07
-18.76339464196049,8.48875142359053e-07
-18.70286354689246,8.506060315681939e-07
-18.642354093233827,8.52349048626699e-07
-18.5818661903736,8.541024788409451e-07
-18.521399747958085,8.558645896436374e-07
-18.460954675889276,8.57633632580195e-07
-18.40053088432336,8.594078453364133e-07
-18.340128283669213,8.611854538053147e-07
-18.279746784586834,8.629646741909799e-07
-18.219386297985853,8.647437151469419e-07
-18.159046735024084,8.665207799466346e-07
-18.098728007105954,8.682940686831978e-07
-18.038430025881063,8.700617804958091e-07
-17.978152703242735,8.718221158195793e-07
-17.917895951326525,8.735732786559008e-07
-17.85765968250875,8.753134788600248e-07
-17.79744380940511,8.770409344424866e-07
