operation,status,error
getnamed dbr::SiO2.x,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.x span,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.y,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.y span,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.z,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.z span,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.enabled,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.monitor type,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.projection direction,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.material index,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.far field filter,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::SiO2.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::SiO2' can be found"""
getnamed dbr::rect.x,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.x span,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.y,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.y span,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.z,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.z span,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.enabled,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.monitor type,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.projection direction,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.material index,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.far field filter,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::rect' can be found"""
getnamed dbr::rect_1.x,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.x span,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.y,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.y span,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
