spectral_peak_nm,spectral_FWHM_nm,T448,T450,T453,max_angle_450_deg,angular_FWHM_450_deg,I0_over_Imax_450,strict_normal,near_normal,angle_symmetry_error_max,energy_residual_max,spectral_boundary_clipped,angular_boundary_clipped,sequence_json,spectral_target_pass,angular_target_pass,combined_pass,candidate_id,scan_mode,sample_index,sample_id,error_bound_nm,layer_errors_json
450.80000000000246,3.384193284000844,0.26061562872500976,0.8100107650709426,0.37446673960534715,-6.0,19.851944926961018,0.8196651328514828,False,False,0.0,6.661338147750939e-16,False,False,"[[""H"",47],[""L"",78],[""H"",46],[""L"",77],[""H"",46],[""L"",312],[""H"",47],[""L"",77],[""H"",47],[""L"",77],[""H"",45],[""L"",79]]",True,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,31,independent_layer_1nm_ZL1_N3_M3_L78_H46_0031,1,"[1,0,0,-1,0,0,1,-1,1,-1,-1,1]"
451.36000000000263,3.3963957668747753,0.19721595785375612,0.6015077902006845,0.5173554971110861,-7.0,21.926002232384473,0.608755681419748,False,False,0.0,7.771561172376096e-16,False,False,"[[""H"",46],[""L"",78],[""H"",46],[""L"",79],[""H"",47],[""L"",313],[""H"",45],[""L"",78],[""H"",46],[""L"",77],[""H"",47],[""L"",77]]",True,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,32,independent_layer_1nm_ZL1_N3_M3_L78_H46_0032,1,"[0,0,0,1,1,1,-1,0,0,-1,1,-1]"
449.50000000000216,3.351498397292062,0.5511918639136131,0.9103610387920796,0.19055658562508865,0.0,14.43507801915432,1.0,True,True,0.0,4.440892098500626e-16,False,False,"[[""H"",45],[""L"",78],[""H"",45],[""L"",78],[""H"",46],[""L"",311],[""H"",46],[""L"",78],[""H"",47],[""L"",79],[""H"",46],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,33,independent_layer_1nm_ZL1_N3_M3_L78_H46_0033,1,"[-1,0,-1,0,0,-1,0,0,1,1,0,-1]"
448.820000000002,3.3569415365901705,0.7974041539525674,0.6695320947888506,0.1433968675058558,0.0,13.707418281251526,1.0,True,True,0.0,5.551115123125783e-16,False,False,"[[""H"",47],[""L"",78],[""H"",46],[""L"",77],[""H"",45],[""L"",312],[""H"",45],[""L"",78],[""H"",47],[""L"",79],[""H"",46],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,34,independent_layer_1nm_ZL1_N3_M3_L78_H46_0034,1,"[1,0,0,-1,-1,0,-1,0,1,1,0,0]"
448.10000000000184,3.3146731900062036,0.990128509056134,0.4338704462442035,0.10761968430099589,0.0,14.16246930350004,1.0,True,True,0.0,4.440892098500626e-16,False,False,"[[""H"",45],[""L"",78],[""H"",45],[""L"",77],[""H"",45],[""L"",311],[""H"",46],[""L"",79],[""H"",45],[""L"",77],[""H"",47],[""L"",78]]",False,True,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,35,independent_layer_1nm_ZL1_N3_M3_L78_H46_0035,1,"[-1,0,-1,-1,-1,-1,0,1,-1,-1,1,0]"
448.72000000000196,3.3507700965946015,0.8407944518005491,0.6256944067705703,0.13649530489750694,0.0,13.71525797895793,1.0,True,True,0.0,4.440892098500626e-16,False,False,"[[""H"",47],[""L"",79],[""H"",45],[""L"",78],[""H"",45],[""L"",311],[""H"",46],[""L"",79],[""H"",45],[""L"",79],[""H"",47],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,36,independent_layer_1nm_ZL1_N3_M3_L78_H46_0036,1,"[1,1,-1,0,-1,-1,0,1,-1,1,1,-1]"
451.06000000000256,3.3879189048208787,0.2279027874214597,0.7107359515210517,0.43470701970995373,-6.0,20.89776026698969,0.7210924130376417,False,False,0.0,1.1102230246251565e-15,False,False,"[[""H"",45],[""L"",78],[""H"",47],[""L"",78],[""H"",46],[""L"",313],[""H"",46],[""L"",77],[""H"",46],[""L"",77],[""H"",47],[""L"",79]]",True,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,37,independent_layer_1nm_ZL1_N3_M3_L78_H46_0037,1,"[-1,0,1,0,0,1,0,-1,0,-1,1,1]"
449.9600000000023,3.360579896734521,0.4138140230117948,0.9913441938607039,0.23925996422793827,0.0,16.120335698207402,1.0,True,True,0.0,6.661338147750939e-16,False,False,"[[""H"",46],[""L"",79],[""H"",46],[""L"",78],[""H"",47],[""L"",312],[""H"",45],[""L"",77],[""H"",46],[""L"",77],[""H"",45],[""L"",77]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,38,independent_layer_1nm_ZL1_N3_M3_L78_H46_0038,1,"[0,1,0,0,1,0,-1,-1,0,-1,-1,-1]"
452.12000000000273,3.406983403198808,0.1401809908543955,0.3837502023690005,0.7865019491103089,-9.0,8.16409590137982,0.38685461834136314,False,False,0.0,4.440892098500626e-16,False,False,"[[""H"",46],[""L"",79],[""H"",45],[""L"",79],[""H"",46],[""L"",313],[""H"",47],[""L"",78],[""H"",47],[""L"",77],[""H"",45],[""L"",78]]",False,False,False,ZL1_N3_M3_L78_H46,independent_layer_1nm,39,independent_layer_1nm_ZL1_N3_M3_L78_H46_0039,1,"[0,1,-1,1,0,1,1,0,1,-1,-1,0]"
449.50000000000216,3.3592255788074112,0.5494480738946392,0.9110278339757398,0.19134344375735535,0.0,14.47050108480754,1.0,True,True,0.0,5.551115123125783e-16,False,False,"[[""H"",47],[""L"",77],[""H"",45],[""L"",79],[""H"",47],[""L"",311],[""H"",45],[""L"",77],[""H"",47],[""L"",79],[""H"",45],[""L"",78]]",True,True,True,ZL1_N3_M3_L78_H46,independent_layer_1nm,40,independent_layer_1nm_ZL1_N3_M3_L78_H46_0040,1,"[1,-1,-1,1,1,-1,-1,-1,1,1,-1,0]"
