model,variant,group,value,eta_plus1_mae
M5B_corrected_no_refit_residual_mlp,constrained,polarization,p,0.13307617330508362
M5B_corrected_no_refit_residual_mlp,constrained,polarization,s,0.11667127103952156
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,445,0.11289116633048958
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,446,0.11778737182778273
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,447,0.10958946849559213
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,448,0.1357010617325191
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,449,0.14736582542955942
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,450,0.1271740521320946
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,451,0.12842454883005308
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,452,0.13021497974284332
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,453,0.12564828697720076
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,454,0.12307945421422818
M5B_corrected_no_refit_residual_mlp,constrained,wavelength,455,0.1157347281829657
