case_id,geometry_id,polarization,wavelength_nm,eta_plus1_ensemble_disagreement,eta_plus1_abs_error
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,451,0.10147596172962131,0.025504812745237943
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,452,0.10485227863877757,0.022890199437733766
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,453,0.10861944006669103,0.020705844970847542
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,454,0.11290026284790548,0.018473200430547093
NP_K6_M2_BATCH1_G06_P,K6X_D100_D105_D115_D120_D125_D130,p,455,0.11814465053888355,0.016650334332645234
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,445,0.0375929729239849,0.04918935574962857
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,446,0.04091463135493683,0.048900759748546185
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,447,0.045757936593756515,0.04878553237140154
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,448,0.0520119890627269,0.0500192180393379
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,449,0.059435415748945224,0.05122394620687187
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,450,0.06824192421530277,0.0529265068987913
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,451,0.07805886276208027,0.0548761038202259
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,452,0.08913713952102183,0.0570230492068447
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,453,0.10125340718451714,0.05871323072861784
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,454,0.11443331006939507,0.06039334102518559
NP_K6_M2_BATCH1_G06_S,K6X_D100_D105_D115_D120_D125_D130,s,455,0.12862333525598096,0.06158951594872267
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,445,0.05049747348178066,0.07350390031406528
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,446,0.05131096935441065,0.08717217305445413
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,447,0.05245461857939357,0.10993565664369931
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,448,0.05390163440588455,0.1905057003312871
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,449,0.05564339042987541,0.46895220574858365
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,450,0.057659767737104635,0.1807547676875797
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,451,0.05992817367826232,0.08153183628056115
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,452,0.06241806765104301,0.05766208404434037
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,453,0.06512679177773592,0.05159414737464896
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,454,0.06811654530254148,0.08532817277951787
NP_K6_M4_B2_G01_P,K6X_D110_D125_D135_D150_D175_D190,p,455,0.07144171264702431,0.42196893929820634
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,445,0.056092836556429576,0.013717556678938259
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,446,0.05574345379344835,0.00722235797547266
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,447,0.05714873816029228,0.003426377943860026
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,448,0.05881825921657705,0.000507318375511101
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,449,0.060168063221064425,0.007291419036310476
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,450,0.060961530282553654,0.017591770945345697
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,451,0.06117070124817192,0.031017432273121148
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,452,0.060903158470921356,0.048544382527755725
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,453,0.06037839949896006,0.06832350695639045
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,454,0.059917080290832946,0.08929760613606774
NP_K6_M4_B2_G01_S,K6X_D110_D125_D135_D150_D175_D190,s,455,0.05984264409167242,0.1096140192454248
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,445,0.06334073608373843,0.29695187105685295
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,446,0.05747439561051338,0.2553289152479532
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,447,0.05063686003269391,0.248005739917612
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,448,0.04373168215429686,0.2489588422484746
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,449,0.0377003002120368,0.25378813341914913
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,450,0.034568683294149416,0.26053919477365983
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,451,0.036566804901384746,0.26890972343877695
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,452,0.04385035440897448,0.2783208813053716
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,453,0.05489480957040074,0.2880779984039665
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,454,0.06815138052043573,0.2976786102162256
NP_K6_M4_B2_G02_P,K6X_D120_D125_D180_D185_D190_D195,p,455,0.08265127245528028,0.3069779010349027
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,445,0.05709918677564215,0.027617744115601583
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,446,0.04973467566023683,0.01420908954771638
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,447,0.04169415108531483,0.004139524331936373
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,448,0.03387350143410767,0.002217617062852839
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,449,0.027622410955198972,0.007134638528563497
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,450,0.025394889516013857,0.011290010751126733
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,451,0.029041341823133268,0.013390678067787265
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,452,0.0371080088204153,0.013275460979997322
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,453,0.047779985684839675,0.010729827209917386
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,454,0.05980562470588313,0.006346766134512571
NP_K6_M4_B2_G02_S,K6X_D120_D125_D180_D185_D190_D195,s,455,0.07259925245968687,0.00017797603952435237
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,445,0.1995182283131486,0.41666729070306535
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,446,0.1492084609359358,0.42416056025433024
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,447,0.05518566467778521,0.18189630393085776
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,448,0.054600898775445335,0.1161927347109602
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,449,0.0793721846843599,0.0902910109374184
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,450,0.1455477237256316,0.11344179238519618
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,451,0.19404455649392455,0.08861153592357023
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,452,0.19580498693752854,0.011471626861246753
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,453,0.1547102519254192,0.05712637609569801
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,454,0.13863643376876247,0.11122326954185253
NP_K6_M4_B2_G03_P,K6X_D120_D145_D200_D215_D220_D230,p,455,0.14339965284403897,0.15121180251258853
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,445,0.16722488430813634,0.13572197519406148
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,446,0.13069731260707806,0.1630876185212804
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,447,0.05839969061618742,0.00047374799580440774
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,448,0.04323841402157785,0.036190582413590855
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,449,0.08350496609003592,0.03193179521082068
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,450,0.15366542998383875,0.11524600759113979
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,451,0.19971038482048048,0.09379662190959889
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,452,0.18422475137484476,0.06125946880298158
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,453,0.12058056977561049,0.028039682929854787
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,454,0.0853029331278702,0.007737008849952265
NP_K6_M4_B2_G03_S,K6X_D120_D145_D200_D215_D220_D230,s,455,0.0830633471813791,0.01552281076949008
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,445,0.15526949758326256,0.1829653794458301
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,446,0.10738517017215578,0.18070697613196152
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,447,0.084936932857165,0.1519603817086438
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,448,0.07571853779708299,0.11280701264386889
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,449,0.0832923527878633,0.07621828676729403
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,450,0.09193008696954524,0.040137294467668616
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,451,0.07176258800934278,0.03299853363090416
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,452,0.08704838036272383,0.0890544111422521
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,453,0.0537539822868709,0.1352131737943777
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,454,0.05540536676839936,0.21681671313517376
NP_K6_M4_B2_G04_P,K6X_D140_D160_D165_D170_D180_D190,p,455,0.11331101799841053,0.2924902415834423
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,445,0.10130679495775774,0.0854306795823851
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,446,0.04518457269300867,0.15067346179319135
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,447,0.036960768875873636,0.2084328232920485
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,448,0.03311449866975244,0.2451415028902393
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,449,0.014640032322538635,0.2610610022761598
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,450,0.0431011625215202,0.25865577325701544
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,451,0.01555378907204199,0.211395469192739
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,452,0.02065854405057097,0.1711087149771515
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,453,0.026818805936826905,0.1411678158657927
NP_K6_M4_B2_G04_S,K6X_D140_D160_D165_D170_D180_D190,s,454,0.022963537484082436,0.035688181874165406
