candidate_id,wavelength_nm,S0,S1,S2,S3,DoLP,LP_TARGET_FRACTION
H1C1B_V2_012,440.0,1.553047814713764,0.40404795586672226,0.040025240978835225,0.027371172937633692,0.26143791250298226,0.630082265349052
H1C1B_V2_012,441.0,1.5676754531686994,0.41704438954733647,0.03547060758693801,0.024021981367399622,0.2669877237186403,0.6330136249516365
H1C1B_V2_012,442.0,1.5303920720112476,0.469002183766439,0.011673394552589759,0.01554944539182003,0.30655375467531115,0.6532294215135583
H1C1B_V2_012,443.0,1.5618429595703676,0.4387400742669544,0.09960298611649827,0.05664848386994087,0.2880596896503299,0.6404558862907841
H1C1B_V2_012,444.0,1.5929217631666879,0.41206149665424063,0.012582391645568805,0.007365937967918339,0.25880339168294,0.6293414109162125
H1C1B_V2_012,445.0,1.3507504502602279,0.4590516692569065,-0.020184139668742093,-0.00255988548483947,0.3401777102889395,0.6699246774888982
H1C1B_V2_012,446.0,0.5160769406550949,-0.2935112627261275,0.011504804980216847,-0.004681080146132102,0.5691722121818166,0.21563226371483318
H1C1B_V2_012,447.0,0.997496781686658,0.3458474478569114,-0.005034843971012924,0.0007902388717816429,0.34675209070513335,0.6733576760378721
H1C1B_V2_012,448.0,1.1547876265991328,0.6680969008270675,-0.00286413985253817,0.012028284343126985,0.5785505704354453,0.7892726270347314
H1C1B_V2_012,449.0,1.1053694873694258,0.8144460646905305,-0.015387214080804628,0.003247961465469691,0.7369403762792897,0.8684044448471077
H1C1B_V2_012,450.0,1.0368390803135326,0.9341392770741231,-0.00972651571208163,0.009955536070545633,0.9009979764660458,0.9504745696852236
H1C1B_V2_012,451.0,0.9360974077959621,0.9353902306409498,-0.019639810876119823,0.0023123449079663102,0.9994647807151725,0.999622273735018
H1C1B_V2_012,452.0,0.7177866676595785,0.6371226574061786,-0.009349468541367437,0.010826812068555913,0.8877167574984409,0.9438105959000229
H1C1B_V2_012,453.0,1.0172579949034886,0.6607398668457609,-0.016911922518439232,0.008393439203947787,0.649743003942654,0.8247651383209075
H1C1B_V2_012,454.0,1.307024042876637,0.5707614178865047,-0.007816464353723905,0.0035592040291827767,0.4367287204488023,0.7183438862495262
H1C1B_V2_012,455.0,1.4828398512503425,0.3863516012805923,-0.011381033571005852,0.004537919281595025,0.26066145592211815,0.6302742170554755
H1C1B_V2_012,456.0,1.6238926037592674,0.2695557747599795,-0.005550165006755602,0.0015997801432093067,0.16602877995090545,0.5829967985986159
H1C1B_V2_012,457.0,1.7497958855478175,0.19557511919856096,-0.0020687547384608635,0.0013591027242002406,0.11177650030277973,0.5558851237489713
H1C1B_V2_012,458.0,1.783258712499749,0.1076242426327918,-0.007127793958712388,0.0011019664973327212,0.060484782848541224,0.5301762839789874
H1C1B_V2_012,459.0,1.8619215225421646,0.10598620292058825,0.003006849246086364,0.0004122529290483939,0.05694592683295674,0.5284615118407033
H1C1B_V2_012,460.0,1.8752298157145155,0.04929163108252599,-0.00556855106691985,0.0005201771963011543,0.02645285249600681,0.5131428240606724
H1C1B_V2_012,461.0,1.8890856342674454,0.04078804160524352,0.00285391063040972,0.00020662829415429504,0.021644208194008373,0.5107957100687658
H1C1B_V2_012,462.0,1.895593739536784,0.04849151722441647,0.04006082258582688,0.0008532875384248129,0.033181740599300506,0.5127905880392563
H1C1B_V2_012,463.0,1.9075418844559668,0.0030035176172232836,-0.007764962110422898,-0.0001884390518829271,0.0043645743420883025,0.5007872743559914
H1C1B_V2_012,464.0,1.9412286801265344,0.03667958115900494,0.0023193336103316513,0.0004229587881270612,0.01893277013779319,0.5094475168058546
H1C1B_V2_012,465.0,1.9363844729857531,0.023471102061586868,0.0050115435685246625,0.0004988957753210392,0.012394321059072698,0.5060605479926712
