kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
reflection,448.00000000000006,reflection_monitor,-1,0.09978105729535901,PROPAGATING,PROPAGATING,-0.661204224670999
reflection,448.00000000000006,reflection_monitor,0,0.014694001860643555,PROPAGATING,PROPAGATING,-0.48067236908771216
reflection,448.00000000000006,reflection_monitor,1,0.14707006317711854,PROPAGATING,PROPAGATING,-0.3001405135044253
reflection,448.00000000000006,reflection_monitor,2,0.07557895174447753,PROPAGATING,PROPAGATING,-0.1196086579211383
reflection,448.00000000000006,reflection_monitor,3,0.03242032796944956,PROPAGATING,PROPAGATING,0.06092319766214867
reflection,448.00000000000006,reflection_monitor,4,0.014453585931718256,PROPAGATING,PROPAGATING,0.2414550532454356
reflection,448.00000000000006,reflection_monitor,5,0.10755479834104098,PROPAGATING,PROPAGATING,0.4219869088287226
reflection,448.00000000000006,reflection_monitor,6,0.25880274752748744,PROPAGATING,PROPAGATING,0.6025187644120095
reflection,448.00000000000006,reflection_monitor,7,0.07978491908095367,EVANESCENT,PROPAGATING,0.7830506199952965
reflection,448.00000000000006,reflection_monitor,8,0.14494002884605262,EVANESCENT,PROPAGATING,0.9635824755785833
transmission,449.0,transmission_monitor,-1,0.16809681532275722,PROPAGATING,PROPAGATING,-0.9451024009479636
transmission,449.0,transmission_monitor,0,0.10677139544956116,PROPAGATING,PROPAGATING,-0.6870564239364694
transmission,449.0,transmission_monitor,1,0.17828261894986835,PROPAGATING,PROPAGATING,-0.42901044692497514
transmission,449.0,transmission_monitor,2,0.17273406467699917,PROPAGATING,PROPAGATING,-0.17096446991348088
transmission,449.0,transmission_monitor,3,0.08355253783715924,PROPAGATING,PROPAGATING,0.08708150709801342
transmission,449.0,transmission_monitor,4,0.07280380250892309,PROPAGATING,PROPAGATING,0.34512748410950767
transmission,449.0,transmission_monitor,5,0.011722287789684276,PROPAGATING,PROPAGATING,0.603173461121002
transmission,449.0,transmission_monitor,6,0.20603647746504777,PROPAGATING,PROPAGATING,0.8612194381324962
reflection,449.0,reflection_monitor,-2,0.02681839673749385,EVANESCENT,PROPAGATING,-0.843614955433425
reflection,449.0,reflection_monitor,-1,0.10114178112021394,PROPAGATING,PROPAGATING,-0.6626801269582111
