candidate_id,family_id,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_physical_thickness_nm,cavity_optical_thickness_proxy_nm,spacer_or_cap_thickness_nm,target_wavelength_nm,te_tm_angle_grid_deg,wavelength_grid_nm,source_position_status,negative_reference_excluded,normal_angle_resonance_strength_proxy,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,te_tm_mismatch_proxy,te_tm_offaxis_risk_guard,angular_fwhm_deg_proxy,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,center_only_false_positive_risk,source_position_stability_status,d5_like_risk_flag,hard_pass,hard_fail_reasons,v2_proxy_score
E1_0187,E0C_MQW_lateral_extent_robust_cavity,4,4,45,30,260,637.0,75,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.911667,2.043366,0.320752,0.359661,0.107143,0.220776,9.498201,453.27,8.639492,high,requires_tri_point_FDTD,high,False,30_40_lobe_penalty_above_E1_guard;spectral_FWHM_proxy_above_8nm;center_only_false_positive_risk_high;D5_like_risk_high,1.939731
E1_0094,E0A_lower_Q_angle_stable_cavity,6,6,0,65,280,686.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.878293,2.182198,0.279637,0.331574,0.464286,0.404565,8.760545,452.13,8.647361,medium,requires_tri_point_FDTD,low,False,30_40_lobe_penalty_above_E1_guard;TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.926251
E1_0212,E0C_MQW_lateral_extent_robust_cavity,4,8,45,75,260,637.0,120,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.891894,2.068579,0.405923,0.277206,0.380952,0.334267,11.470843,452.46,7.81581,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail,1.880625
E1_0369,E0D_reduced_center_contrast_control,5,4,0,50,300,735.0,50,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.797158,2.121687,0.279933,0.295675,0.39881,0.352399,9.172732,452.4,9.618512,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.860294
E1_0014,E0A_lower_Q_angle_stable_cavity,4,6,0,65,220,539.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.828293,2.224672,0.286197,0.286551,0.547619,0.430138,9.154865,451.53,8.929826,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.851877
E1_0074,E0A_lower_Q_angle_stable_cavity,6,4,0,65,220,539.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.828293,2.224672,0.286197,0.286551,0.547619,0.430138,9.154865,451.53,8.929826,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.851877
E1_0320,E0D_reduced_center_contrast_control,3,8,50,100,270,661.5,150,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.804151,2.151817,0.365837,0.229997,0.565476,0.41451,11.027658,452.1,9.169995,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.819705
E1_0050,E0A_lower_Q_angle_stable_cavity,5,6,0,65,220,539.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.853293,2.203045,0.282917,0.30896,0.505952,0.417306,8.957705,451.53,8.78844,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.81363
E1_0387,E0D_reduced_center_contrast_control,5,8,50,50,240,588.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.697709,1.921245,0.346002,0.230471,0.125,0.172462,11.123507,452.7,8.820706,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,1.811973
E1_0395,E0D_reduced_center_contrast_control,5,8,50,50,300,735.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.697709,1.921245,0.346002,0.230471,0.125,0.172462,11.123507,453.3,8.820706,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,1.811973
E1_0086,E0A_lower_Q_angle_stable_cavity,6,6,0,65,220,539.0,65,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.878293,2.182198,0.279637,0.331574,0.464286,0.404565,8.760545,451.53,8.647361,medium,requires_tri_point_FDTD,low,False,30_40_lobe_penalty_above_E1_guard;TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.776251
E1_0356,E0D_reduced_center_contrast_control,4,8,50,100,270,661.5,150,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.827151,2.127753,0.361837,0.252978,0.52381,0.401935,10.824658,452.1,9.029467,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.774006
E1_0238,E0C_MQW_lateral_extent_robust_cavity,6,6,10,75,290,710.5,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.878293,2.085085,0.338465,0.313427,0.464286,0.396399,10.054767,452.13,7.870141,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail,1.757763
E1_0351,E0D_reduced_center_contrast_control,4,8,50,50,240,588.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.674709,1.90701,0.350002,0.215071,0.166667,0.188449,11.326507,452.7,8.972606,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,1.755452
E1_0359,E0D_reduced_center_contrast_control,4,8,50,50,300,735.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.674709,1.90701,0.350002,0.215071,0.166667,0.188449,11.326507,453.3,8.972606,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,1.755452
E1_0202,E0C_MQW_lateral_extent_robust_cavity,4,6,10,75,290,710.5,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.828293,2.093024,0.345345,0.2744,0.547619,0.42467,10.456127,452.13,8.1616,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.743453
E1_0226,E0C_MQW_lateral_extent_robust_cavity,6,4,10,75,290,710.5,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.828293,2.093024,0.345345,0.2744,0.547619,0.42467,10.456127,452.13,8.1616,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.743453
E1_0394,E0D_reduced_center_contrast_control,5,8,0,100,300,735.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.679395,2.201897,0.318,0.1782,0.839286,0.541797,10.599023,451.5,8.7423,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.734284
E1_0392,E0D_reduced_center_contrast_control,5,8,50,100,270,661.5,150,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.850151,2.104661,0.357837,0.276169,0.482143,0.389455,10.621658,452.1,8.889254,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.729539
E1_0361,E0D_reduced_center_contrast_control,5,4,0,50,240,588.0,50,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.797158,2.121687,0.279933,0.295675,0.39881,0.352399,9.172732,451.8,9.618512,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.710294
E1_0270,E0C_MQW_lateral_extent_robust_cavity,7,6,10,75,260,637.0,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.960893,2.119403,0.378025,0.327287,0.505952,0.425553,10.512083,451.83,7.715931,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail,1.698197
E1_0315,E0D_reduced_center_contrast_control,3,8,50,50,240,588.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.651709,1.892003,0.354002,0.199671,0.208333,0.204435,11.529507,452.7,9.124506,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,1.697385
E1_0323,E0D_reduced_center_contrast_control,3,8,50,50,300,735.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.651709,1.892003,0.354002,0.199671,0.208333,0.204435,11.529507,453.3,9.124506,medium,requires_tri_point_FDTD,low,False,spectral_FWHM_proxy_above_8nm,1.697385
E1_0358,E0D_reduced_center_contrast_control,4,8,0,100,300,735.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.656395,2.193835,0.322,0.1628,0.880952,0.557784,10.802023,451.5,8.8942,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.690108
E1_0322,E0D_reduced_center_contrast_control,3,8,0,100,300,735.0,100,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.633395,2.185252,0.326,0.1474,0.922619,0.57377,11.005023,451.5,9.0461,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail;spectral_FWHM_proxy_above_8nm,1.644892
E1_0009,E0A_lower_Q_angle_stable_cavity,4,4,0,25,280,686.0,25,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.878293,1.966802,0.272978,0.395228,0.178571,0.276067,8.614047,452.85,9.442842,high,requires_tri_point_FDTD,high,False,30_40_lobe_penalty_above_E1_guard;spectral_FWHM_proxy_above_8nm;center_only_false_positive_risk_high;D5_like_risk_high,1.622829
E1_0230,E0C_MQW_lateral_extent_robust_cavity,6,6,10,75,230,563.5,85,453,0:0.5:60,445:0.5:460,requires_tri_point_FDTD,D5_BASE_13461,0.878293,2.085085,0.338465,0.313427,0.464286,0.396399,10.054767,451.53,7.870141,medium,requires_tri_point_FDTD,low,False,TE_TM_offaxis_risk_guard_fail,1.607763
