geometry_id,wavelength_nm,role,p_T_total,s_T_total,abs_delta_T_total,p_R_total,s_R_total,abs_delta_R_total,p_eta_plus1,s_eta_plus1,abs_delta_eta_plus1,p_eta_0,s_eta_0,abs_delta_eta_0,p_eta_minus1,s_eta_minus1,abs_delta_eta_minus1,p_directionality,s_directionality,abs_delta_directionality,p_non_target_efficiency,s_non_target_efficiency,abs_delta_non_target_efficiency
K6X_D120_D125_D180_D185_D190_D195,454,exploitation_2,0.7948199397079241,0.9170022634889886,0.12218232378106453,0.20500415942065595,0.08275314218494499,0.12225101723571095,0.2913890145630157,0.4605458311830848,0.1691568166200691,0.2553437693872978,0.21595818063401698,0.039385588753280826,0.13364421259110706,0.12880641719865496,0.0048377953924521044,0.6855676120054354,0.7814440895876188,0.09587647758218343,0.5034309251449084,0.4564564323059038,0.04697449283900457
K6X_D120_D125_D180_D185_D190_D195,455,exploitation_2,0.8004126641196593,0.9188656770359505,0.11845301291629118,0.19936932347838052,0.08110207969637481,0.1182672437820057,0.29293460036078944,0.46496871967980064,0.1720341193190112,0.2571968414846267,0.21297886563728302,0.04421797584734366,0.13628351081149992,0.13153640296007652,0.004747107851423404,0.6824842492333802,0.7794882257205897,0.09700397648720949,0.5074780637588698,0.4538969573561498,0.05358110640272001
K6X_D120_D145_D200_D215_D220_D230,445,coverage_exploration,0.5492009745714258,0.8607415752423941,0.31154060067096834,0.4498116723036124,0.14038002821089834,0.30943164409271406,0.05389685022119173,0.2919656224954096,0.23806877227421785,0.20783171702867217,0.3122857626909435,0.10445404566227132,0.03142024680372046,0.010041800163496348,0.02137844664022411,0.6317239111576206,0.9667498233153103,0.33502591215768973,0.4953041243502341,0.5687759527469846,0.07347182839675048
K6X_D120_D145_D200_D215_D220_D230,446,coverage_exploration,0.5427265733076702,0.8323504245096065,0.28962385120193634,0.4558428155289758,0.16796687279509895,0.28787594273387684,0.07820107442920642,0.30527912542696956,0.22707805099776313,0.14382446471255791,0.2744983823275006,0.1306739176149427,0.026050144143060675,0.010104186289961818,0.01594595785309886,0.7501214422256113,0.9679622037229709,0.21784076149735965,0.4645254988784637,0.527071299082637,0.06254580020417322
K6X_D120_D145_D200_D215_D220_D230,447,coverage_exploration,0.5648363102952448,0.8105763516666146,0.24574004137136973,0.43419367149208904,0.1881886630249255,0.24600500846716353,0.11439579024076339,0.3030473256615101,0.1886515354207467,0.1106222786900688,0.24549640824623878,0.13487412955616998,0.022919740947960204,0.011017828763522487,0.011901912184437717,0.8330870459477757,0.9649186526799094,0.13183160673213368,0.45044052005448143,0.5075290260051044,0.05708850595062298
K6X_D120_D145_D200_D215_D220_D230,448,coverage_exploration,0.5732447871615257,0.773405042569198,0.20016025540767224,0.4259120215803755,0.2244856770248365,0.201426344555539,0.14068212187815415,0.29435748894015584,0.1536753670620017,0.09556418426301837,0.1976995605642556,0.10213537630123724,0.018456035866579377,0.014555569365747648,0.0039004665008317285,0.8840250752670904,0.9528813399939413,0.06885626472685091,0.43256266528337156,0.4790475536290421,0.04648488834567055
K6X_D120_D145_D200_D215_D220_D230,449,coverage_exploration,0.5624304853098369,0.6349925058927135,0.07256202058287664,0.4363588143442995,0.36567105258948895,0.07068776175481056,0.16509241315893713,0.24877315474776718,0.08368074158883004,0.0805349014854364,0.09318443356872814,0.01264953208329174,0.013520421636680754,0.02078947504884961,0.007269053412168856,0.9243031910212285,0.9228770135365755,0.0014261774846530129,0.3973380721508997,0.3862193511449463,0.011118721005953403
K6X_D120_D145_D200_D215_D220_D230,450,coverage_exploration,0.5407087145190861,0.5541765845175092,0.013467869998423088,0.4591363141536351,0.4487813359965198,0.01035497815711528,0.12136775980823182,0.17034929133665327,0.048981531528421454,0.05035114262359356,0.13764772484256166,0.0872965822189681,0.020410056956994493,0.008475330593328726,0.011934726363665767,0.8560419576019282,0.9526053487385692,0.09656339113664092,0.41934095471085425,0.3838272931808559,0.03551366152999835
K6X_D120_D145_D200_D215_D220_D230,451,coverage_exploration,0.5442169712065529,0.6522752648119184,0.10805829360536556,0.45428723271352695,0.3478336150895931,0.10645361762393385,0.11196710793676681,0.17765532589802657,0.06568821796125976,0.07664486512078003,0.22987227740698443,0.1532274122862044,0.018314733120116465,0.0012367151300369176,0.017078017990079547,0.8594222113262896,0.9930868074234621,0.13366459609717252,0.4322498632697861,0.47461993891389187,0.042370075644105776
K6X_D120_D145_D200_D215_D220_D230,452,coverage_exploration,0.5763085765498839,0.7055385142023066,0.12922993765242274,0.4228000459469456,0.2933524416264245,0.1294476043205211,0.15062021410115736,0.1837553016622173,0.03313508756105993,0.1278933587918922,0.2702071571651326,0.1423137983732404,0.012080855773678371,0.00010998931892767524,0.011970866454750696,0.9257481479195432,0.9994017940072282,0.07365364608768499,0.42568836244872654,0.5217832125400893,0.09609485009136276
