candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phase_error_deg,R_top,R_bottom
R2_4B_OPT_06361,448.75,20.0,TE,76.89901679309683,0.9999583550332177,0.999999796570599
R2_4B_OPT_06361,448.75,30.0,TE,117.94684688726157,1.0,0.9999999999999998
R2_4B_OPT_06361,448.75,36.0,TE,71.37023474159767,1.0,0.9999999999999996
R2_4B_OPT_06361,448.75,40.0,TE,59.65396052824507,0.9999999999999998,1.0
R2_4B_OPT_06361,448.75,60.0,TE,167.4472481757538,0.9999999999999998,1.0
R2_4B_OPT_06361,449.0,20.0,TE,77.41943030656522,0.9999585428648797,0.9999997946228042
R2_4B_OPT_06361,449.0,30.0,TE,118.38603801166009,1.0,0.9999999999999998
R2_4B_OPT_06361,449.0,36.0,TE,57.00870528371052,1.0,1.0000000000000004
R2_4B_OPT_06361,449.0,40.0,TE,53.40982331630791,0.9999999999999998,1.0
R2_4B_OPT_06361,449.0,60.0,TE,167.0522284333272,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,449.25,20.0,TE,77.93903904524477,0.9999587260733822,0.999999792639993
R2_4B_OPT_06361,449.25,30.0,TE,118.82377891420064,1.0,1.0
R2_4B_OPT_06361,449.25,36.0,TE,36.744065587502966,1.0,1.0
R2_4B_OPT_06361,449.25,40.0,TE,46.634192147806154,1.0,1.0
R2_4B_OPT_06361,449.25,60.0,TE,166.65763810526616,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,449.5,20.0,TE,78.45784223705739,0.9999589047349003,0.9999997906215167
R2_4B_OPT_06361,449.5,30.0,TE,119.26006379781862,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,449.5,36.0,TE,8.411362159589972,1.0,1.0
R2_4B_OPT_06361,449.5,40.0,TE,39.12669241371836,1.0,1.0
R2_4B_OPT_06361,449.5,60.0,TE,166.263476487764,1.0,1.0
R2_4B_OPT_06361,449.75,20.0,TE,78.97583911525169,0.9999590789235666,0.9999997885667108
R2_4B_OPT_06361,449.75,30.0,TE,119.69488674988219,1.0000000000000004,1.0
R2_4B_OPT_06361,449.75,36.0,TE,28.123209699583896,0.9999999999999998,1.0
R2_4B_OPT_06361,449.75,40.0,TE,30.367954343807714,0.9999999999999996,0.9999999999999998
R2_4B_OPT_06361,449.75,60.0,TE,165.8697428785637,1.0,1.0
R2_4B_OPT_06361,450.0,20.0,TE,79.49302891815063,0.9999592487115262,0.9999997864748963
R2_4B_OPT_06361,450.0,30.0,TE,120.12824173955815,1.0,0.9999999999999998
R2_4B_OPT_06361,450.0,36.0,TE,67.48378069061275,0.9999999999999998,1.0
