record_id,geometry_id,source_id,source_relative_path,source_row_identifier,source_candidate_id,source_commit,extraction_rule,dedup_action,conflict_status,notes
MAN_EX_N2_L80_H42_C157,GEO_46ae06436effde3b,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C157,EX_N2_L80_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C158,GEO_a2d16ad8bd73fc1c,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C158,EX_N2_L80_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C159,GEO_2e9488043aea8a33,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C159,EX_N2_L80_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C160,GEO_4f8f4c5504adf535,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C160,EX_N2_L80_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C161,GEO_71ddd589aae1ea67,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C161,EX_N2_L80_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L80_H42_C162,GEO_d0440e1d58cfd0dc,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L80_H42_C162,EX_N2_L80_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C152,GEO_9c43055ace111e3a,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C152,EX_N2_L81_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C153,GEO_dee5d0594ed0947a,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C153,EX_N2_L81_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C154,GEO_182760dcd09678a2,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C154,EX_N2_L81_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C155,GEO_e977da05ac485aa9,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C155,EX_N2_L81_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C156,GEO_04bcea5183cdf430,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C156,EX_N2_L81_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C157,GEO_4bf739edfd413ce3,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C157,EX_N2_L81_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C158,GEO_e212631965c711e2,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C158,EX_N2_L81_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
