source_id,relative_path,file_type,source_stage,simulation_method,fidelity_level,row_count,size_bytes,sha256,git_commit,included_in_database,exclusion_reason,notes
SRC_00077,reports/mdc_defect_450/mdc1c2_fmmax_minimal_dipole_compact_results.csv,csv,other,metadata,unknown,4,409,364796fcd3610d9b122b89b6aefb87223ef169d7f797dc6e5ea5ef9ee1a8f54c,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00078,reports/mdc_defect_450/mdc1c2_fmmax_minimal_dipole_report.md,md,other,metadata,unknown,,2194,13de095af19b717f6e1bb7a7411d0c9c41ccd8f99e65e3ac601a94e126bdbd18,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00079,reports/mdc_defect_450/mdc1d0_fdtd_2d_job_manifest.csv,csv,fdtd_validation,FDTD,high_fidelity,12,7849,966218dbbc9062937029f27a84852188e753d928bad57c591666f4f2f304a4e0,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00080,reports/mdc_defect_450/mdc1d0_fdtd_2d_plan.md,md,fdtd_validation,FDTD,high_fidelity,,2218,8a54bd321f379232a6daa785b7852c02a8ef2f4fc59e12ab46e2cf38e4f568c9,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00081,reports/mdc_defect_450/mdc1d0_fdtd_template_audit.csv,csv,fdtd_validation,FDTD,high_fidelity,180,104685,c269b35bc2990692e5eb6cabb1bad09e8213d02450c743d14763822d9c2bbda9,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00082,reports/mdc_defect_450/mdc1d1_native_m1_bare_fab_2d_smoke.md,md,fdtd_validation,FDTD,high_fidelity,,4839,3396b9c6fb045e0f94dec86b8cbe3ee1884622246e45199aed810dad69e992b5,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00083,reports/mdc_defect_450/mdc1d1a_bare_2d_runtime_probe.md,md,fdtd_validation,FDTD,high_fidelity,,481,e864af490d9b746a72fd7b6049e2f09bd0f78095409723f89c9cc1d5a91b0439,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,false,heavy_artifact_or_runtime,
SRC_00084,reports/mdc_defect_450/mdc1d2_native_m1_zl1_2d_validation.md,md,fdtd_validation,FDTD,high_fidelity,,788,00572066f43c60ccdc988bc7eeae11993ef146ba5c5893079aa2b0ae4aae930c,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00085,reports/mdc_defect_450/mdc1d3_native_m1_broadband_spectral_angular_validation.md,md,fdtd_validation,FDTD,high_fidelity,,4120,5c20e34fd45b8c379a2dab68a526239603d06da441268c7b76e7875b926b5356,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00086,reports/mdc_defect_450/mdc_native_m1_420_480_tmm_comparison.md,md,wideband_tmm,TMM,wideband,,112,c5605b8677134840f9fac5f318349573b8ae9fc88fb7577991b2b7615b6dad6e,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00087,reports/mdc_defect_450/mdc_native_m1_explicit_seed_smoke.md,md,other,metadata,unknown,,274,ae04e1727cb369697163ac26abc96ea7f6376056c066d7793e48fd794f7f9719,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00088,reports/mdc_defect_450/mdc_native_m1_integer_tolerance_audit.md,md,tolerance,TMM,tolerance,,7941,5acf2e61fc54bf73a680fb99dca9dd03c263e64da8beeebd8beb202f64fe7695,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00089,reports/mdc_defect_450/mdc_native_m1_loader_audit.md,md,other,metadata,unknown,,192,286a9511e9ad347bb8387c8e287c0ce597976b19644553324a74650cc9763fba,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00090,reports/mdc_defect_450/mdc_native_m1_shortlist_refine.md,md,refine,TMM,refined,,155,f68036846e64e8defe35327c591e5b2f7ea948005eeaa7193c09feb27198fe2f,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00091,reports/mdc_defect_450/mdc_native_m1_topology_coarse_scan.md,md,coarse_scan,TMM,coarse,,331,a389b4c65fe3a82c7080e85f3e8579e1b32910d8b7cbadbae25b20c79f0d76ef,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00092,reports/mdc_defect_450/mdc_native_m1_zl1_alternative_tolerance.md,md,tolerance,TMM,tolerance,,3385,5b5d8a9709e9bc30876bbad9de991655799b6883bfbbd7c56fd451b6feb0a0af,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00093,scripts/02_run_nanofin_single.py,py,other,metadata,unknown,,2271,b0ba88de627f30b105d66c83991f0972be99eebb497bb753acf6a46687e634b6,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00094,scripts/03_compute_xy_phase_delay.py,py,other,metadata,unknown,,1423,5e4038f014e93f90a36545c0d745a541de7e2b3266e633a5c21a0ef9ebb7f8e3,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00095,scripts/05_setup_nanofin_xy_sweep_cases.py,py,other,metadata,unknown,,2519,b16df00faa3f72c5b8f7ca8c950464841d41f26cd7e58a830fc7083f68798c8b,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00096,scripts/06_extract_nanofin_xy_sweep_case.py,py,other,metadata,unknown,,2606,77ea56d5e2e7b83a2a64fc1dc0e2a4072cf80b511f6e5f5650a1924500b5adff,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00097,scripts/07_collect_nanofin_xy_sweep_results.py,py,other,metadata,unknown,,1733,798ddcdbd87069d1270705610f400ed708c0424627bafabb803aba69d4a34642,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00098,scripts/08_run_nanofin_xy_sweep_cases.py,py,other,metadata,unknown,,6619,f2b4abc7b0e84f249d1052ac6af59052f186d9cd284770e19fafffe12c03810f,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
SRC_00099,scripts/13_run_apcd_single_dimer.py,py,other,metadata,unknown,,3103,2de739766c427b3e5ee068a2e8f18f617f6ad5924b9d39f8f6b6b84e20230ea3,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,true,,
