selection,rank,geometry_id,polarization,wavelength_nm,diffraction_order_m,fdt_absolute_order_efficiency,predicted_raw_order_efficiency,absolute_prediction_error,spectral_provider
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,-2,0.02055360989064367,0.02664027481821711,0.00608666492757344,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,-1,0.02868883273586789,0.051533605891977426,0.022844773156109537,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,0,0.6775381905818146,0.517685129661877,0.15985306091993767,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,1,0.01877537695506496,0.006754565144494018,0.012020811810570943,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,2,0.005659284272309609,0.048983462181858915,0.0433241779095493,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,449,3,0.006838085052610974,0.0223796521107197,0.015541567058108725,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,-3,0.009627868576172826,0.01453550034835361,0.004907631772180784,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,-2,0.015822123463372754,0.02981417131057193,0.013992047847199176,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,-1,0.024598790080264953,0.04618371241363282,0.021584922333367864,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,0,0.6767628010451823,0.5207813814985416,0.1559814195466407,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,1,0.0172990233256634,0.006339422310441323,0.010959601015222076,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,2,0.006951051517934031,0.04753637375568212,0.04058532223774809,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,450,3,0.011741519055504638,0.020520327047815402,0.008778807992310764,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,-3,0.008346568690277362,0.015229414221813167,0.006882845531535805,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,-2,0.013263839781105678,0.032668455490244656,0.019404615709138977,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,-1,0.02597665165783631,0.04420600167446994,0.01822935001663363,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,0,0.6451721181670277,0.5107724487321832,0.1343996694348445,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,1,0.018144340261006617,0.008865479004944915,0.009278861256061702,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,2,0.007724403160486128,0.049185898206534594,0.041461495046048465,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,451,3,0.020155341985395817,0.020606372608992042,0.00045103062359622484,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,-3,0.011236833398094151,0.016484863727729202,0.005248030329635051,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,-2,0.016603285679921777,0.034832750111677906,0.018229464431756128,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,-1,0.04156088516010361,0.04637360000471796,0.004812714844614353,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,0,0.5622615984669281,0.4844416051896414,0.07781999327728673,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,1,0.02345604517624746,0.017218970860356606,0.006237074315890854,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,2,0.006748279415852938,0.05387151149413069,0.04712323207827775,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,452,3,0.03257687144300789,0.023048422878992572,0.009528448564015315,LF_ridge_residual/ensemble_raw
