model,slice,value,rows,order_profile_mae,order_profile_rmse,eta_plus1_mae,R_mae,T_mae
resmlp,geometry,K6X_D100_D200_D205_D210_D215_D220,22,0.062536552000827,0.1162865295617365,0.019912474411013185,0.1803619262987503,0.15204278976041813
resmlp,geometry,K6X_D110_D125_D135_D150_D175_D190,22,0.01880821461035156,0.0453431955980849,0.06602747463012881,0.04367609379806237,0.051506854690834374
resmlp,geometry,K6X_D120_D125_D180_D185_D190_D195,22,0.08421906157790714,0.12735671363282092,0.2573301433194535,0.05952301432166074,0.04157895611751573
resmlp,geometry,K6X_D120_D145_D200_D215_D220_D230,22,0.060054380340622875,0.08222215067077422,0.056321925240337946,0.10986038139858864,0.05948076453126704
resmlp,geometry,K6X_D125_D135_D150_D175_D190_D210,22,0.015471439879940303,0.02357289721249899,0.03446737984690422,0.0362461770907914,0.07998332255328316
resmlp,geometry,K6X_D130_D145_D155_D180_D195_D230,22,0.03702296383477068,0.06557163374717305,0.13480799485672829,0.05469489908336338,0.059579645082773844
resmlp,geometry,K6X_D140_D160_D165_D170_D180_D190,22,0.1233824047862567,0.23219687645221995,0.5016766318868962,0.11922970198078887,0.18504139498995656
resmlp,geometry,K6X_D200_D205_D215_D220_D225_D230,22,0.04582812767776208,0.10514460413882028,0.06049136518689579,0.227371465082096,0.1096391067640823
resmlp,polarization,p,143,0.07890457178421904,0.16877340324609544,0.2537908279922954,0.08869495062550953,0.09531350375832222
resmlp,polarization,s,143,0.08727318242894215,0.19448784245536238,0.2729929499022825,0.10039689159083699,0.10677824174574109
resmlp,wavelength,445,26,0.0866289274896487,0.18756590177602298,0.2906644545509123,0.08063165572773744,0.09126003152383129
resmlp,wavelength,446,26,0.08618715092762753,0.18659147277600346,0.2881485418680014,0.08488337209209537,0.08846404446584007
resmlp,wavelength,447,26,0.08545361144899231,0.18614205438860282,0.285651937488954,0.0881397832212097,0.09135361249620834
resmlp,wavelength,448,26,0.08613552245615994,0.18630019875004114,0.2891862180838308,0.1069817329018212,0.09912569764392165
resmlp,wavelength,449,26,0.08501921251263589,0.18396119276934964,0.27801256648584244,0.1200027472815358,0.10494246806703994
resmlp,wavelength,450,26,0.08228343189765853,0.17990496592207247,0.26157772551788716,0.10760629113737538,0.10215500911983154
resmlp,wavelength,451,26,0.0801177153311622,0.1776501809135572,0.25229913262906034,0.09897612976815477,0.09582921632920732
resmlp,wavelength,452,26,0.08268477894504475,0.18105561505380913,0.2466226245171998,0.08417508439692024,0.11555257663715233
resmlp,wavelength,453,26,0.08100716857018397,0.1824895605240481,0.23805860280142235,0.09388112030441462,0.11288906307940513
resmlp,wavelength,454,26,0.07926708861032199,0.17750998062602963,0.2300199657358251,0.08859469791732805,0.10652568678452383
resmlp,wavelength,455,26,0.07919303998295069,0.1731775315804136,0.23706900874124281,0.08613251744131328,0.10340719412538668
residual_mlp,geometry,K6X_D100_D105_D115_D120_D125_D130,22,0.15837320970065955,0.28454106837371057,0.09488848711016162,0.03817592163151153,1.0278200642167754
residual_mlp,geometry,K6X_D100_D110_D115_D220_D225_D230,22,0.18526712461323314,0.42026959761525345,0.0767438530817003,0.05181312199156241,1.1016921239046118
residual_mlp,geometry,K6X_D100_D115_D130_D145_D155_D185,22,0.15191485661748722,0.36799182608410236,0.971002125460359,0.026232398411324284,0.986825127515398
residual_mlp,geometry,K6X_D100_D130_D135_D155_D160_D225,22,0.137926667953947,0.23070419986992557,0.5609883567649521,0.03763345707423549,0.9329914751586386
residual_mlp,geometry,K6X_D100_D140_D145_D155_D225_D230,22,0.16642485578430094,0.1998218126702648,0.2280027225288417,0.17597137274147598,0.7684929713140306
residual_mlp,geometry,K6X_D100_D200_D205_D210_D215_D220,22,0.15126197257578675,0.33823591810891757,0.0355717025078925,0.128318924135357,0.9514638677791694
residual_mlp,geometry,K6X_D110_D125_D135_D150_D175_D190,22,0.1540916760286331,0.3824920838816616,1.0052707774338105,0.04938790748058374,1.0222603148579739
residual_mlp,geometry,K6X_D120_D125_D180_D185_D190_D195,22,0.16241155076993521,0.24228804544930854,0.5373051024263789,0.07236824436177228,1.1113896794294955
residual_mlp,geometry,K6X_D120_D145_D200_D215_D220_D230,22,0.15399673823625787,0.20751831888811187,0.2336205860761086,0.12753259978633522,0.9348258513217454
