source_fsp_path,material_name,frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,data_kind,interpolation_method
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,793101740740740.8,378.0,2.0465065599933228,0.0,1.4305616239761652,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,791009124010554.0,379.0,2.0462819315236773,0.0,1.4304831112332914,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,788927521052631.5,380.0,2.0460584853091355,0.0,1.4304050074398982,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,786856845144356.9,381.0,2.045836212040602,0.0,1.4303273094087947,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,784797010471204.1,382.0,2.04561677811088,0.0,1.4302505997589654,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,782747932114882.5,383.0,2.045400094456744,0.0,1.4301748475122698,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,780709526041666.6,384.0,2.0451845393633072,0.0,1.4300994858272298,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,778681709090909.0,385.0,2.0449701040365893,0.0,1.4300245116908274,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,776664398963730.5,386.0,2.0447567797737403,0.0,1.4299499221209602,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,774657514211886.2,387.0,2.044544557961862,0.0,1.4298757141660468,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,772660974226804.0,388.0,2.0443353310103567,0.0,1.429802549658643,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,770674699228791.8,389.0,2.0441287348516957,0.0,1.429730301438595,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,768698610256410.2,390.0,2.043923198160515,0.0,1.429658420099191,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,766732629156010.1,391.0,2.0437187128079084,0.0,1.4295869028526766,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,764776678571428.5,392.0,2.0435152707479167,0.0,1.4295157469394721,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,762830681933842.1,393.0,2.0433128640164746,0.0,1.4294449496278179,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,760894563451776.6,394.0,2.0431128602289097,0.0,1.4293749893673493,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,758968248101265.8,395.0,2.042915932295938,0.0,1.4293061016786914,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,757051661616161.6,396.0,2.0427199989484865,0.0,1.4292375586124535,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,755144730478589.4,397.0,2.0425250526707956,0.0,1.4291693575888043,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,753247381909547.6,398.0,2.0423310860226405,0.0,1.429101496053601,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,751359543859649.1,399.0,2.0421380916383858,0.0,1.4290339714780702,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,749481144999999.9,400.0,2.041946218697563,0.0,1.4289668361083692,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,747612114713217.0,401.0,2.0417582070654867,0.0,1.4289010487313272,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,sio222,745752383084577.1,402.0,2.041571130814665,0.0,1.4288355856482107,0.0,300_1000nm_1nm,linear_complex_epsilon_vs_frequency_within_native_range
