frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,material_name
1221084886678190.5,245.51320000000004,4.49632855884304,0.0,2.1204548,0.0,tio22
1233174368578683.2,243.10630000000003,4.36791357398916,0.0,2.0899554,0.0,tio22
1245264544374568.8,240.7460000000001,4.24934027589184,0.0,2.0613928,0.0,tio22
1257354673949832.8,238.43110000000001,4.13940021306256,0.0,2.0345516,0.0,tio22
1269444233664916.0,236.16039999999998,4.036997155983999,0.0,2.009228,0.0,tio22
1281534571525791.2,233.9324,3.94112544743824,0.0,1.9852268,0.0,tio22
1293624050793497.5,231.7462,3.8508591244323602,0.0,1.9623606,0.0,tio22
1305714574414754.8,229.6003,3.76533766452484,0.0,1.9404478,0.0,tio22
1317804380688888.5,227.49390000000005,3.68375778561924,0.0,1.9193118,0.0,tio22
1329894173603908.8,225.42579999999998,3.6053609313294404,0.0,1.8987788,0.0,tio22
1341984342525276.8,223.39490000000004,3.5294340335694403,0.0,1.8786788,0.0,tio22
1354074307939058.8,221.40030000000002,3.45531142587024,0.0,1.8588468,0.0,tio22
1366164290173668.5,219.441,3.38238002997504,0.0,1.8391248,0.0,tio22
1378254106247767.2,217.51610000000002,3.31009555294224,0.0,1.8193668,0.0,tio22
1390343768594228.8,215.6247,3.2379987091360003,0.0,1.799444,0.0,tio22
1402434149896755.8,213.76580000000004,3.16573910290576,0.0,1.7792524,0.0,tio22
1414523711562017.0,211.9388,3.09308759654976,0.0,1.7587176,0.0,tio22
1426613715346761.8,210.14270000000002,3.0199571814457604,0.0,1.7378024,0.0,tio22
1438703627275205.2,208.3768,2.94640589349604,0.0,1.7165098,0.0,tio22
1450793760945953.0,206.64029999999997,2.87262092620864,0.0,1.6948808,0.0,tio22
1462883915435570.2,204.9325,2.7989116008270396,0.0,1.6729948,0.0,tio22
1474973323860729.0,203.2528,2.725662317764,0.0,1.650958,0.0,tio22
1487063550996699.8,201.6003,2.6533008756993604,0.0,1.6288956,0.0,tio22
1499153432062587.8,199.97450000000003,2.582265805249,0.0,1.606943,0.0,tio22
302249748454938.6,991.87,4.933633430399999,0.2139052759999999,2.2217,0.04814,APCD_GAN_NATIVE_M1
306245041014168.6,978.9299999999998,4.939387407899999,0.21514194,2.223,0.04839,APCD_GAN_NATIVE_M1
310244598524283.1,966.3100000000001,4.9455895104,0.216389632,2.2244,0.04864,APCD_GAN_NATIVE_M1
314241271671453.4,954.02,4.951349279999998,0.2176734599999999,2.225699999999999,0.04889999999999999,APCD_GAN_NATIVE_M1
318240881925204.1,942.03,4.957113277499999,0.2189141,2.226999999999999,0.04915000000000001,APCD_GAN_NATIVE_M1
322236210028483.9,930.3499999999999,4.963325211900001,0.2202104880000001,2.2284,0.04941000000000001,APCD_GAN_NATIVE_M1
326233699330757.9,918.95,4.9695409311,0.221508332,2.2298,0.04967,APCD_GAN_NATIVE_M1
330233370051331.8,907.8199999999998,4.975760435099999,0.2228076319999999,2.2312,0.04993,APCD_GAN_NATIVE_M1
334231691491259.4,896.9599999999998,4.98198272,0.22415304,2.2326,0.05019999999999999,APCD_GAN_NATIVE_M1
338228776118055.9,886.3599999999999,4.988209788399999,0.2254552799999999,2.234,0.05045999999999998,APCD_GAN_NATIVE_M1
342224926656088.4,876.01,4.994439627099998,0.2268036839999999,2.235399999999999,0.05073,APCD_GAN_NATIVE_M1
346224645162780.5,865.89,5.00067324,0.2281536,2.2368,0.05099999999999999,APCD_GAN_NATIVE_M1
350220742748332.4,856.01,5.0073582771,0.229515282,2.2383,0.05127,APCD_GAN_NATIVE_M1
354218063448927.7,846.3500000000001,5.0135986875,0.23091307,2.2397,0.05155,APCD_GAN_NATIVE_M1
358217777512247.6,836.9000000000001,5.020292127599999,0.2322779679999999,2.2412,0.05181999999999998,APCD_GAN_NATIVE_M1
362212546063044.5,827.6699999999998,5.026988879999998,0.2336893399999999,2.2427,0.05209999999999999,APCD_GAN_NATIVE_M1
366212401206894.4,818.63,5.033689975600001,0.235102392,2.2442,0.05238,APCD_GAN_NATIVE_M1
370210126082070.7,809.7899999999998,5.040394361099999,0.236562038,2.2457,0.05267000000000001,APCD_GAN_NATIVE_M1
374207327058941.1,801.1399999999999,5.047104137499999,0.23797848,2.2472,0.05295,APCD_GAN_NATIVE_M1
378205883911337.6,792.67,5.054266942399999,0.2394522239999999,2.2488,0.05324,APCD_GAN_NATIVE_M1
382203087789081.9,784.3799999999999,5.0609846291,0.240917118,2.2503,0.05352999999999999,APCD_GAN_NATIVE_M1
386201089841032.7,776.26,5.068155941099999,0.2424395539999999,2.2519,0.05383,APCD_GAN_NATIVE_M1
390197261522041.9,768.3099999999999,5.0748825856,0.243908016,2.2534,0.05412,APCD_GAN_NATIVE_M1
394194048808709.9,760.5199999999999,5.082063463599998,0.2454342,2.254999999999999,0.05442,APCD_GAN_NATIVE_M1
398194211560939.3,752.88,5.0892492816,0.246962304,2.2566,0.05472,APCD_GAN_NATIVE_M1
402190042929970.5,745.4,5.096440039599999,0.2484923279999999,2.2582,0.05501999999999999,APCD_GAN_NATIVE_M1
406189819255887,738.0600000000002,5.104086601099998,0.2500805339999999,2.2599,0.05532999999999999,APCD_GAN_NATIVE_M1
410185748491523.8,730.8700000000001,5.111286440399998,0.2516597199999999,2.2615,0.05563999999999999,APCD_GAN_NATIVE_M1
414180953828299.9,723.8199999999999,5.118943837499998,0.2532520799999999,2.263199999999999,0.05594999999999999,APCD_GAN_NATIVE_M1
418178906402566.6,716.9,5.126606822399998,0.2548465479999999,2.264899999999999,0.05625999999999999,APCD_GAN_NATIVE_M1
422177490811282.8,710.1099999999999,5.133820953600001,0.25647714,2.2665,0.05657999999999999,APCD_GAN_NATIVE_M1
426174508493851.8,703.45,5.141493630000002,0.2581211600000001,2.268200000000001,0.0569,APCD_GAN_NATIVE_M1
430173850281958.9,696.9100000000001,5.149625871600001,0.2597788,2.27,0.05721999999999999,APCD_GAN_NATIVE_M1
434173497081782.4,690.4900000000001,5.157310038399998,0.2614272359999999,2.271699999999999,0.05754,APCD_GAN_NATIVE_M1
438171352986743.5,684.1899999999998,5.165453313099999,0.26313489,2.2735,0.05786999999999999,APCD_GAN_NATIVE_M1
442165245350363.6,678.01,5.173147799999998,0.2648332799999999,2.275199999999999,0.05819999999999999,APCD_GAN_NATIVE_M1
446166204813001.4,671.9299999999999,5.181302068399998,0.2665911599999999,2.277,0.05853999999999998,APCD_GAN_NATIVE_M1
450165862814583.4,665.96,5.189463763099999,0.268305912,2.278799999999999,0.05887000000000001,APCD_GAN_NATIVE_M1
454162184517497.3,660.1,5.197630535900002,0.2700686520000001,2.2806,0.05921000000000001,APCD_GAN_NATIVE_M1
458160066632026.2,654.3399999999999,5.206258856399999,0.2718913999999999,2.2825,0.05955999999999998,APCD_GAN_NATIVE_M1
462157701794413.2,648.6800000000001,5.214438479999998,0.27365914,2.2843,0.0599,APCD_GAN_NATIVE_M1
466153218683915.9,643.12,5.223080377500001,0.2754871,2.2862,0.06025000000000001,APCD_GAN_NATIVE_M1
470152055202697.4,637.6500000000001,5.231728037899999,0.2773634819999999,2.2881,0.06061,APCD_GAN_NATIVE_M1
474145090782564.7,632.2800000000001,5.240383878399999,0.2791968,2.29,0.06095999999999999,APCD_GAN_NATIVE_M1
478145517472367.9,626.99,5.2490454676,0.281078616,2.2919,0.06132,APCD_GAN_NATIVE_M1
482144225542385.8,621.79,5.258171553899999,0.2830213819999999,2.2939,0.06168999999999999,APCD_GAN_NATIVE_M1
486139420769280.8,616.6799999999999,5.2668474375,0.28490878,2.2958,0.06205000000000001,APCD_GAN_NATIVE_M1
490137264775607,611.65,5.275988583599998,0.286857352,2.2978,0.06242,APCD_GAN_NATIVE_M1
494136241964727.2,606.6999999999999,5.2851362,0.28885488,2.2998,0.06279999999999999,APCD_GAN_NATIVE_M1
