case_id,polarization,wavelength_nm,order_n,u_x,transmitted_fraction,eta_abs,power_source_norm
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,2,-0.023057974344168286,0.07081311928957557,0.056782914813086276,0.07081311928957555
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,3,0.23728685324203863,0.0359656791819864,0.028839798580743536,0.03596567918198639
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,4,0.4976316808282455,0.022766809987202142,0.018256021554177316,0.02276680998720214
CONTROL0_NEG0378_P,P_XLIKE,453.00000000000006,5,0.7579765084144524,0.04301221009574763,0.03449020020996233,0.04301221009574762
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,-1,-0.8058674956394396,0.009136066530179673,0.007324889831466678,0.009136066530179671
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,0,-0.5449479554095545,0.08548219295052192,0.06853580190625391,0.08548219295052191
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,1,-0.28402841517966954,0.7462648710101353,0.5983218212329973,0.7462648710101352
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,2,-0.023108874949784544,0.055695764800624346,0.044654375041621966,0.05569576480062433
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,3,0.23781066528010048,0.02788847109507313,0.02235972972226551,0.027888471095073124
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,4,0.4987302055099854,0.022394661481410456,0.017955038705382096,0.022394661481410453
CONTROL0_NEG0378_P,P_XLIKE,453.9999999999999,5,0.7596497457398704,0.053137972132055226,0.042603651193769965,0.05313797213205521
CONTROL0_NEG0378_P,P_XLIKE,455.00000000000006,-1,-0.8076425341760906,0.008489532848836164,0.006777012546565835,0.008489532848836162
CONTROL0_NEG0378_P,P_XLIKE,455.00000000000006,0,-0.5461482813025273,0.0921583025004118,0.07356800231960013,0.09215830250041179
CONTROL0_NEG0378_P,P_XLIKE,455.00000000000006,1,-0.2846540284289641,0.7408629513916548,0.5914150526616254,0.7408629513916547
CONTROL0_NEG0378_P,P_XLIKE,455.00000000000006,2,-0.02315977555540082,0.05079932570132349,0.04055201549542852,0.050799325701323485
CONTROL0_NEG0378_P,P_XLIKE,455.00000000000006,3,0.23833447731816246,0.025675932414617436,0.020496547833311392,0.025675932414617433
