candidate_id,score,failure_mode,pass_level,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,corrected_normal_offaxis_ratio,offaxis_20_60_response,offaxis_30_40_response,spectral_fwhm_nm_normal_window
R2_4D2_OPT_07604,-29.754873,peak_angle_gt7;spectral_fwhm_gt8;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule,fail_corrected_proxy,7.5,10.354,7.04529,0.2287170295,0.2623477124,9.092
R2_4D2_OPT_12265,-29.824562,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.578,6.475921,0.1853254465,0.2672678075,5.013
R2_4D2_OPT_03038,-29.873768,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,9.121,8.415264,0.1636957302,0.3748647143,7.319
R2_4D2_OPT_12817,-30.046806,spectral_fwhm_gt8;spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy,6.5,12.235,6.673056,0.3004121103,0.3189065846,8.736
R2_4D2_OPT_12190,-30.163273,peak_angle_gt7;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,8.0,6.937,5.603658,0.0884241958,0.1064964665,7.129
R2_4D2_OPT_13278,-30.363929,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.977,5.362531,0.1715205489,0.2065380107,5.275
R2_4D2_OPT_08978,-30.737522,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,9.649,8.282645,0.191971177,0.4360389491,5.754
R2_4D2_OPT_12998,-30.90756,30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,9.73,8.772498,0.3057209686,0.8228798545,4.267
R2_4D2_OPT_12916,-31.100814,30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,10.597,8.777962,0.2949693805,0.7868064905,4.943
R2_4D2_OPT_12423,-31.216674,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.757,5.970274,0.2378552014,0.2883398535,5.897
R2_4D2_OPT_12962,-31.288882,spectral_fwhm_gt8;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule,fail_corrected_proxy,6.5,12.432,6.311779,0.4441420868,0.4068989245,9.522
R2_4D2_OPT_12021,-31.317696,30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.0,9.433,7.911211,0.1758677074,0.4546581089,4.751
