candidate_id,wavelength_nm,input_polarization,order_m,order_n,target_order,reflected_power,transmitted_power,propagating_estimate,energy_balance_error
H1C1B_V2_015,435.0,y,-2,-2,False,-1.3552527156068805e-20,-6.776263578034403e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,3,False,2.5500068199760852e-21,1.8306786145321866e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,-3,False,-5.2230647010401655e-22,-4.613484125207869e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,0,False,-1.0101945268771507e-20,1.1522302211893334e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,0,False,1.379478258852045e-21,-8.984857429138933e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,-3,False,-0.0,6.352747104407253e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,1,False,3.3881317890172014e-21,-8.470329472543003e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,-1,False,1.6940658945086007e-21,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,-1,False,-0.0,6.776263578034403e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,-3,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,3,False,-2.117582368135751e-22,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,1,False,-0.0,1.6940658945086007e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,3,False,-0.0,3.3881317890172014e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,-3,False,2.117582368135751e-21,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,2,False,-3.3881317890172014e-21,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,-2,False,4.235164736271502e-22,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,-3,False,2.117582368135751e-22,6.1409888675936775e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,3,False,6.776263578034403e-21,-6.776263578034403e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,-2,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,2,False,-8.470329472543003e-22,-1.2705494208814505e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,3,False,-3.5998900258307764e-21,5.293955920339377e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,4,False,-1.902115311030219e-25,-3.446040348527008e-23,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,-4,False,-8.120807479199006e-23,-1.2517299490971311e-23,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,4,0,False,2.042217476719173e-21,4.9825190785421945e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,0,False,4.1052602862930833e-22,-6.508123958763188e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,-4,False,-1.6940658945086007e-21,-2.3822801641527197e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,4,False,2.150669592637872e-22,-8.470329472543003e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,4,-1,False,8.470329472543003e-22,3.3881317890172014e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,4,False,-1.5881867761018131e-22,-8.470329472543003e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,-4,False,-0.0,1.4558378780933287e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,-1,False,-1.2705494208814505e-21,4.235164736271502e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,4,1,False,4.235164736271502e-22,-2.964615315390051e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,1,False,8.470329472543003e-22,1.6940658945086007e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,3,False,2.117582368135751e-22,-1.0587911840678754e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,3,False,-0.0,-2.6469779601696886e-23,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,-3,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,-3,False,-1.0587911840678754e-22,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,-2,False,-1.6940658945086007e-21,-3.3881317890172014e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,4,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-2,-4,False,1.0587911840678754e-22,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,4,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,-4,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,2,False,-0.0,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,4,-2,False,8.470329472543003e-22,1.6940658945086007e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,4,2,False,8.470329472543003e-22,-1.6940658945086007e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,-5,False,-7.036627779190912e-23,3.1960563623442208e-24,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,5,0,False,3.415621839512534e-21,-4.769579660173646e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,0,5,False,1.871324573049426e-22,-4.2657457723120975e-23,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-5,0,False,1.5443927633579846e-21,1.3844306634863015e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,4,False,-1.5881867761018131e-22,-4.235164736271502e-22,False,3.552713678800501e-15
