geometry_uid,exact_hash,source_stage,source_file,material_contract,solver_lineage,H_global_nm,J1_side_nm,J2_length_nm,J2_width_nm,D_nm,Psi_deg,wavelength_count,mean_useful_power,worst_useful_power,mean_DoLP,worst_DoLP,mean_x_fidelity,worst_x_fidelity,mean_leakage_power,worst_leakage_power,mean_rank_contrast,worst_rank_contrast,mean_rank_error,worst_rank_error,mean_total_power,useful_power_range,DoLP_range,x_fidelity_range,phase_txx_mean_deg,phase_txx_range_deg,fabrication_margin,qualification,pareto_rank,promotion_role
H1C1B_V2_003,82ae7eddd69475b1d8e7ad2af7c7ee4c26ebfe1d681a9ab10fcb0a162e307a71,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,110.0,114.0,106.0,185.06755523321746,1.5481576989779677,9,0.48984532495110944,0.4766170186685652,0.8161988816436178,0.578208174105963,0.9075817800574981,0.7889065560777471,0.0527791556688634,0.0009686831817179372,6.923169232835694,1.9343443466551995,0.2888123005152817,0.033934691818203994,0.5426244806199728,0.03969116648720172,0.4194554835596438,0.2091365735457894,99.53225344689466,34.56353952723168,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_004,04cb9d44d747b7ef318eaafa8f93a9794b396880c31fe27952273b4755e6fabf,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,108.0,108.0,100.0,195.0,0.0,9,0.38778143239861296,0.14561679354301732,0.7934025192461669,0.46805701006898476,0.8967012596230836,0.7340285050344924,0.05575723452868897,0.0018765613813599988,4.469838277602756,1.661265000915186,0.31524160421945857,0.09987275761680908,0.4435386669273019,0.3690590771981333,0.5121908733275986,0.2560954366637993,82.92218177377012,103.28780903611664,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_005,7ba530060e07eb8b651007da12053d43b506b488dc27a8b1ba186f7b9dd2ce82,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,109.0,107.0,99.0,195.0,0.0,9,0.34845912560652254,0.03574980915992627,0.8265127689986401,0.6609805972561811,0.91325638449932,0.8304902986280905,0.03752658952719778,0.00027188571736996007,6.347840721697559,2.2134514593924592,0.2897971565402834,0.033086876205303616,0.38598571513372026,0.46898252167904136,0.3368323142859986,0.16841615714299907,90.55370354894305,116.71586560794384,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_006,1409bb7ab8472fb10cb6dcb206ee2b7b5f1b5ad57cf12abd17ab888ea16fe477,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,108.0,108.0,100.0,195.00256408570633,0.2938219346507038,9,0.38517957143757586,0.05670171543533122,0.789809635881175,0.4736013235783308,0.8949024383617439,0.736795446615867,0.05579580298981843,0.0019090635528211048,4.2769257958207145,1.6731483570388406,0.32127338447749376,0.0859209379617598,0.4409753744273944,0.44598275835012224,0.5117402926925279,0.2558728335817556,80.46817345581911,103.00457470454995,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_007,19738137aaa1e4b8261de1f1241432964e14358630b39713caad5dbdde72cb8d,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,112.0,112.0,101.0,188.13027401245128,-2.132368436554014,9,0.4910780519357614,0.4814859011584483,0.49844823071369615,0.055052665062122516,0.7486514554133045,0.5262380495769621,0.18507954488843548,0.020586754754233143,2.11041328283385,1.0566793482824013,0.5751848275532834,0.2028272603908628,0.6761575968241968,0.016832824855683548,0.8659088584029105,0.43281974048765803,100.6165825077005,26.488438345515874,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_008,da6aaa5979114e372a353797bfe61f62caca78d25f460bd81b195c53ef83ea88,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,111.0,113.0,102.0,188.13027401245128,-2.132368436554014,9,0.4908053064834817,0.4791740169834844,0.5102758903764067,0.022322414557395066,0.7539791760907105,0.5074774922277879,0.19248595132835186,0.01186693091479738,2.607893484258332,1.0225784728473628,0.5595727623035951,0.145642157599106,0.6832912578118335,0.023661148404332977,0.9359785606450227,0.468896658293499,97.43504170824093,35.27767501242732,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_009,955c293def3063f64969c25743e14ce122e7ed0364b12be0b9f75cdb350cb800,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,114.0,111.0,96.0,191.1674658512792,2.398421334092505,9,0.44983949261580136,0.32064191814755194,0.8461854452211537,0.7785726805670803,0.9193150095651512,0.8833287008177114,0.04062619208167541,0.008595849584667076,4.019272609046861,2.843849970429716,0.27194721301081437,0.13815512085135995,0.49046568469747676,0.20226493093971132,0.18396512433858858,0.09728493109282044,84.84621468033298,54.3641419133383,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,1,P0_PROVISIONAL_PRIMARY
H1C1B_V2_010,3f1dc26c576ffc1bc4c074f90d1c58ade24eb09b6926603aa8208ee52da19611,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,113.0,111.0,96.0,191.26160095534075,2.997042580283685,9,0.4413598862440051,0.2879008750862209,0.8596814071243496,0.7394222238887669,0.9286308385584824,0.8670388237799186,0.03709022798776618,0.0015848382040880118,5.256558269320928,2.594278513433502,0.2571860631599951,0.06961717254588777,0.4784501142317713,0.2229802792889855,0.25076493318192816,0.1276375251812012,76.9193344063759,58.48592291876838,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,3,P0_RUNNER_UP
H1C1B_V2_012,9191ce264313547454e8730bd323ea9ae49244af138113c2fa5b75e1a627857b,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,109.0,106.0,95.0,205.08778608196053,-1.6764710468067516,9,0.4221664334552526,0.13867758005237274,0.8989727545097852,0.711158627148674,0.9494306293798694,0.8555515936979329,0.02603992236313586,0.00023021155134648097,7.801385246138082,2.4340994027534295,0.20689310765616495,0.03939000776500136,0.44820635581838847,0.37067336540254514,0.28567579616387995,0.14279110868982636,78.9364135635671,73.75462954027,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,4,P0_BACKUP
H1C1B_V2_013,d6ad22518feea3394bc517af8abfa35c63b2b3e468f8a27dc441195efe0dfd55,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,114.0,100.0,94.0,180.22485955050706,2.8624052261117474,9,0.13400604968766372,0.008020937742819884,0.7808830999053608,0.4184428023048074,0.8683771746978878,0.6022017352503497,0.012896849453130112,0.0025281289810489102,7.953655823985788,2.0125811232391926,0.22181494788121706,0.030337089366593396,0.14690289914079382,0.46415714230872734,0.5202076880170359,0.3628520418281094,138.70092687912705,327.2528946780128,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_014,840a139895f1aaba3b9b5a93707d8e67c51fddb97f3e81fa32aeb07d2309d87e,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,106.0,100.0,106.0,190.12890364171355,-2.1099428481332576,9,0.46604874867550666,0.4395228203977462,0.40262220500480067,0.08342291180613232,0.7009452686795943,0.5416818755142894,0.22583231524768654,0.02075304423178743,1.8883235267508596,1.0872331358195357,0.6526830476085557,0.21369626063391392,0.6918810639231932,0.04652561142470313,0.8290273080002928,0.41413840063036156,71.76639284016635,23.20071759557254,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,,
H1C1B_V2_015,6af50bfc327c190ec461a424241496195795522cfecaefde81b65228f40dbbc7,H1C1B,reports\stage_h1c1b_broadband_adaptive\h1c1b_broadband_full_jones.csv,APCD_TIO2_NATIVE_M1,historical real FDTD H1C1A/B/C,550.0,110.0,114.0,94.0,200.12246250733574,2.004534032105904,9,0.33404656237515973,0.05751664333315031,0.8842330998026832,0.760543161519201,0.9416163845645864,0.880210886623472,0.02479747837068988,0.001769117445411139,6.638116795616207,2.714759058131956,0.2240587235780796,0.043245757510781815,0.3588440407458495,0.4569111005438413,0.21762841808361133,0.10861177713235981,86.94616447112804,126.64969061413859,FABRICATION_MARGIN_NOT_AVAILABLE_FROM_EXISTING_PHYSICS,NATIVE_COMPATIBLE_HISTORICAL_FULL_JONES,2,P0_RUNNER_UP
