geometry_id,wavelength_nm,true_delta_eta_plus1,true_abs_delta_eta_plus1,pred_delta_eta_plus1__LF_only,pred_delta_eta_plus1__LF_global_bias,pred_delta_eta_plus1__LF_affine,pred_delta_eta_plus1__LF_ridge_residual,pred_delta_eta_plus1__LF_paired_shared_contrast,pred_delta_eta_plus1__corrected_residual_mlp,pred_delta_eta_plus1__direct_mlp,pred_delta_eta_plus1__resmlp,pred_delta_eta_plus1__circular_cnn
K6X_D100_D130_D135_D155_D160_D225,451,-0.02598189155399999,0.02598189155399999,0.0,0.0,-0.03270580204525497,-0.032705448444144025,-0.012030973687891189,-0.010644674301147461,0.009153028329213497,0.01482490698496497,-0.01044171055157972
K6X_D100_D130_D135_D155_D160_D225,452,-0.018926647232000104,0.018926647232000104,0.0,0.0,-0.03270580204525497,-0.03270544844414425,-0.008157703920035786,-0.012246668338775635,0.016671955585479736,0.018991927305857303,-0.010441372791926029
K6X_D100_D130_D135_D155_D160_D225,453,-0.012677232390999937,0.012677232390999937,0.0,0.0,-0.03270580204525486,-0.03270544844414425,-0.004193146184734875,-0.012994110584259033,0.025578637917836433,0.023542801539103264,-0.01044093569119764
K6X_D100_D130_D135_D155_D160_D225,454,-0.008914920594999987,0.008914920594999987,0.0,0.0,-0.03270580204525486,-0.032705448444144136,-7.305614059394117e-05,-0.012533386548360226,0.03570844729741418,0.028437872727712032,-0.010440627733866448
K6X_D100_D130_D135_D155_D160_D225,455,-0.008714737723999999,0.008714737723999999,0.0,0.0,-0.032705802045255083,-0.03270544844414425,0.0041490714002325735,-0.01069839795430505,0.04679550727208459,0.033659060796101925,-0.010440220435460335
K6X_D100_D140_D145_D155_D225_D230,445,0.11482951317799997,0.11482951317799997,0.0,0.0,-0.042459643753243737,-0.042459184697777846,0.00726142174384703,0.007819801568984985,0.09872361520926154,0.08559818069140113,-0.026649842659632383
K6X_D100_D140_D145_D155_D225_D230,446,0.10607995602800002,0.10607995602800002,0.0,0.0,-0.04245964375324379,-0.04245918469777782,0.00973198895598798,0.009492551287015316,0.10555984079837799,0.08486341436704004,-0.026695996522903442
K6X_D100_D140_D145_D155_D225_D230,447,0.101393122592,0.101393122592,0.0,0.0,-0.04245964375324379,-0.04245918469777776,0.011820725779448926,0.012805004914601625,0.11202060182889301,0.08402370413144433,-0.026742125550905854
K6X_D100_D140_D145_D155_D225_D230,448,0.114069083565,0.114069083565,0.0,0.0,-0.04245964375324385,-0.04245918469777782,0.013562302151162442,0.018137723207473755,0.11801707744598389,0.08298492431640625,-0.026788294315338135
K6X_D100_D140_D145_D155_D225_D230,449,0.10454003501200004,0.10454003501200004,0.0,0.0,-0.042459643753243737,-0.04245918469777776,0.01492756632783987,0.025960773229599,0.12349901596705115,0.08167065183321637,-0.026834463079770388
K6X_D100_D140_D145_D155_D225_D230,450,0.10852712226699995,0.10852712226699995,0.0,0.0,-0.04245964375324385,-0.04245918469777782,0.016269220366540715,0.037672728300094604,0.12844466666380566,0.08002929886182147,-0.026880661646525056
K6X_D100_D140_D145_D155_D225_D230,451,0.13611690844400004,0.13611690844400004,0.0,0.0,-0.04245964375324385,-0.04245918469777782,0.019110027657743056,0.05366330345471704,0.1328439513842265,0.07802816232045495,-0.02692676583925882
K6X_D100_D140_D145_D155_D225_D230,452,0.17192465312599997,0.17192465312599997,0.0,0.0,-0.04245964375324379,-0.04245918469777782,0.033272332162367746,0.05446869134902954,0.13668304185072577,0.07564437389373779,-0.026972979307174683
K6X_D100_D140_D145_D155_D225_D230,453,0.21517041048099997,0.21517041048099997,0.0,0.0,-0.04245964375324379,-0.04245918469777776,0.0771560166138418,-0.003075400988260868,0.13993701835473377,0.07285508513450623,-0.027019177873929323
K6X_D100_D140_D145_D155_D225_D230,454,0.258673225184,0.258673225184,0.0,0.0,-0.04245964375324379,-0.04245918469777782,0.08092733741658681,-0.0051451126734415875,0.1425687323013941,0.06963626543680829,-0.027065316836039216
K6X_D100_D140_D145_D155_D225_D230,455,0.28356771511400003,0.28356771511400003,0.0,0.0,-0.04245964375324379,-0.042459184697777874,0.06516680934964486,-0.007312973340352358,0.1445391525824865,0.06596433122952783,-0.027111485600471497
K6X_D100_D140_D165_D190_D225_D230,445,0.16443931464752592,0.16443931464752592,0.0,0.0,-0.039690727539180515,-0.03969029842004956,-0.11909817210464929,-0.18989593784014386,-0.0315462201833725,0.02664512644211453,-0.10735379656155902
K6X_D100_D140_D165_D190_D225_D230,446,0.1746662768128247,0.1746662768128247,0.0,0.0,-0.03969072753918046,-0.03969029842004956,-0.1146159182666171,-0.18719123800595602,-0.023430809378623962,0.035487177471319825,-0.10740616917610168
K6X_D100_D140_D165_D190_D225_D230,447,0.16631700993417461,0.16631700993417461,0.0,0.0,-0.03969072753918046,-0.03969029842004945,-0.11219086162445274,-0.18485212326049805,-0.014555176099141448,0.04432301968336105,-0.10745818416277564
K6X_D100_D140_D165_D190_D225_D230,448,0.13712189029121089,0.13712189029121089,0.0,0.0,-0.03969072753918046,-0.03969029842004956,-0.11517693905428039,-0.1866449018319448,-0.005000149210294097,0.05297769606113434,-0.10750995079676312
K6X_D100_D140_D165_D190_D225_D230,449,0.0585628938129647,0.0585628938129647,0.0,0.0,-0.03969072753918046,-0.03969029842004956,-0.13594314096561894,-0.19963724414507547,0.005127588907877623,0.06127625703811647,-0.10756127039591468
K6X_D100_D140_D165_D190_D225_D230,450,0.043516061740681344,0.043516061740681344,0.0,0.0,-0.03969072753918046,-0.03969029842004956,-0.1891292713482295,-0.1914743532737096,0.015693679451942444,0.0690438946088155,-0.10761234164237976
K6X_D100_D140_D165_D190_D225_D230,451,0.04090940454214287,0.04090940454214287,0.0,0.0,-0.03969072753918049,-0.039690298420049605,-0.17181156007941348,-0.15753552814324695,0.02653530240058899,0.07610930502414703,-0.10766298572222388
K6X_D100_D140_D165_D190_D225_D230,452,0.05187795931661782,0.05187795931661782,0.0,0.0,-0.03969072753918049,-0.03969029842004956,-0.09385724792167982,-0.08367469906806946,0.037460779150327056,0.08231076349814732,-0.10771341125170392
K6X_D100_D140_D165_D190_D225_D230,453,0.07015761041723123,0.07015761041723123,0.0,0.0,-0.03969072753918046,-0.03969029842004956,-0.018949443821845102,0.011074985067049653,0.04825293024381003,0.08750826368729274,-0.10776340961456299
K6X_D100_D140_D165_D190_D225_D230,454,0.08437097393918697,0.08437097393918697,0.0,0.0,-0.03969072753918057,-0.03969029842004962,-0.03661567250037534,-0.04618608951568601,0.05867504080136615,0.09159682194391887,-0.10781311988830566
K6X_D100_D140_D165_D190_D225_D230,455,0.08333269716553282,0.08333269716553282,0.0,0.0,-0.03969072753918035,-0.03969029842004956,-0.059564829682388465,-0.08670626084009805,0.06848278144995373,0.09452448040246964,-0.1078624626000722
K6X_D100_D200_D205_D210_D215_D220,445,-0.01504830391078,0.01504830391078,0.0,0.0,-0.034045475452792386,-0.03404510736770695,0.022261485251558813,0.05551052093505858,-0.012127701813975971,0.005048185121268033,0.000568466881910961
K6X_D100_D200_D205_D210_D215_D220,446,-0.021394224809200002,0.021394224809200002,0.0,0.0,-0.03404547545279238,-0.03404510736770695,0.03530663653052697,0.03104479859272638,-0.01164009049534798,0.005701697974776229,0.000573003043731056
K6X_D100_D200_D205_D210_D215_D220,447,-0.029099577420599997,0.029099577420599997,0.0,0.0,-0.03404547545279237,-0.03404510736770695,0.013329556034070527,0.06268917582929134,-0.011026653150717415,0.006339714629575611,0.0005775392055511475
K6X_D100_D200_D205_D210_D215_D220,448,-0.0345216927392,0.0345216927392,0.0,0.0,-0.03404547545279239,-0.03404510736770695,0.0346241392654105,0.12103573543330035,-0.010265674442052838,0.006952154062067469,0.0005821182082096747
K6X_D100_D200_D205_D210_D215_D220,449,-0.014084312477400003,0.014084312477400003,0.0,0.0,-0.03404547545279238,-0.03404510736770698,0.04480862267797982,0.12458859259883563,-0.009350857386986412,0.007530251595502099,0.00058671769996484
K6X_D100_D200_D205_D210_D215_D220,450,-0.004242197120399999,0.004242197120399999,0.0,0.0,-0.03404547545279238,-0.034045107367706925,0.04956714964417577,0.11915066217382748,-0.008292612930138908,0.008066674849639337,0.0005913556863864286
K6X_D100_D200_D205_D210_D215_D220,451,-0.004348208372899998,0.004348208372899998,0.0,0.0,-0.034045475452792386,-0.034045107367706925,0.052770335820611705,0.10522075618306795,-0.007116818800568584,0.008555421760926643,0.0005960005025068896
