geometry_id,wavelength_nm,metric,p_value,s_value,delta_p_minus_s,abs_delta
K6X_D100_D105_D115_D120_D125_D130,450,tx_1,0.2692567706108093,0.27132388949394226,-0.0020671188831329346,0.0020671188831329346
K6X_D100_D105_D115_D120_D125_D130,450,tx_2,0.03257385268807411,0.047582462430000305,-0.015008609741926193,0.015008609741926193
K6X_D100_D105_D115_D120_D125_D130,450,tx_3,0.008866985328495502,0.006461638025939465,0.002405347302556038,0.002405347302556038
K6X_D100_D105_D115_D120_D125_D130,451,T,0.9588566161883394,0.9729665417357481,-0.014109925547408753,0.014109925547408753
K6X_D100_D105_D115_D120_D125_D130,451,R,0.04089889319394816,0.02741284551341647,0.013486047680531691,0.013486047680531691
K6X_D100_D105_D115_D120_D125_D130,451,eta_plus1,0.262194623257601,0.26419512865456135,-0.0020005053969603392,0.0020005053969603392
K6X_D100_D105_D115_D120_D125_D130,451,eta_0,0.5676234404814603,0.5659784176890743,0.0016450227923859861,0.0016450227923859861
K6X_D100_D105_D115_D120_D125_D130,451,eta_minus1,0.04939730056440186,0.047552141244057086,0.0018451593203447705,0.0018451593203447705
K6X_D100_D105_D115_D120_D125_D130,451,directionality,0.8414679688790005,0.8474657331898328,-0.00599776431083221,0.00599776431083221
K6X_D100_D105_D115_D120_D125_D130,451,tx_-3,0.013399449177086353,0.011542638763785362,0.001856810413300991,0.001856810413300991
K6X_D100_D105_D115_D120_D125_D130,451,tx_-2,0.02492845617234707,0.030254600569605827,-0.0053261443972587585,0.0053261443972587585
K6X_D100_D105_D115_D120_D125_D130,451,tx_-1,0.0493973009288311,0.047552142292261124,0.0018451586365699768,0.0018451586365699768
K6X_D100_D105_D115_D120_D125_D130,451,tx_0,0.5676234364509583,0.5659784078598022,0.0016450285911560059,0.0016450285911560059
K6X_D100_D105_D115_D120_D125_D130,451,tx_1,0.2621946334838867,0.26419511437416077,-0.002000480890274048,0.002000480890274048
K6X_D100_D105_D115_D120_D125_D130,451,tx_2,0.03246422857046127,0.04701000824570656,-0.014545779675245285,0.014545779675245285
K6X_D100_D105_D115_D120_D125_D130,451,tx_3,0.008849118836224079,0.0064336080104112625,0.0024155108258128166,0.0024155108258128166
K6X_D100_D105_D115_D120_D125_D130,452,T,0.9590353806631189,0.9731737572072198,-0.014138376544100884,0.014138376544100884
K6X_D100_D105_D115_D120_D125_D130,452,R,0.040711121789427984,0.02674424533892076,0.013966876450507225,0.013966876450507225
K6X_D100_D105_D115_D120_D125_D130,452,eta_plus1,0.2553353679648949,0.2572686038471354,-0.0019332358822404805,0.0019332358822404805
K6X_D100_D105_D115_D120_D125_D130,452,eta_0,0.5759330780863976,0.5741261712539387,0.0018069068324588766,0.0018069068324588766
K6X_D100_D105_D115_D120_D125_D130,452,eta_minus1,0.0487953704149922,0.04739744177297309,0.0013979286420191112,0.0013979286420191112
