wavelength_index,wavelength_nm,frequency_Hz,actual_grid_hash
116,443.20000000000005,676427026173285.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
117,443.40000000000003,676121917004961.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
118,443.59999999999997,675817082957619.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
119,443.8,675512523659305.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
120,444.0,675208238738738.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
121,444.20000000000005,674904227825303.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
122,444.40000000000003,674600490549054.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
123,444.6000000000001,674297026540710.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
124,444.8,673993835431654.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
125,445.00000000000006,673690916853932.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
126,445.20000000000005,673388270440251.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
127,445.40000000000003,673085895823978.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
128,445.6000000000001,672783792639138.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
129,445.79999999999995,672481960520412.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
130,446.0000000000001,672180399103138.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
131,446.19999999999993,671879108023308.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
132,446.4000000000001,671578086917562.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
133,446.6000000000001,671277335423197.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
134,446.79999999999995,670976853178155.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
135,447.00000000000006,670676639821029.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
136,447.20000000000005,670376694991055.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
137,447.4000000000001,670077018328117.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
138,447.5999999999999,669777609472743.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
139,447.8,669478468066100.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
140,448.0000000000001,669179593749999.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
141,448.2000000000001,668880986166889.6,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
142,448.40000000000003,668582644959857.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
143,448.6,668284569772625.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
144,448.8000000000001,667986760249554.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
145,449.0,667689216035634.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
146,449.20000000000005,667391936776491.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
147,449.40000000000003,667094922118380.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
148,449.6000000000001,666798171708184.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
149,449.8,666501685193419.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
150,450.0000000000001,666205462222222.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
151,450.2000000000001,665909502443358.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
152,450.4000000000001,665613805506216.5,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
153,450.6,665318371060807.8,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
154,450.8,665023198757763.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
155,451.0,664728288248337.0,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
156,451.2,664433639184397.1,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
157,451.40000000000003,664139251218431.4,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
158,451.6,663845124003542.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
159,451.80000000000007,663551257193448.2,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
160,452.0,663257650442477.9,548ed160c6392de61b0b6e807f8e6af9c3a613c2b3d586db45ead1ece449e587
