Ex_imag,Ex_real,Ey_imag,Ey_real,Ez_imag,Ez_real,complex_source_normalized,frequency_index,order_efficiency_source_norm,order_fraction_transmitted,order_m,order_n,polarization,total_transmission,ux,uy,wavelength_nm
2.318505589241556e-10,9.446077771072376e-09,2.8735647391556655e-09,1.838421979050451e-09,8.60825995482506e-11,3.507185550218388e-09,True,3,1.1322707031960128e-16,1.1280381496378042e-16,0,-2,x,1.0037521368932139,-0.348068125202386,0.0,451.0
-7.390823013998339e-10,-4.127234400992143e-09,-5.512262001234974e-10,-1.01708236448133e-10,-1.306187861055012e-10,-7.294104410420944e-10,True,3,1.8443602196824326e-17,1.837465796477451e-17,0,-1,x,1.0037521368932139,-0.174034062601193,0.0,451.0
-0.024440995338309787,-1.0014611695119555,-0.009778570829279779,-0.004058159000652149,0.0,0.0,True,3,1.003633925395319,0.9998822303898044,0,0,x,1.0037521368932139,0.0,0.0,451.0
-6.0907025005453826e-09,-3.54109859630238e-09,9.365031476421506e-10,1.0798016266541464e-09,1.0764162064822475e-09,6.258220488474205e-10,True,3,5.3229371003754264e-17,5.3030393707064334e-17,0,1,x,1.0037521368932139,0.174034062601193,0.0,451.0
2.300367200118538e-09,1.0112927856300174e-09,8.354613453340939e-10,6.579416006667981e-10,-8.540914864324856e-10,-3.7547768828067193e-10,True,3,8.315740924677015e-18,8.284655762144296e-18,0,2,x,1.0037521368932139,0.348068125202386,0.0,451.0
-0.006119353188430004,0.0036441663599736944,-0.0011805696373932198,0.0009870132731963782,0.003746033067658979,-0.0022308187267769545,True,3,7.210368770984625e-05,7.183415612246626e-05,0,3,x,1.0037521368932139,0.522102187803579,0.0,451.0
-7.535062500446259e-10,-4.228219137241756e-10,-4.525124717772795e-10,-1.4185978331835203e-09,7.306532060365829e-10,4.099981743041888e-10,True,3,3.665689999432956e-18,3.651987243363585e-18,0,4,x,1.0037521368932139,0.696136250404772,0.0,451.0
7.23061525612179e-10,-2.468241794633351e-09,1.5599609761558145e-09,-1.2404767526440388e-09,-1.2768854300307891e-09,4.358774286450965e-09,True,3,3.121664602922581e-17,3.109995474166234e-17,0,5,x,1.0037521368932139,0.870170313005965,0.0,451.0
-1.5348910291456276e-09,4.73805806561685e-10,9.084007734768476e-11,-1.8366770011228305e-09,-2.7229709770113207e-09,8.405544338382481e-10,True,4,1.4083119437680504e-17,1.423413891802847e-17,0,-5,x,0.9893903325506617,-0.8711350251046411,0.0,451.5
3.1047655370100033e-09,2.1844088007719195e-09,1.2742244404258645e-09,-8.319796956393022e-10,3.017087447896826e-09,2.1227214407408185e-09,True,4,3.033581197046687e-17,3.066111621715641e-17,0,-4,x,0.9893903325506617,-0.6969080200837129,0.0,451.5
