full_path,relative_path,name,extension,is_directory,size_bytes,last_modified,depth,category,priority_name_match
F:\wc_312\al_grating_h1\h1_4_p0.log,al_grating_h1\h1_4_p0.log,h1_4_p0.log,.log,False,4512,2026-03-17T21:08:52,2,file,False
F:\wc_312\al_grating_h1\h1_5.fsp,al_grating_h1\h1_5.fsp,h1_5.fsp,.fsp,False,492253,2026-03-17T21:08:57,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_50.fsp,al_grating_h1\h1_50.fsp,h1_50.fsp,.fsp,False,492365,2026-03-17T21:09:55,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_50_p0.log,al_grating_h1\h1_50_p0.log,h1_50_p0.log,.log,False,4512,2026-03-17T21:09:55,2,file,False
F:\wc_312\al_grating_h1\h1_51.fsp,al_grating_h1\h1_51.fsp,h1_51.fsp,.fsp,False,492365,2026-03-17T21:09:55,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_51_p0.log,al_grating_h1\h1_51_p0.log,h1_51_p0.log,.log,False,4513,2026-03-17T21:09:55,2,file,False
F:\wc_312\al_grating_h1\h1_52.fsp,al_grating_h1\h1_52.fsp,h1_52.fsp,.fsp,False,492365,2026-03-17T21:09:55,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_52_p0.log,al_grating_h1\h1_52_p0.log,h1_52_p0.log,.log,False,4511,2026-03-17T21:09:55,2,file,False
F:\wc_312\al_grating_h1\h1_53.fsp,al_grating_h1\h1_53.fsp,h1_53.fsp,.fsp,False,492373,2026-03-17T21:10:00,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_53_p0.log,al_grating_h1\h1_53_p0.log,h1_53_p0.log,.log,False,4512,2026-03-17T21:10:01,2,file,False
F:\wc_312\al_grating_h1\h1_54.fsp,al_grating_h1\h1_54.fsp,h1_54.fsp,.fsp,False,492373,2026-03-17T21:10:00,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_54_p0.log,al_grating_h1\h1_54_p0.log,h1_54_p0.log,.log,False,4513,2026-03-17T21:10:00,2,file,False
