candidate_path,name,extension,category,size_bytes,last_modified,baseline_role,confidence,score,evidence,needs_gui_lumerical_audit
F:\wc_312\MDC_blue_oujizi_source1\source1_60.fsp,source1_60.fsp,.fsp,heavy_binary_not_opened,1237115,2026-04-02T19:05:37,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_61.fsp,source1_61.fsp,.fsp,heavy_binary_not_opened,1241595,2026-04-02T19:05:51,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_62.fsp,source1_62.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:05:51,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_63.fsp,source1_63.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:05:51,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_64.fsp,source1_64.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:05:51,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_65.fsp,source1_65.fsp,.fsp,heavy_binary_not_opened,1241595,2026-04-02T19:06:05,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_66.fsp,source1_66.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:06:05,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_67.fsp,source1_67.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:06:05,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_68.fsp,source1_68.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:06:05,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_69.fsp,source1_69.fsp,.fsp,heavy_binary_not_opened,1241595,2026-04-02T19:06:19,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
