geometry_uid,wavelength_nm,useful_power,DoLP,x_fidelity,leakage,rank_contrast,rank_one_error,total_power
H1C1B_V2_015,456.0,0.46162258141231327,0.2562145592371346,0.6280875448959224,0.2733427672299794,1.2995964400219895,0.7694696362688402,0.7349653486422927
H1C1B_V2_015,457.0,0.4783911973016639,0.1725262677000061,0.5861559384934754,0.3377588506381626,1.190381253099213,0.840066993155725,0.8161500479398265
H1C1B_V2_015,458.0,0.47802000325926064,0.10443313777317029,0.552203215845045,0.3876395755748455,1.110505762344609,0.9004905997864446,0.8656595788341062
H1C1B_V2_015,459.0,0.4824160085320568,0.0712038946939614,0.5355878398851496,0.4183064735831181,1.0739297645223753,0.9311595907249528,0.9007224821151749
H1C1B_V2_015,460.0,0.4865716932266469,0.050529137564717844,0.5251992560281785,0.4398799108870894,1.0518728143815337,0.9506852789878089,0.9264516041137363
H1C1B_V2_015,461.0,0.4846024003574265,0.029036188323500283,0.5145065433479604,0.45727561192995125,1.0294706115747678,0.9713730423739955,0.9418780122873778
H1C1B_V2_015,462.0,0.4889456285035049,0.027091787198304036,0.5134861103316987,0.4632624617750399,1.0274689627732227,0.9732654087194208,0.9522080902785448
H1C1B_V2_015,463.0,0.48931170455942097,0.016272308897718038,0.5081337735866704,0.4736467327544509,1.0164070594774302,0.9838577867750491,0.9629584373138719
H1C1B_V2_015,464.0,0.4881694378501768,0.010356766295036035,0.5051540269544266,0.4782079674599425,1.0104109971503754,0.9896962749022554,0.9663774053101193
H1C1B_V2_015,465.0,0.4899539713495356,0.014110193022297964,0.5070450332026954,0.47633884145013633,1.0142113262436048,0.9859878056220887,0.9662928127996719
H1C1B_V2_010,435.0,0.4592355572152449,0.28205239983091224,0.6402232424915155,0.25806979306861466,1.3363102855981244,0.7483291947815892,0.7173053502838596
H1C1B_V2_010,436.0,0.4412598990075318,0.24265078519719402,0.6205195674703092,0.26985369376187807,1.2809569561411254,0.7806663566686063,0.7111135927694099
H1C1B_V2_010,437.0,0.4257992763227718,0.22688349075683373,0.6121960206567783,0.2697284010148959,1.2597874167781318,0.7937847185023246,0.6955276773376677
H1C1B_V2_010,438.0,0.342848053425679,0.11671047876412016,0.5579790349934325,0.27159806717043694,1.124740275624355,0.8890941505983591,0.6144461205961159
H1C1B_V2_010,439.0,0.13803779987980808,0.315297539236521,0.3551480055017964,0.25063902708074726,1.387186537847118,0.7208835817798357,0.3886768269605553
H1C1B_V2_010,440.0,0.027841788273417503,0.935468070134549,0.09854483824205128,0.2546873504424122,6.110244587784035,0.1636595697002473,0.2825291387158297
H1C1B_V2_010,441.0,0.26472204332355215,0.23425418712123405,0.5262459864046702,0.2383165549033755,1.296171698252494,0.7715027271064517,0.5030385982269276
H1C1B_V2_010,442.0,0.3918076743486022,0.27567043420075066,0.6277857579685248,0.2323028113949215,1.3361036223215206,0.7484449434112526,0.6241104857435237
H1C1B_V2_010,443.0,0.44640764007047173,0.34382857805725814,0.6680042207551948,0.2218630477491309,1.4367995303804113,0.6959913187995246,0.6682706878196026
H1C1B_V2_010,444.0,0.46546671448465643,0.3746014071280951,0.6861027696029051,0.21295455869290864,1.486761095381714,0.672603018135377,0.6784212731775651
H1C1B_V2_010,445.0,0.48360360122407237,0.42630464260470163,0.7120546755231387,0.1955627856390911,1.580889388111932,0.6325553245659442,0.6791663868631634
H1C1B_V2_010,446.0,0.48430585703860024,0.4452869273694435,0.7222662016035509,0.18623065147219647,1.6186534715161278,0.6177974579471541,0.6705365085107967
H1C1B_V2_010,447.0,0.5000134686063347,0.6810571731600582,0.8403124818602714,0.09501930717656482,2.3069194299202533,0.4334785112259289,0.5950327757828995
