model,held_out_case,case_id,u_x,polarization,wavelength_nm,output,truth,prediction,error
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,eta_0,0.07860750553651392,0.03516796356845248,-0.04343954196806144
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,eta_0,0.0803647037904899,0.037885245847158876,-0.04247945794333103
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,eta_0,0.08253272998568405,0.02888591267469573,-0.05364681731098832
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,eta_0,0.0853679932595873,0.03562738750233841,-0.04974060575724889
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,eta_0,0.08870549051210895,0.038409861564415074,-0.05029562894769388
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_minus1,0.03318178256664381,0.0023412450133563248,-0.030840537553287483
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_minus1,0.03389387856888982,0.0013794196839458355,-0.03251445888494398
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_minus1,0.03445843783277581,0.0018248736779738974,-0.03263356415480191
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_minus1,0.034371356658785955,0.0018793164431476508,-0.032492040215638306
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_minus1,0.037141623748710786,0.002296096812846535,-0.03484552693586425
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,eta_minus1,0.04150912165298384,0.002048133234727586,-0.03946098841825625
