geometry_id,wavelength_nm,diffraction_order_m,diffraction_order_n,J_xy_column_convention,txx_real,txx_imag,txy_real,txy_imag,tyx_real,tyx_imag,tyy_real,tyy_imag,S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1
BF02,451.0,0,0,x-input then y-input,0.8139572663107122,-0.24692649189065038,-0.4670176508346107,0.1226104392397958,-0.46711756765916557,0.12251513857299015,-0.7877782770840596,0.21811989451193037,0.9290088066009421,0.027629123178143034,-0.015815835373508613,-0.020897615166430836,0.034268413167552775,165.10586644857727,0.48042223211091917,0.46450440330047105,0.022494528596441448,0.983407623059669,0.9438893261977359,0.9598149374325774
BF02,452.0,0,0,x-input then y-input,0.7681007884941635,-0.43831513661506577,-0.35802798194127605,0.16034618782679713,-0.35819406871028137,0.1603115479035208,-0.7747448627353348,0.3510923792784731,0.9067460802237146,0.02924783585105406,-0.01171946031375809,-0.035339966562065665,0.03474890984145651,169.08213640797717,0.4691272590072513,0.4533730401118573,0.03897449057992785,0.976776648283475,0.9270380465846749,0.9490788382521147
BF02,453.0,0,0,x-input then y-input,0.7158530870370654,-0.5711830796731713,-0.2790939447904166,0.17042743702328825,-0.2792376312480948,0.1704591936536372,-0.7435721697470433,0.46328447754327606,0.9100983820976973,0.03553631193673018,-0.010773651324111122,-0.04004686345200908,0.040801695039674,171.5670558559502,0.47361596937007416,0.45504919104884867,0.04400278501726874,0.9821975596337046,0.924924168807903,0.9416885225746632
BF02,454.0,0,0,x-input then y-input,0.6210048512424273,-0.6989517951342937,-0.20061268677422317,0.1671748444941441,-0.20074260665817478,0.16724365922086265,-0.6896350140503206,0.5791744515073501,0.9108405247375118,0.031532991176983216,-0.006384456495090535,-0.037350398164275,0.035322129877968816,174.27705209145384,0.4715066760252037,0.4554202623687559,0.04100651777108702,0.979865810177127,0.9281939686945535,0.9472664104146741
BF02,455.0,0,0,x-input then y-input,0.5288971291278448,-0.7929730126440566,-0.13047655119981158,0.1455786831655747,-0.1305632952463049,0.14568281309586664,-0.6215697560308259,0.6824498603440734,0.918556342489826,0.02819931289686123,-0.004126661123901254,-0.02503834552849815,0.031026577223307716,175.8372420629974,0.47352800089202285,0.459278171244913,0.02725836660234642,0.9780043272659869,0.9384136725499348,0.9595189370718555
BF02,456.0,0,0,x-input then y-input,0.37827981363416796,-0.8957609873794501,-0.05926813724582992,0.09334700089448648,-0.05929833241430275,0.09344309693165596,-0.5202611876785215,0.7978762970585455,0.938617965993256,0.01909177258943795,-0.0008197720155704857,-0.016493315828351257,0.020359043898560615,178.77065782593135,0.4788636651834452,0.469308982996628,0.01757191575903605,0.9817640922109583,0.9557066491511427,0.9734585494962099
BF02,457.0,0,0,x-input then y-input,0.19367497126727587,-0.9249585413350825,-0.005553020754595096,-0.0022704627601754413,-0.0055491973976394705,-0.0022150954795365748,-0.37386793600729734,0.8970612465671531,0.9188130513157313,-0.025718762590981326,0.0010134830913246914,-0.011392039030113134,0.028013014892522177,88.87167444089945,0.47227588750284133,0.45940652565786566,0.012398647378593333,0.9731187866063452,0.9437509892896839,0.9698209532886745
BF02,458.0,0,0,x-input then y-input,0.40925390971980613,-0.6032343838150896,-0.30261487217133853,0.09307389646711878,-0.3029032012446801,0.09326977241743029,-0.27309094092816116,0.7177841191893888,0.6609306495245777,-0.02931165402401198,-0.030779508093531527,-0.3363451184510008,0.06430862780869982,113.19964632679066,0.351717096336108,0.33046532476228885,0.5088962339587995,0.9999753462018791,0.5673716648173285,0.5673856530286749
BF02,459.0,0,0,x-input then y-input,-0.06056617410924269,-0.9696906124690208,-1.8118663796963907e-05,-0.19389171869714375,-3.6124154506862445e-05,-0.1939205090497955,0.07781599073348235,0.9781537468165198,0.9910036951122551,-0.009441550847861024,-0.0016122359494480931,0.026780147407509797,0.009665164966040892,94.84517119440315,0.5002909546537355,0.49550184755612753,0.027023256865330154,1.0096757832980914,0.9811025445109676,0.9717005802656872
BF02,460.0,0,0,x-input then y-input,0.05628103814489066,-0.5789301964575049,-0.4802782897292279,-0.011210594783402675,-0.4805291281155925,-0.010936336954986562,-0.020287852635016635,0.397683738931208,0.4793562201269958,0.08976442051862593,-0.015427758570610742,-0.4700346358227644,0.19000598725365894,175.12394289712566,0.28521838598920396,0.2396781100634979,0.9805539515023673,0.9788432285633007,0.024049410590811414,0.024569215875467603
BF02,461.0,0,0,x-input then y-input,0.023740561023772182,-0.8289749439656604,-0.23345773628195662,0.17749266945203812,-0.2334066717546968,0.17782156116064604,-0.1559487575203676,0.6584842172900087,0.6588949478625477,0.1148742864371517,0.00033274139234759637,-0.31531517249088714,0.17434458818227896,0.08298038109352084,0.38688485810151385,0.3294474739312738,0.4785515103944387,0.9972380804809334,0.5686001288812718,0.5701749060836662
BF02,462.0,0,0,x-input then y-input,-0.3442304970839934,-0.5657025008691194,0.013278266561994117,0.11506565257001447,0.013502034359617757,0.11517876600841997,-0.06949609497198336,0.7380927055239478,0.5074946868058052,-0.05556431542928136,0.014201603166986251,-0.014212704062113453,0.11300707436490781,82.83139485109969,0.28242258830873224,0.2537473434029026,0.028005621401809865,0.7527151159125048,0.6696337266658805,0.8896243911006011
BF02,463.0,0,0,x-input then y-input,-0.0829516830838272,-0.816728534635875,-0.13149997119344028,0.049549108097443666,-0.1313261729315893,0.04974244909767848,0.12477694090010817,0.8235834933089564,0.7036268839612485,-0.009953046409217292,-0.005332687079847541,-0.22586784442936697,0.01604773829707989,104.09085590786337,0.3574592520269242,0.35181344198062425,0.3210051372082116,0.9642493445515856,0.6909970835353322,0.7166165965678446
BF02,464.0,0,0,x-input then y-input,-0.18482045429788718,-0.8210035028980356,-0.10963316054021471,0.03370492277223074,-0.10939936150419492,0.03382046292551868,0.3279482679150302,0.7997165841546757,0.7407847646086768,-0.01942396080183606,-0.01654709823498822,-0.19479690003287636,0.0344453585416285,110.21368998472602,0.3831506807138993,0.3703923823043384,0.2629601867362631,0.968114546913695,0.737782998768232,0.7620823394506884
BF02,465.0,0,0,x-input then y-input,-0.3235593901447874,-0.7701883242111329,-0.07078433504434699,0.01963491386761425,-0.07049994545519914,0.019616431713382888,0.589652952597664,0.6256458371069943,0.7238775251655427,-0.02060083953326386,-0.021751117344941735,-0.11650902501803712,0.04138600573829996,113.27788454648288,0.3769179622879351,0.36193876258277136,0.16095129489120802,0.9187908159226919,0.7769031386905317,0.8455712935161743
