T_TE,T_TM,T_unpolarized,candidate_id,theta_air_external,wavelength_nm
0.0012972282880375433,0.027698967502022515,0.014498097895030029,ZL1_N3_M1_L81_H42,48,448
0.0010921215212833638,0.030714926884624908,0.015903524202954135,ZL1_N3_M1_L81_H42,50,448
0.0009283548432160814,0.03477053901252839,0.017849446927872235,ZL1_N3_M1_L81_H42,52,448
0.0007961081090200185,0.04011812338906418,0.0204571157490421,ZL1_N3_M1_L81_H42,54,448
0.0006880951677281225,0.0470817647928235,0.02388492998027581,ZL1_N3_M1_L81_H42,56,448
0.0005988461308181769,0.05605788566724378,0.02832836589903098,ZL1_N3_M1_L81_H42,58,448
0.0005242082341804543,0.06749911814993957,0.03401166319206001,ZL1_N3_M1_L81_H42,60,448
0.9322651661745651,0.9322651661745645,0.9322651661745648,ZL1_N3_M1_L81_H42,0,450
0.9142066511865984,0.914002628649802,0.9141046399182002,ZL1_N3_M1_L81_H42,2,450
0.8506391626938345,0.8503988368372504,0.8505189997655425,ZL1_N3_M1_L81_H42,4,450
0.728138307071774,0.7305175819978871,0.7293279445348305,ZL1_N3_M1_L81_H42,6,450
0.5609162142837018,0.5709370577755769,0.5659266360296393,ZL1_N3_M1_L81_H42,8,450
0.3930460622231505,0.41301534462603345,0.403030703424592,ZL1_N3_M1_L81_H42,10,450
0.25981230792083254,0.2871227945327525,0.27346755122679256,ZL1_N3_M1_L81_H42,12,450
0.1681644019181696,0.1986158705167899,0.18339013621747974,ZL1_N3_M1_L81_H42,14,450
0.10924770818079184,0.139765771069692,0.12450673962524192,ZL1_N3_M1_L81_H42,16,450
0.07214226605376456,0.10116148511151736,0.08665187558264095,ZL1_N3_M1_L81_H42,18,450
0.048672043507848414,0.07563773799558743,0.06215489075171792,ZL1_N3_M1_L81_H42,20,450
0.033589473843071725,0.05847599115625986,0.04603273249966579,ZL1_N3_M1_L81_H42,22,450
0.023698100045064795,0.04671743049601137,0.03520776527053808,ZL1_N3_M1_L81_H42,24,450
0.017071213733760405,0.038524864525583485,0.027798039129671943,ZL1_N3_M1_L81_H42,26,450
0.012538113933499488,0.032749785221149574,0.022643949577324532,ZL1_N3_M1_L81_H42,28,450
0.009375897338581952,0.028665195179141977,0.019020546258861966,ZL1_N3_M1_L81_H42,30,450
0.007129486666116623,0.025805603347885606,0.016467545007001115,ZL1_N3_M1_L81_H42,32,450
0.005506616173140189,0.023871695609937685,0.014689155891538937,ZL1_N3_M1_L81_H42,34,450
0.004315873846121177,0.022673381064283963,0.01349462745520257,ZL1_N3_M1_L81_H42,36,450
0.003429545560803585,0.022095791252735055,0.012762668406769321,ZL1_N3_M1_L81_H42,38,450
0.0027609193550431513,0.022079359099595745,0.012420139227319448,ZL1_N3_M1_L81_H42,40,450
0.002250158509835785,0.022608918680460156,0.01242953859514797,ZL1_N3_M1_L81_H42,42,450
0.001855344241259992,0.023708979671128033,0.012782161956194013,ZL1_N3_M1_L81_H42,44,450
0.0015466948121202362,0.02544361581734004,0.013495155314730138,ZL1_N3_M1_L81_H42,46,450
0.0013027717161015798,0.027920123739229304,0.014611447727665441,ZL1_N3_M1_L81_H42,48,450
0.001107950554405069,0.03129590270482458,0.016201926629614824,ZL1_N3_M1_L81_H42,50,450
0.0009507101529415801,0.0357878544656753,0.01836928230930844,ZL1_N3_M1_L81_H42,52,450
0.0008224593438257188,0.041682811484492696,0.021252635414159206,ZL1_N3_M1_L81_H42,54,450
0.0007167222528589466,0.049345692552259734,0.02503120740255934,ZL1_N3_M1_L81_H42,56,450
0.0006285659633624798,0.059218736149249204,0.02992365105630584,ZL1_N3_M1_L81_H42,58,450
0.0005541942118628888,0.0717998988642149,0.03617704653803889,ZL1_N3_M1_L81_H42,60,450
0.31168061778340744,0.3116806177834073,0.3116806177834074,ZL1_N3_M1_L81_H42,0,453
0.3007316562874408,0.301482083475402,0.30110686988142144,ZL1_N3_M1_L81_H42,2,453
0.2706416707452088,0.273559559612572,0.2721006151788904,ZL1_N3_M1_L81_H42,4,453
0.22851526070630862,0.23467453056015583,0.2315948956332322,ZL1_N3_M1_L81_H42,6,453
0.18285497826911543,0.19267269803152615,0.18776383815032077,ZL1_N3_M1_L81_H42,8,453
0.14047949469675552,0.1536319757307755,0.14705573521376553,ZL1_N3_M1_L81_H42,10,453
0.10503777144955714,0.12070444216153633,0.11287110680554674,ZL1_N3_M1_L81_H42,12,453
0.07736676706574204,0.09459402151703152,0.08598039429138678,ZL1_N3_M1_L81_H42,14,453
0.0566697687866916,0.07463309379260122,0.06565143128964641,ZL1_N3_M1_L81_H42,16,453
0.04155938078619148,0.05966715358944633,0.0506132671878189,ZL1_N3_M1_L81_H42,18,453
0.030651782746856697,0.04854192555572415,0.039596854151290425,ZL1_N3_M1_L81_H42,20,453
0.022799851297478135,0.0402927554353513,0.031546303366414716,ZL1_N3_M1_L81_H42,22,453
0.0171324288429684,0.034178543234639036,0.02565548603880372,ZL1_N3_M1_L81_H42,24,453
0.013017007431143278,0.029654459082941457,0.02133573325704237,ZL1_N3_M1_L81_H42,26,453
0.01000454293260744,0.026329806427246544,0.01816717467992699,ZL1_N3_M1_L81_H42,28,453
0.007779272036780272,0.023929220863546367,0.01585424645016332,ZL1_N3_M1_L81_H42,30,453
0.006119573278721752,0.022262289427922705,0.01419093135332223,ZL1_N3_M1_L81_H42,32,453
0.004869474903517249,0.021201620144633275,0.013035547524075262,ZL1_N3_M1_L81_H42,34,453
0.00391860216420104,0.020667922218151752,0.012293262191176397,ZL1_N3_M1_L81_H42,36,453
0.003188287985558784,0.020620566917633726,0.011904427451596256,ZL1_N3_M1_L81_H42,38,453
0.002622010507135747,0.0210524406027483,0.011837225554942024,ZL1_N3_M1_L81_H42,40,453
0.002178810756189529,0.021988313337083946,0.012083562046636739,ZL1_N3_M1_L81_H42,42,453
0.0018287464892564622,0.023486308062445227,0.012657527275850844,ZL1_N3_M1_L81_H42,44,453
0.0015497350719977027,0.025642324380195817,0.01359602972609676,ZL1_N3_M1_L81_H42,46,453
0.001325346156470625,0.028597407000140632,0.01496137657830563,ZL1_N3_M1_L81_H42,48,453
0.0011432468967837342,0.032547962363291306,0.01684560463003752,ZL1_N3_M1_L81_H42,50,453
0.0009940982769874218,0.03775822843125516,0.019376163354121293,ZL1_N3_M1_L81_H42,52,453
0.0008707655403315127,0.044573143630203475,0.022721954585267493,ZL1_N3_M1_L81_H42,54,453
0.0007677490247699964,0.05342719349024093,0.027097471257505463,ZL1_N3_M1_L81_H42,56,453
0.0006807709311182569,0.06484027941342448,0.03276052517227137,ZL1_N3_M1_L81_H42,58,453
