angle_minus_positive_target_deg,angle_deg,incoherent_intensity_proxy
-89.19205090949097,-53.12054934234811,2.5279530457525752e-06
-89.09663725296957,-53.02513568582671,2.559816911397223e-06
-89.00143417904991,-52.92993261190705,2.603445195393882e-06
-88.90644003843421,-52.83493847129136,2.6586645934489125e-06
-88.81165320213333,-52.740151634990475,2.7251958439326862e-06
-88.71707206111776,-52.645570493974915,2.8026764610700695e-06
-88.62269502597621,-52.55119345883336,2.89067926981572e-06
-88.5285205265816,-52.45701895943875,2.9887256320315144e-06
-88.43454701176444,-52.36304544462159,3.0962926626080665e-06
-88.34077294899312,-52.26927138185027,3.212814179630036e-06
-88.24719682406129,-52.17569525691843,3.3376755908868545e-06
