topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,4,47,79,162,,1170,17,1,2.0,2.0,2.0,0.004950469293634771,0.004950469293634771,0.004950469293634771,0.006500797662130011,0.006500797662130011,0.006500797662130011,0.010733633835814715,0.010733633835814715,0.010733633835814715,1.4723960336999788,1.4723960336999788,1.4723960336999788
Explicit,4,47,80,152,,1168,17,1,2.5,2.5,2.5,0.0411945228286975,0.0411945228286975,0.0411945228286975,0.0996212904786665,0.0996212904786665,0.0996212904786665,0.7977529411553221,0.7977529411553221,0.7977529411553221,67.93385332551343,67.93385332551343,67.93385332551343
Explicit,4,47,80,153,,1169,17,1,2.0,2.0,2.0,0.028498834207222323,0.028498834207222323,0.028498834207222323,0.05826343831870184,0.05826343831870184,0.05826343831870184,0.3609401977946758,0.3609401977946758,0.3609401977946758,30.3713540736248,30.3713540736248,30.3713540736248
Explicit,4,47,80,154,,1170,17,1,2.0,2.0,2.0,0.02085825922510634,0.02085825922510634,0.02085825922510634,0.037931214668605745,0.037931214668605745,0.037931214668605745,0.15676514309287143,0.15676514309287143,0.15676514309287143,16.30778991526579,16.30778991526579,16.30778991526579
Explicit,4,47,80,155,,1171,17,1,2.0,2.0,2.0,0.015919775496308023,0.015919775496308023,0.015919775496308023,0.026578998163617848,0.026578998163617848,0.026578998163617848,0.08282838487351155,0.08282838487351155,0.08282838487351155,10.002087427308703,10.002087427308703,10.002087427308703
Explicit,4,47,80,156,,1172,17,1,2.5,2.5,2.5,0.012549837871779403,0.012549837871779403,0.012549837871779403,0.019636295560522085,0.019636295560522085,0.019636295560522085,0.05039257652107682,0.05039257652107682,0.05039257652107682,6.681047431451286,6.681047431451286,6.681047431451286
Explicit,4,47,80,157,,1173,17,1,2.0,2.0,2.0,0.010150461274211221,0.010150461274211221,0.010150461274211221,0.015094419281914313,0.015094419281914313,0.015094419281914313,0.033692812824460405,0.033692812824460405,0.033692812824460405,4.7277722450141075,4.7277722450141075,4.7277722450141075
Explicit,4,47,80,158,,1174,17,1,2.0,2.0,2.0,0.00838286410125413,0.00838286410125413,0.00838286410125413,0.011966011931625428,0.011966011931625428,0.011966011931625428,0.02405873292232836,0.02405873292232836,0.02405873292232836,3.4860939887362057,3.4860939887362057,3.4860939887362057
Explicit,4,47,80,159,,1175,17,1,2.0,2.0,2.0,0.007043796074290745,0.007043796074290745,0.007043796074290745,0.009721973118390787,0.009721973118390787,0.009721973118390787,0.01802429196586139,0.01802429196586139,0.01802429196586139,2.6502528395440517,2.6502528395440517,2.6502528395440517
Explicit,4,47,80,160,,1176,17,1,2.5,2.5,2.5,0.006005458023918843,0.006005458023918843,0.006005458023918843,0.008058777687182325,0.008058777687182325,0.008058777687182325,0.014004553969621428,0.014004553969621428,0.014004553969621428,2.062364291553029,2.062364291553029,2.062364291553029
