S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,geometry_id,wavelength_nm,dominant_vector_overlap_adjacent,dominant_vector_drift_angle_deg
0.7560205440294218,-0.22417984030756388,-3.660749396812147e-09,-5.942043354733804e-10,0.29652612230976566,90.00000046780632,0.4901001921684928,0.3780102720147109,7.859632124629884e-10,0.9900506978619757,0.7292740936862202,0.7366027772730173,BF01,459.0,0.9999999999999999,8.537736462515939e-07
0.8048278685594228,-0.18063672481779508,-3.504202702681251e-09,-1.799253338204451e-09,0.22444143881488637,90.0000005557453,0.49273229668860896,0.4024139342797114,2.235575342867997e-09,0.9927056932330035,0.7900576838064596,0.7958629523252071,BF01,460.0,1.0,0.0
0.8310731146294287,-0.1411923688881762,-3.396726083408082e-09,1.5369966350411878e-09,0.16989163336264732,90.0000006891947,0.4861327417588025,0.41553655731471434,1.8494120529052692e-09,0.9860352344199497,0.8305906005615838,0.8423538749608592,BF01,461.0,1.0,0.0
0.8768720416848681,-0.113512541271718,-4.648695523783874e-09,9.421269683286403e-09,0.12945165984949084,90.00000117322116,0.4951922914782931,0.43843602084243405,1.0744178438149174e-08,0.9951806785486674,0.8737044697225427,0.8779355232224957,BF01,462.0,0.9999999999999994,1.9090959104164224e-06
0.9232813934601707,-0.05368308900785629,-4.075586165315483e-09,1.3262266815181357e-08,0.05814380034960844,90.00000217492966,0.48848224123401357,0.46164069673008534,1.436427389214302e-08,0.9884151367052353,0.9325225490315568,0.9434523151274374,BF01,463.0,0.9999999999999966,4.7536104815230715e-06
0.9877903234666132,0.00977501848313117,-5.676832854764692e-09,6.928569881805159e-09,0.009895843531679634,179.99998336276477,0.498782670974873,0.4938951617333066,7.014211130849715e-09,0.9987819291265477,0.9889465632598547,0.990152639350119,BF01,464.0,5.798415409352986e-07,89.99996677752692
0.6757837966843094,-0.31414065860063145,9.558424068898366e-09,-2.619943110829398e-09,0.464853789247305,89.99999912832462,0.49496222764247055,0.3378918983421547,3.876895426738527e-09,0.9949494737346922,0.6013677228482404,0.6044203637707514,BF01,465.0,4.453940902512222e-07,89.9999744807984
0.4498712461150921,-0.12488547475311984,0.27541057295924615,-0.3326978945928246,0.6721982282702685,57.19600539942491,0.3761369503516975,0.22493562305754605,0.7395402517183981,0.9484017032636676,0.016634346297899005,0.017539346714220787,BF02,435.0,nan,nan
0.4617025610915538,-0.18064473898570194,0.22970016724441247,-0.35710111741922634,0.6329263051890218,64.0914123598129,0.37696312858976977,0.2308512805457769,0.7734440904442257,0.9607968914758428,0.01656669893084643,0.017242664998009066,BF02,436.0,0.9965874108171181,4.7348172177843315
0.4700528710006831,-0.22017720202344476,0.18961522044144008,-0.3660216134734445,0.618168191474729,69.63258803005249,0.38031230208233974,0.23502643550034155,0.7786817952930077,0.9681888993545055,0.05211522971337635,0.0538275431045757,BF02,437.0,0.9981350601790573,3.499754324868344
0.47545132786457406,-0.2664944600040808,0.12193690651866518,-0.3204447035639708,0.6163961870562356,77.70655785545249,0.3842588567455608,0.23772566393228703,0.6739800370380818,0.9537824317363001,0.2029820894570215,0.21281802086405133,BF02,438.0,0.995240906935317,5.592063789411812
0.6056298790541297,0.14772712389352688,0.05523914758955992,-0.3100457709823804,0.26041820480135613,10.251061529399877,0.3816734624657343,0.30281493952706484,0.5119393571971855,0.9764654632485256,0.5077154293411831,0.5199522650315812,BF02,439.0,0.849025703586596,31.894142853851175
0.5033987656664587,-0.07323150444751733,0.134698050262482,-0.47060814356195013,0.30456576250197986,59.26583476336389,0.3283583972871096,0.25169938283322935,0.9348615365373484,0.999175528089188,0.09190100870289848,0.09197684102476862,BF02,440.0,0.9559941615366068,17.060761497051825
0.4929851427246883,-0.0886855653401637,0.11237655255046859,-0.47095040531215393,0.29038588243881147,64.13993516099877,0.31807053421201015,0.24649257136234415,0.9553034452706827,0.9925787798264897,0.027525466163774433,0.027731265994409122,BF02,441.0,0.9996255056542221,1.568100224759286
0.49859058826118235,-0.10694796490692443,0.10901471554471058,-0.4715186186579823,0.30629472775411754,67.22584968429972,0.32565312837670324,0.24929529413059118,0.9457030071554046,0.9971075163009532,0.05438545263679483,0.05454321800577008,BF02,442.0,0.9998290873713952,1.0593290759924425
