sample_index,delta_theta_deg,delta_theta_difference_from_IAR4_deg,delta_theta_difference_from_I03_deg,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,nearest_pair_kind,nearest_pair,overlap_or_touching_pass,cell_containment_pass,geometry_valid,validity_reasons,geometry_hash_sha256
7378,87.378,4.557090678999998,1.5581387069999977,63.29927338515589,75.29927338515591,63.29927338515589,direct,"{""distance_nm"": 63.29927338515589, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.815370544749456, 61.5], ""point_b_nm"": [-34.81537054474944, -1.7992733851558902], ""touch_or_overlap"": false}",True,True,True,,7f281feacb6d92e27d5d702617a0bc6fb43c56e5e0d2c8a5f2d7052c0ef0736b
7379,87.379,4.558090679000003,1.5591387070000025,63.299881043720546,75.29988104372055,63.299881043720546,direct,"{""distance_nm"": 63.299881043720546, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.817171731916574, 61.5], ""point_b_nm"": [-34.81717173191657, -1.7998810437205437], ""touch_or_overlap"": false}",True,True,True,,1e3971d5ce20accae3ee7e79ecd3e929ec20cc94bf17b6b489fe6a1af045fe86
7380,87.38,4.559090678999993,1.560138706999993,63.300488733721735,75.30048873372172,63.300488733721735,direct,"{""distance_nm"": 63.300488733721735, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.81897290847772, 61.5], ""point_b_nm"": [-34.818972908477726, -1.8004887337217366], ""touch_or_overlap"": false}",True,True,True,,19a7aba30effcb9089d6d7eb93c8fe2f464ee4040453dee05c71058bf3aa48f1
7381,87.381,4.560090678999998,1.5611387069999978,63.30109645515931,75.3010964551593,63.30109645515931,direct,"{""distance_nm"": 63.30109645515931, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.820774074432464, 61.5], ""point_b_nm"": [-34.820774074432464, -1.8010964551593085], ""touch_or_overlap"": false}",True,True,True,,1f6ad3a52646bc16aa56206fb26e6f03ee0692e9985001478b694407ffd6e9b8
7382,87.382,4.561090679000003,1.5621387070000026,63.301704208033065,75.30170420803304,63.301704208033065,direct,"{""distance_nm"": 63.301704208033065, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.82257522978017, 61.5], ""point_b_nm"": [-34.82257522978017, -1.8017042080330656], ""touch_or_overlap"": false}",True,True,True,,7b78628836016ec905ff1eae98788197b1a8c630f32ce85d1e9ebe6af548532d
7383,87.383,4.5620906789999935,1.5631387069999931,63.30231199234281,75.3023119923428,63.30231199234281,direct,"{""distance_nm"": 63.30231199234281, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.82437637452031, 61.5], ""point_b_nm"": [-34.824376374520305, -1.8023119923428077], ""touch_or_overlap"": false}",True,True,True,,fd87d694841d8615cbd8627db1ed2fa27d3997727decef6b66ac8667e939e52a
7384,87.384,4.563090678999998,1.564138706999998,63.30291980808837,75.30291980808838,63.30291980808837,direct,"{""distance_nm"": 63.30291980808837, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.82617750865235, 61.5], ""point_b_nm"": [-34.826177508652336, -1.8029198080883668], ""touch_or_overlap"": false}",True,True,True,,e35a2600298f0a7239b525c83d70d2a1cfd725f9dff7f1fc871fb1d6945d96c4
7385,87.385,4.564090679000003,1.5651387070000027,63.30352765526957,75.30352765526956,63.30352765526957,direct,"{""distance_nm"": 63.30352765526957, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.827978632175714, 61.5], ""point_b_nm"": [-34.82797863217572, -1.8035276552695707], ""touch_or_overlap"": false}",True,True,True,,6603bc193eef0c9a2370a5aa1d8fb377ae17a635bd96133e68dc66ba34604797
7386,87.386,4.565090678999994,1.5661387069999932,63.304135533886196,75.30413553388621,63.304135533886196,direct,"{""distance_nm"": 63.304135533886196, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.829779745089866, 61.5], ""point_b_nm"": [-34.82977974508986, -1.8041355338861975], ""touch_or_overlap"": false}",True,True,True,,c864ce3a350738ea10813f482dd5e7d3ab75558e72b1d90182e4662d6e7c5a2f
7387,87.387,4.566090678999998,1.567138706999998,63.3047434439381,75.3047434439381,63.3047434439381,direct,"{""distance_nm"": 63.3047434439381, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.83158084739428, 61.5], ""point_b_nm"": [-34.83158084739428, -1.804743443938101], ""touch_or_overlap"": false}",True,True,True,,e98158fa07c60e363588c4530f31e062c46d8bcd2b37a5bff291f40ae1499592
7388,87.388,4.567090679000003,1.5681387070000028,63.30535138542507,75.30535138542507,63.30535138542507,direct,"{""distance_nm"": 63.30535138542507, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.83338193908837, 61.5], ""point_b_nm"": [-34.83338193908837, -1.805351385425073], ""touch_or_overlap"": false}",True,True,True,,41b6145820eb3ccdbddad8f082cc593e7eb69244eddae8b1a66ee37acdba32c3
7389,87.389,4.568090678999994,1.5691387069999934,63.305959358346925,75.30595935834694,63.305959358346925,direct,"{""distance_nm"": 63.305959358346925, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.83518302017163, 61.5], ""point_b_nm"": [-34.83518302017161, -1.8059593583469271], ""touch_or_overlap"": false}",True,True,True,,41b555f05f34556b9751769e727ec36039f8c2dd8144bed930c8dee86e893df0
