candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
R2_1_04298,R2D_all_dielectric_highR_mediumR_scan,453,270,10,2,0.4727,SiO2_25nm,453.305,4.40285,2.0,9.0,2.0,1.598787,0.578945,0.377097,0.592674,0.735661,0.970279,2.761553,Level A,meets Level B or better constraints,2.318129,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.598787,0.578945,1.598787,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.844522
R2_1_02144,R2B_Khaidarov_hybrid_scaled_control,453,290,12,0,0.12,TiO2_50nm,452.85,5.049393,0.0,9.0,0.0,1.602268,0.602136,0.371337,0.573398,0.731236,0.970111,2.660974,Level A,meets Level B or better constraints,2.317401,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.602268,0.602136,1.602268,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.107027
R2_1_04557,R2D_all_dielectric_highR_mediumR_scan,453,320,12,0,0.12,TiO2_25nm,453.625,4.959948,1.0,7.0,1.0,1.556264,0.52307,0.441564,0.618622,0.71124,0.967296,2.975249,Level A,meets Level B or better constraints,2.316958,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.556264,0.52307,1.556264,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.878207
R2_1_04358,R2D_all_dielectric_highR_mediumR_scan,453,270,10,4,0.722,SiO2_25nm,453.185,4.053343,2.0,8.0,2.0,1.592007,0.609625,0.393827,0.594172,0.706798,0.96682,2.611452,Level A,meets Level B or better constraints,2.31589,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.592007,0.609625,1.592007,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.841405
R2_1_04290,R2D_all_dielectric_highR_mediumR_scan,453,250,10,2,0.4727,SiO2_25nm,452.705,4.40285,2.0,9.0,2.0,1.596818,0.578574,0.381801,0.593404,0.732048,0.969846,2.759922,Level A,meets Level B or better constraints,2.315563,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.596818,0.578574,1.596818,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.843248
R2_1_02208,R2B_Khaidarov_hybrid_scaled_control,453,300,12,2,0.4727,TiO2_50nm,453.03,4.429555,1.0,8.0,1.0,1.590054,0.626869,0.384415,0.574688,0.706257,0.966926,2.5365,Level A,meets Level B or better constraints,2.310238,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.590054,0.626869,1.590054,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.846044
R2_1_04249,R2D_all_dielectric_highR_mediumR_scan,453,300,10,0,0.12,TiO2_25nm,452.825,5.014721,1.0,9.0,1.0,1.576153,0.556036,0.387409,0.590458,0.736055,0.970473,2.834624,Level A,meets Level B or better constraints,2.308771,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.576153,0.556036,1.576153,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.08398
R2_1_04313,R2D_all_dielectric_highR_mediumR_scan,453,310,10,2,0.4727,TiO2_25nm,453.005,4.40285,1.0,8.0,1.0,1.56363,0.582419,0.401811,0.590463,0.709428,0.967189,2.684719,Level A,meets Level B or better constraints,2.304342,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.56363,0.582419,1.56363,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.933148
R2_1_02242,R2B_Khaidarov_hybrid_scaled_control,453,230,12,4,0.722,SiO2_25nm,453.185,4.075965,2.0,9.0,2.0,1.623486,0.655436,0.374909,0.578263,0.706145,0.966811,2.476956,Level A,meets Level B or better constraints,2.303035,true_two_mirror_cavity,DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.623486,0.655436,1.623486,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.703619
R2_1_04616,R2D_all_dielectric_highR_mediumR_scan,453,320,12,2,0.4727,TiO2_50nm,452.63,4.360571,1.0,6.0,1.0,1.543526,0.567189,0.45759,0.598352,0.672615,0.962897,2.721362,Level A,meets Level B or better constraints,2.302863,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.543526,0.567189,1.543526,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.0755
