candidate_id,compiled_layer_sequence,complex_index_reconstruction,defect_material_id,duplicate_group_id,extrapolation_policy,geometry,high_index_material_id,interpolation_axis,interpolation_method,interpolation_source_quantity,logical_layer_sequence,low_index_material_id,material_model,material_policy_id,physical_sequence_hash,propagation_direction,topology_id,total_layer_count_compiled,total_layer_count_logical,total_thickness_nm
EX_N3_L79_H42_C161,L79 H42 L79 H42 L79 H42 L161 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_d00a38ab62ebb4b1,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 161}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L161 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,d00a38ab62ebb4b1,GaN -> reverse(stack) -> Air,Explicit,13,13,887
EX_N3_L79_H42_C162,L79 H42 L79 H42 L79 H42 L162 H42 L79 H42 L79 H42 L79,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_0c1a993bd4c5da0d,forbidden,"{""N"": 3, ""L_nm"": 79, ""H_nm"": 42, ""C_nm"": 162}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L79 H42 L79 H42 L79 H42 L162 H42 L79 H42 L79 H42 L79,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,0c1a993bd4c5da0d,GaN -> reverse(stack) -> Air,Explicit,13,13,888
EX_N3_L80_H42_C152,L80 H42 L80 H42 L80 H42 L152 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_bb16e4be660847a7,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 152}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L152 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,bb16e4be660847a7,GaN -> reverse(stack) -> Air,Explicit,13,13,884
EX_N3_L80_H42_C153,L80 H42 L80 H42 L80 H42 L153 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_9c8ebf9581295820,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 153}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L153 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,9c8ebf9581295820,GaN -> reverse(stack) -> Air,Explicit,13,13,885
EX_N3_L80_H42_C154,L80 H42 L80 H42 L80 H42 L154 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_90a95a9bc700dbae,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 154}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L154 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,90a95a9bc700dbae,GaN -> reverse(stack) -> Air,Explicit,13,13,886
EX_N3_L80_H42_C155,L80 H42 L80 H42 L80 H42 L155 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_7de0b1546640837f,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 155}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L155 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,7de0b1546640837f,GaN -> reverse(stack) -> Air,Explicit,13,13,887
EX_N3_L80_H42_C156,L80 H42 L80 H42 L80 H42 L156 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_fe4cb8e72d083891,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 156}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L156 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,fe4cb8e72d083891,GaN -> reverse(stack) -> Air,Explicit,13,13,888
EX_N3_L80_H42_C157,L80 H42 L80 H42 L80 H42 L157 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_41b1dcd4707c6f6b,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 157}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L157 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,41b1dcd4707c6f6b,GaN -> reverse(stack) -> Air,Explicit,13,13,889
EX_N3_L80_H42_C158,L80 H42 L80 H42 L80 H42 L158 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_d0e834b2fb267359,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 158}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L158 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,d0e834b2fb267359,GaN -> reverse(stack) -> Air,Explicit,13,13,890
EX_N3_L80_H42_C159,L80 H42 L80 H42 L80 H42 L159 H42 L80 H42 L80 H42 L80,physical_principal_square_root,APCD_SIO2_NATIVE_M1,DUP_56e7e649d3ce9515,forbidden,"{""N"": 3, ""L_nm"": 80, ""H_nm"": 42, ""C_nm"": 159}",APCD_TIO2_NATIVE_M1,frequency_hz,linear,complex_epsilon,L80 H42 L80 H42 L80 H42 L159 H42 L80 H42 L80 H42 L80,APCD_SIO2_NATIVE_M1,native_m1,MDC_NATIVE_M1,56e7e649d3ce9515,GaN -> reverse(stack) -> Air,Explicit,13,13,891
