case_id,wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency
NP_K6_M2_BATCH1_G04_P,453,2,0.5206896551724137,31.3785235793501,0.022040740991129102,0.017997011118226026
NP_K6_M2_BATCH1_G04_P,453,3,0.7810344827586206,51.35538949052732,0.021630262834221148,0.01766184180805471
NP_K6_M2_BATCH1_G04_P,454,-3,-0.7827586206896551,-51.51385068335645,0.026151421167925203,0.02118339629871305
NP_K6_M2_BATCH1_G04_P,454,-2,-0.52183908045977,-31.45569441912687,0.003304091883739727,0.002676408571877739
NP_K6_M2_BATCH1_G04_P,454,-1,-0.260919540229885,-15.124631395575323,0.005099153456960409,0.0041304595942659
NP_K6_M2_BATCH1_G04_P,454,0,0.0,0.0,0.8620590592286311,0.6982924012914995
NP_K6_M2_BATCH1_G04_P,454,1,0.260919540229885,15.124631395575323,0.06657731916055155,0.05392952555915561
NP_K6_M2_BATCH1_G04_P,454,2,0.52183908045977,31.45569441912687,0.01681020254036171,0.013616743043810914
NP_K6_M2_BATCH1_G04_P,454,3,0.7827586206896551,51.51385068335645,0.019998752561830223,0.016199559415025218
NP_K6_M2_BATCH1_G04_P,455,-3,-0.7844827586206898,-51.67286503641983,0.024143762754493325,0.019222352621988875
NP_K6_M2_BATCH1_G04_P,455,-2,-0.5229885057471265,-31.532928895577506,0.00774837315969968,0.006168962254849121
NP_K6_M2_BATCH1_G04_P,455,-1,-0.26149425287356326,-15.158744308614912,0.005601883916612352,0.0044600085366780905
NP_K6_M2_BATCH1_G04_P,455,0,0.0,0.0,0.8576183665381503,0.6828033734560439
NP_K6_M2_BATCH1_G04_P,455,1,0.26149425287356326,15.158744308614912,0.07318670777061927,0.0582684943649671
NP_K6_M2_BATCH1_G04_P,455,2,0.5229885057471265,31.532928895577506,0.012685538170772503,0.010099746688113366
NP_K6_M2_BATCH1_G04_P,455,3,0.7844827586206898,51.67286503641983,0.019015367689652545,0.015139318037709315
