case_id,angle_deg,normalized_intensity
BARE_GAN_AIR_450_XDIPOLE,-47.12723862575797,0.0063353379386127135
BARE_GAN_AIR_450_XDIPOLE,-47.04305072780886,0.00634958381821523
BARE_GAN_AIR_450_XDIPOLE,-46.95899547496294,0.006363431439123112
BARE_GAN_AIR_450_XDIPOLE,-46.875072062153805,0.006376879434740791
BARE_GAN_AIR_450_XDIPOLE,-46.79127969173787,0.006389926891783924
BARE_GAN_AIR_450_XDIPOLE,-46.70761757339804,0.006402573336948767
BARE_GAN_AIR_450_XDIPOLE,-46.624084924049136,0.006414818723142167
BARE_GAN_AIR_450_XDIPOLE,-46.54068096774476,0.006426663415355965
BARE_GAN_AIR_450_XDIPOLE,-46.4574049355857,0.00643810817626865
BARE_GAN_AIR_450_XDIPOLE,-46.374256065629865,0.006449154151656859
BARE_GAN_AIR_450_XDIPOLE,-46.29123360280378,0.00645980285569758
BARE_GAN_AIR_450_XDIPOLE,-46.20833679881528,0.0064700561562402595
BARE_GAN_AIR_450_XDIPOLE,-46.12556491206785,0.006479916260125777
BARE_GAN_AIR_450_XDIPOLE,-46.042917207576274,0.006489385698626512
BARE_GAN_AIR_450_XDIPOLE,-45.96039295688359,0.0064984673130786
BARE_GAN_AIR_450_XDIPOLE,-45.877991437979404,0.006507164240774138
BARE_GAN_AIR_450_XDIPOLE,-45.79571193521955,0.00651547990117695
BARE_GAN_AIR_450_XDIPOLE,-45.71355373924703,0.006523417982521568
BARE_GAN_AIR_450_XDIPOLE,-45.63151614691409,0.006530982428850475
BARE_GAN_AIR_450_XDIPOLE,-45.54959846120565,0.00653817742753977
BARE_GAN_AIR_450_XDIPOLE,-45.46779999116396,0.006545007397358493
BARE_GAN_AIR_450_XDIPOLE,-45.386120051814295,0.006551476977101516
BARE_GAN_AIR_450_XDIPOLE,-45.3045579640919,0.006557591014830474
BARE_GAN_AIR_450_XDIPOLE,-45.2231130547702,0.00656335455775159
BARE_GAN_AIR_450_XDIPOLE,-45.14178465638982,0.0065687728427537015
BARE_GAN_AIR_450_XDIPOLE,-45.06057210718897,0.006573851287623877
BARE_GAN_AIR_450_XDIPOLE,-44.97947475103485,0.006578595482952251
BARE_GAN_AIR_450_XDIPOLE,-44.89849193735598,0.006583011184732175
BARE_GAN_AIR_450_XDIPOLE,-44.817623021075704,0.006587104307655686
BARE_GAN_AIR_450_XDIPOLE,-44.736867362546725,0.006590880919098987
BARE_GAN_AIR_450_XDIPOLE,-44.65622432748646,0.006594347233786977
BARE_GAN_AIR_450_XDIPOLE,-44.575693286913555,0.006597509609120589
BARE_GAN_AIR_450_XDIPOLE,-44.49527361708533,0.006600374541145407
BARE_GAN_AIR_450_XDIPOLE,-44.414964699436055,0.006602948661135319
BARE_GAN_AIR_450_XDIPOLE,-44.334765920516254,0.006605238732760158
BARE_GAN_AIR_450_XDIPOLE,-44.25467667193295,0.006607251649801806
BARE_GAN_AIR_450_XDIPOLE,-44.17469635029067,0.00660899443437953
BARE_GAN_AIR_450_XDIPOLE,-44.09482435713341,0.006610474235641087
BARE_GAN_AIR_450_XDIPOLE,-44.01506009888752,0.00661169832887324
BARE_GAN_AIR_450_XDIPOLE,-43.935402986805265,0.006612674114981966
BARE_GAN_AIR_450_XDIPOLE,-43.85585243690937,0.006613409120290333
BARE_GAN_AIR_450_XDIPOLE,-43.776407869938346,0.006613910996599691
BARE_GAN_AIR_450_XDIPOLE,-43.697068711292545,0.006614187521458083
BARE_GAN_AIR_450_XDIPOLE,-43.61783439098103,0.006614246598578521
BARE_GAN_AIR_450_XDIPOLE,-43.538704343569314,0.006614096258348822
BARE_GAN_AIR_450_XDIPOLE,-43.45967800812774,0.006613744658374349
