task_id,geometry_id,geometry_hash,polarization,wavelength_start_nm,wavelength_end_nm,wavelength_step_nm,material_contract,production_mesh_id,setup_status,entered,run_invocation_count,training_label,diagnostic_only,solver_authorized
K6HF_031_y,K6X_D200_D205_D215_D220_D225_D230,387ae38a766485eadf9f5c9e791d735d0c0dfaa180486523e334f988f239eec9,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_032_x,K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_032_y,K6X_D100_D110_D115_D220_D225_D230,3e20850f5b7402c4416f521873aca37e9073de4318f168d9617b996729a1f136,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_033_x,K6X_D100_D120_D130_D150_D165_D180,a6e37e4082d76939c42119f938954aaac21bc4995367b568f15b7dd938b5d748,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_033_y,K6X_D100_D120_D130_D150_D165_D180,a6e37e4082d76939c42119f938954aaac21bc4995367b568f15b7dd938b5d748,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_034_x,K6X_D100_D200_D205_D210_D215_D220,be59997cf141c53a03303d7cf05734da8b1ae25d0a64f2927ab681a0f9ecc96b,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_034_y,K6X_D100_D200_D205_D210_D215_D220,be59997cf141c53a03303d7cf05734da8b1ae25d0a64f2927ab681a0f9ecc96b,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_035_x,K6X_D100_D115_D135_D165_D220_D230,33052007ba11aefdda4c765fd30d9f19e06ca4036972fcd0278c949057fc79d9,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_035_y,K6X_D100_D115_D135_D165_D220_D230,33052007ba11aefdda4c765fd30d9f19e06ca4036972fcd0278c949057fc79d9,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_036_x,K6X_D105_D170_D175_D180_D185_D190,0c9c4c33774ed2a2bdaab5099aa9dc400318c39554bf93146b6f815dee25ad43,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_036_y,K6X_D105_D170_D175_D180_D185_D190,0c9c4c33774ed2a2bdaab5099aa9dc400318c39554bf93146b6f815dee25ad43,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_037_x,K6X_D100_D160_D165_D170_D175_D185,009cb5da671e1b9f08466acdf92d0b09479e0a511946bdc6aa0d053927a7858a,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_037_y,K6X_D100_D160_D165_D170_D175_D185,009cb5da671e1b9f08466acdf92d0b09479e0a511946bdc6aa0d053927a7858a,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_038_x,K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_038_y,K6X_D105_D110_D115_D125_D165_D230,8562bc97d6c350f55a323b07984a1523cafda55a9534ed81b3eb0c333215b5ae,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_039_x,K6X_D160_D165_D180_D185_D210_D215,77da29089febc651bd851682b2653712c85724c3d45a0fa5de7e2d5afd5afb23,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_039_y,K6X_D160_D165_D180_D185_D210_D215,77da29089febc651bd851682b2653712c85724c3d45a0fa5de7e2d5afd5afb23,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_040_x,K6X_D125_D135_D145_D150_D155_D160,bbe83eb1d19ca94723907f2c4c2e23d543f4b2f5db5a699a068121238f388422,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_040_y,K6X_D125_D135_D145_D150_D155_D160,bbe83eb1d19ca94723907f2c4c2e23d543f4b2f5db5a699a068121238f388422,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_041_x,K6X_D105_D120_D125_D130_D165_D190,4191675fbcc4312feb77afe9a40a7c767fc01e54e6775d3a2439de9cc47fdf7b,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_041_y,K6X_D105_D120_D125_D130_D165_D190,4191675fbcc4312feb77afe9a40a7c767fc01e54e6775d3a2439de9cc47fdf7b,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_042_x,K6X_D110_D125_D130_D135_D140_D175,714b47fc14f3ebf1b6ebfe7d011e9924fa714cc1c261035eb4ad86c2fc7aabdf,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
