spectral_peak_nm,spectral_FWHM_nm,T450,T448,T453,max_transmission_angle_450_deg,strict_normal,near_normal,angular_FWHM_450_deg,spectral_boundary_clipped,stopband_left_nm,stopband_right_nm,energy_residual_max,angle_symmetry_error_max,secondary_peak_ratio,sequence_json,candidate_id,scan_mode,sample_id,sample_index,spectral_target_pass,angular_target_pass,combined_pass,error_bound_nm,layer_errors_json
448.2799999999938,7.50304045573472,0.6837833450641995,0.8215117174218712,0.32951749843239075,0.0,True,True,22.269784224531286,False,440.7999999999988,456.19999999999794,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",46],[""L"",79],[""H"",46],[""L"",80],[""H"",44],[""L"",156],[""H"",44],[""L"",78],[""H"",45],[""L"",80],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0033,33,True,True,True,1,"[-1,1,0,1,1,-1,0,-1,-1,0,1,-1,1]"
451.05999999999364,7.578073554019284,0.7667730597813882,0.4914880856069837,0.6616413550916007,-7.0,False,False,29.495534702820922,False,443.59999999999866,459.1999999999978,8.881784197001252e-16,0.0,0.0,"[[""L"",80],[""H"",44],[""L"",78],[""H"",45],[""L"",80],[""H"",45],[""L"",156],[""H"",46],[""L"",79],[""H"",44],[""L"",79],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0034,34,True,False,False,1,"[1,-1,-1,0,1,0,0,1,0,-1,0,-1,1]"
449.59999999999377,7.508798609248856,0.8189807641943634,0.696584689700893,0.464270118177846,0.0,True,True,24.765340006551668,False,442.19999999999874,457.59999999999786,6.661338147750939e-16,0.0,0.0,"[[""L"",80],[""H"",45],[""L"",80],[""H"",45],[""L"",79],[""H"",46],[""L"",156],[""H"",44],[""L"",78],[""H"",45],[""L"",78],[""H"",44],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0035,35,True,True,True,1,"[1,0,1,0,0,1,0,-1,-1,0,-1,-1,-1]"
452.71999999999366,7.67520523123261,0.5458246785176628,0.3189801296617676,0.8234388013288018,-11.0,False,False,34.15572028706194,False,445.19999999999857,460.99999999999767,6.661338147750939e-16,0.0,0.0,"[[""L"",79],[""H"",46],[""L"",78],[""H"",46],[""L"",79],[""H"",46],[""L"",157],[""H"",45],[""L"",80],[""H"",44],[""L"",78],[""H"",45],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0036,36,False,False,False,1,"[0,1,-1,1,0,1,1,0,1,-1,-1,0,1]"
449.1799999999938,7.515545444090662,0.7921035221321443,0.7555150562869568,0.41530605711328983,0.0,True,True,23.628815552066033,False,441.79999999999876,457.1999999999979,1.1102230246251565e-15,0.0,0.0,"[[""L"",78],[""H"",44],[""L"",80],[""H"",46],[""L"",78],[""H"",44],[""L"",155],[""H"",46],[""L"",80],[""H"",44],[""L"",79],[""H"",46],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0037,37,True,True,True,1,"[-1,-1,1,1,-1,-1,-1,1,1,-1,0,1,0]"
452.7999999999936,7.700979357279152,0.5391773507556832,0.31741665337728653,0.8274212925346883,-11.0,False,False,34.34344927156427,False,445.19999999999857,460.99999999999767,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",45],[""L"",80],[""H"",46],[""L"",80],[""H"",45],[""L"",156],[""H"",46],[""L"",80],[""H"",45],[""L"",80],[""H"",46],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0038,38,False,False,False,1,"[-1,0,1,1,1,0,0,1,1,0,1,1,1]"
450.17999999999375,7.563402388877989,0.8286829625402066,0.6173242081483323,0.5405808039578368,-3.0,False,True,26.602813084689128,False,442.7999999999987,458.19999999999783,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",45],[""L"",80],[""H"",45],[""L"",80],[""H"",44],[""L"",156],[""H"",45],[""L"",80],[""H"",46],[""L"",80],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0039,39,True,True,True,1,"[0,0,1,0,1,-1,0,0,1,1,1,-1,0]"
449.15999999999383,7.4736218970821255,0.7903989518382443,0.7557417190052591,0.4134910162231073,0.0,True,True,23.63028064992517,False,441.79999999999876,457.1999999999979,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",45],[""L"",78],[""H"",44],[""L"",78],[""H"",45],[""L"",155],[""H"",46],[""L"",79],[""H"",45],[""L"",78],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0040,40,True,True,True,1,"[0,0,-1,-1,-1,0,-1,1,0,0,-1,-1,1]"
451.77999999999366,7.64875877476112,0.6768310966890481,0.4087491329590961,0.7514826784636573,-9.0,False,False,31.573192244955138,False,444.3999999999986,459.9999999999977,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",46],[""L"",80],[""H"",46],[""L"",79],[""H"",45],[""L"",157],[""H"",45],[""L"",80],[""H"",44],[""L"",79],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0041,41,True,False,False,1,"[-1,1,1,1,0,0,1,0,1,-1,0,-1,1]"
449.9599999999938,7.5286086808713435,0.8290012476920624,0.6494504456398342,0.5070483102539995,0.0,True,True,25.83723945634125,False,442.5999999999987,457.99999999999784,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",44],[""L"",78],[""H"",45],[""L"",79],[""H"",46],[""L"",155],[""H"",45],[""L"",78],[""H"",46],[""L"",79],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0042,42,True,True,True,1,"[-1,-1,-1,0,0,1,-1,0,-1,1,0,-1,0]"
