model,geometry_id,wavelength_nm,true_delta_eta_plus1,pred_delta_eta_plus1,contrast_abs_error,true_delta_T,pred_delta_T
LF_only,K6X_D125_D135_D150_D175_D190_D210,452,-0.005858227078999967,0.0,0.005858227078999967,0.0037309074021049105,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,453,-0.011659169303000039,0.0,0.011659169303000039,0.0008238250657650603,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,454,0.009323899330999974,0.0,0.009323899330999974,0.015871433912044264,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,455,0.02390797317100002,0.0,0.02390797317100002,0.019981109749156678,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,445,-0.23267006901600007,0.0,0.23267006901600007,-0.13600734619348798,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,446,-0.191259103935,0.0,0.191259103935,-0.10907502970400995,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,447,-0.159622498725,0.0,0.159622498725,-0.08692605189148572,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,448,-0.12804053628400003,0.0,0.12804053628400003,-0.07267440253294599,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,449,-0.29903107314199995,0.0,0.29903107314199995,-0.23189368407242694,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,450,-0.16352115437500003,0.0,0.16352115437500003,-0.09241786738647406,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,451,-0.11772493872599998,0.0,0.11772493872599998,-0.06016657832434691,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,452,-0.07673565707300001,0.0,0.07673565707300001,-0.03058545905386001,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,453,-0.03742880771500001,0.0,0.03742880771500001,-0.005585873345869907,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,454,0.0026666946560000016,0.0,0.0026666946560000016,0.02028108224094982,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,455,0.026821436490000017,0.0,0.026821436490000017,0.033324389314270064,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,445,0.07995845899800003,0.0,0.07995845899800003,0.03409675308732796,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,446,0.07892165262499995,0.0,0.07892165262499995,0.035006128041819906,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,447,0.091377064176,0.0,0.091377064176,0.044831842178735704,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,448,0.10914779682100006,0.0,0.10914779682100006,0.058717444235876104,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,449,0.12965030172199998,0.0,0.12965030172199998,0.0756045400775669,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,450,0.147113048121,0.0,0.147113048121,0.09139276849390399,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,451,0.15515635674499995,0.0,0.15515635674499995,0.10130049732829682,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,452,0.15082408628199995,0.0,0.15082408628199995,0.10282266140633989,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,453,0.13778019512500006,0.0,0.13778019512500006,0.09786320553458994,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,454,0.13028854810699997,0.0,0.13028854810699997,0.09566764700089003,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,455,0.139464812876,0.0,0.139464812876,0.10184630284208995,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,445,-0.022326647789844264,0.0,0.022326647789844264,0.05986572869195561,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,446,-0.02091519204804919,0.0,0.02091519204804919,-0.011969960076408714,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,447,-0.015931359765030993,0.0,0.015931359765030993,-0.08367583363735454,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,448,-0.0100829978138215,0.0,0.0100829978138215,-0.19311801276232543,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,449,-0.015541943383274007,0.0,0.015541943383274007,-0.2816940330984315,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,450,0.01583225231648099,0.0,0.01583225231648099,-0.26239366369851624,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,451,0.0072428662374637645,0.0,0.0072428662374637645,-0.23948292654921327,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,452,-0.015084286053095843,0.0,0.015084286053095843,-0.1404433883423607,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,453,-0.0026390605938245125,0.0,0.0026390605938245125,-0.1340761921956537,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,454,-0.005290785946465582,0.0,0.005290785946465582,-0.1486048502858407,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,455,-0.0016529227571321324,0.0,0.0016529227571321324,-0.20117913765641782,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,445,-0.03578345837882728,0.0,0.03578345837882728,0.19018853796083612,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,446,0.006725564945800247,0.0,0.006725564945800247,0.19633140477593714,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,447,-0.06398798620540756,0.0,0.06398798620540756,0.04109517213691816,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,448,-0.12511752092943818,0.0,0.12511752092943818,-0.04911293711436704,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,449,-0.10567231080805983,0.0,0.10567231080805983,0.022728744635029496,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,450,-0.1018166837226982,0.0,0.1018166837226982,0.11807434407724327,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,451,-0.07998202886759033,0.0,0.07998202886759033,0.3035944666379887,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,452,-0.1325844350919738,0.0,0.1325844350919738,0.3330098846980424,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,453,-0.13133684478485327,0.0,0.13133684478485327,0.2498276539156189,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,454,-0.13910326455112879,0.0,0.13910326455112879,0.1733794987177013,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,455,-0.16021552272325576,0.0,0.16021552272325576,0.10359899414006946,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,445,-0.07507165292505757,0.0,0.07507165292505757,0.001787062412937357,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,446,-0.05198061707784574,0.0,0.05198061707784574,0.014130203141392572,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,447,-0.03508817979233558,0.0,0.03508817979233558,0.025154015445206124,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,448,-0.024049438342906182,0.0,0.024049438342906182,0.03305439965084833,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,449,-0.015750623315036072,0.0,0.015750623315036072,0.040997281582154765,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,450,-0.005114812498532517,0.0,0.005114812498532517,0.04854891014776841,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,451,-0.07617494409121173,0.0,0.07617494409121173,-0.04079949565319885,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,452,-0.06452904159950956,0.0,0.06452904159950956,-0.0025557575759215245,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,453,-0.05282850924151561,0.0,0.05282850924151561,0.012960304171196646,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,454,-0.05160131803804413,0.0,0.05160131803804413,0.017015397254035447,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,455,-0.05192315291585148,0.0,0.05192315291585148,0.019138772588845332,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,445,-0.14523215973169923,0.0,0.14523215973169923,-0.15893938178683875,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,446,-0.18170161529572,0.0,0.18170161529572,-0.13680422365271871,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,447,-0.3102890449180098,0.0,0.3102890449180098,-0.19619079360027047,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,448,-0.30777225712511735,0.0,0.30777225712511735,-0.20427716401361884,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,449,-0.17632419216367595,0.0,0.17632419216367595,-0.08679276560569127,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,450,-0.3129516988746146,0.0,0.3129516988746146,-0.09728319319517853,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,451,-0.3493560792474992,0.0,0.3493560792474992,-0.12137473038003532,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,452,-0.48491484790217426,0.0,0.48491484790217426,-0.1701814428596382,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,453,-0.3682087235634568,0.0,0.3682087235634568,-0.04164627040615965,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,454,-0.2579318233432133,0.0,0.2579318233432133,0.05456549723661408,0.0
LF_only,K6X_D135_D155_D190_D220_D225_D230,455,-0.19971368423617825,0.0,0.19971368423617825,0.11547406363817403,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,445,-0.14717190426807514,0.0,0.14717190426807514,-0.09798701114618125,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,446,-0.1513481188646213,0.0,0.1513481188646213,-0.10602904793894896,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,447,-0.1606975327578316,0.0,0.1606975327578316,-0.11869432193750229,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,448,-0.20788857396518712,0.0,0.20788857396518712,-0.1619444507881037,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,449,-0.46664088696639094,0.0,0.46664088696639094,-0.3434243401095497,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,450,-0.28239982943563535,0.0,0.28239982943563535,-0.17566296251957636,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,451,-0.14171642617850233,0.0,0.14171642617850233,-0.08908318075881994,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,452,-0.08974360759708289,0.0,0.08974360759708289,-0.06308708578246558,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,453,-0.05404776183062143,0.0,0.05404776183062143,-0.047907823511479486,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,454,-0.022459923271234472,0.0,0.022459923271234472,-0.03643631897588351,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D195,455,0.008157519608353647,0.0,0.008157519608353647,-0.02580832859981841,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,445,0.013902353639186436,0.0,0.013902353639186436,0.11130630117060791,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,446,0.01623665580802882,0.0,0.01623665580802882,0.1186272190874963,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,447,0.015286567564578812,0.0,0.015286567564578812,0.12537973129113644,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,448,0.01379250851269144,0.0,0.01379250851269144,0.12880574681461476,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,449,0.012550140722593146,0.0,0.012550140722593146,0.13005051350579266,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,450,0.008408168157859594,0.0,0.008408168157859594,0.11927068617874292,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,451,0.00643173882503581,0.0,0.00643173882503581,0.10468307246428321,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,452,0.006446962344770386,0.0,0.006446962344770386,0.08376169926332655,0.0
LF_only,K6X_D100_D105_D115_D165_D225_D230,453,0.010106111465345916,0.0,0.010106111465345916,0.05359586128448135,0.0
