model,geometry_id,polarization,order_n,mean_hf_minus_model,mae_hf_minus_model,p90_abs_hf_minus_model,max_abs_hf_minus_model
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,2,0.013719894393886066,0.019661603280353154,0.03483864186039064,0.038369858429488424
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,p,3,0.05653567381854372,0.05653567381854372,0.0638056989525467,0.06660833666374846
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,-3,0.01612635448159325,0.01612635448159325,0.025627891017730987,0.029535327916682317
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,-2,0.00833524119647412,0.00863879692187863,0.017244917550786283,0.01951473754678752
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,-1,0.029686066274846743,0.0346189453384544,0.0663252633111402,0.06640780613277306
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,0,-0.023623696604880087,0.04701653495297882,0.12950701221648434,0.13045271890017326
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,1,0.047565590675722566,0.06369792379339405,0.11457756866509172,0.15780700920895885
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,2,-0.002953858728339702,0.02171462169790846,0.03328313629644551,0.03586871842197684
LF_global_bias,K6X_D105_D120_D125_D130_D165_D190,s,3,0.03645636078334797,0.03645636078334797,0.05043499633268809,0.055649565383136396
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,-3,0.024558826994600144,0.024558826994600144,0.028648762453359313,0.029009945434776176
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,-2,0.008534882863300002,0.008534882863300002,0.009115650618675279,0.011792315665358
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,-1,0.004733011322430426,0.004733011322430426,0.0073978392371643106,0.00785983566459343
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,0,0.07169807939055131,0.07169807939055131,0.12103062027305288,0.14734034493779877
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,1,-0.19049371759883946,0.19049371759883946,0.42491691874927673,0.5048855130411058
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,2,0.05716397133153094,0.05716397133153094,0.06646768143724713,0.07679984867191897
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,p,3,0.027502093277659755,0.027502093277659755,0.03858251364760798,0.05996569599008405
