model,geometry_id,M7_order_profile_mae,M8_order_profile_mae,delta_order,M7_eta_plus1_mae,M8_eta_plus1_mae,delta_eta_plus1,M7_R_mae,M8_R_mae,delta_R,M7_T_mae,M8_T_mae,delta_T,M7_PS_contrast_mae,M8_PS_contrast_mae,delta_PS_contrast
LF_only,K6X_D100_D105_D115_D120_D125_D130,0.015052012145008207,0.015052012145008207,0.0,0.030651608710942056,0.030651608710942056,0.0,nan,nan,nan,0.03519581286191291,0.03519581286191291,0.0,0.001976870120999992,0.001976870120999992,0.0
LF_only,K6X_D100_D110_D115_D220_D225_D230,0.03336736359715757,0.03336736359715757,0.0,0.024815235989050798,0.024815235989050798,0.0,nan,nan,nan,0.18445846930195,0.18445846930195,0.0,0.025559396291187274,0.025559396291187274,0.0
LF_only,K6X_D100_D115_D130_D145_D155_D185,0.024895104720165234,0.024895104720165234,0.0,0.13659494277401588,0.13659494277401588,0.0,nan,nan,nan,0.11329509346751697,0.11329509346751697,0.0,0.13050199728518183,0.13050199728518183,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,0.04075903513976094,0.04075903513976094,0.0,0.17330626524269246,0.17330626524269246,0.0,nan,nan,nan,0.15843006876524604,0.15843006876524604,0.0,0.04893142853990909,0.04893142853990909,0.0
LF_only,K6X_D100_D140_D145_D155_D225_D230,0.049747275038546514,0.049747275038546514,0.0,0.11846842618104457,0.11846842618104457,0.0,nan,nan,nan,0.22391316077265191,0.22391316077265191,0.0,0.15589924954463638,0.15589924954463638,0.0
LF_only,K6X_D100_D200_D205_D210_D215_D220,0.058014558236379035,0.058014558236379035,0.0,0.04436394353620144,0.04436394353620144,0.0,nan,nan,nan,0.32979836698073073,0.32979836698073073,0.0,0.020798286677152732,0.020798286677152732,0.0
LF_only,K6X_D105_D120_D125_D130_D165_D190,0.03405784198380515,0.03405784198380515,0.0,0.07257430968552399,0.07257430968552399,0.0,nan,nan,nan,0.09618742164916892,0.09618742164916892,0.0,0.04582838998525874,0.04582838998525874,0.0
LF_only,K6X_D110_D125_D135_D150_D175_D190,0.03373226178707473,0.03373226178707473,0.0,0.1846813675863565,0.1846813675863565,0.0,nan,nan,nan,0.13864144922173935,0.13864144922173935,0.0,0.1656411051628182,0.1656411051628182,0.0
LF_only,K6X_D110_D190_D210_D215_D220_D225,0.05945078659821855,0.05945078659821855,0.0,0.015752211341876626,0.015752211341876626,0.0,nan,nan,nan,0.3477692513414019,0.3477692513414019,0.0,0.012049119518589346,0.012049119518589346,0.0
LF_only,K6X_D120_D125_D180_D185_D190_D195,0.027297120878768746,0.027297120878768746,0.0,0.10253674943661538,0.10253674943661538,0.0,nan,nan,nan,0.174163039494063,0.174163039494063,0.0,0.17051380644909092,0.17051380644909092,0.0
