structure_key,display_name,wavelength_nm,r12_normalized_output,peak_normalized_output,normalization_method,plot_normalization
bare,Bare (no MDC),440.20000000000005,0.05090157132029012,0.8615718468142899,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),440.4,0.05094963429911143,0.8623853719835997,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),440.59999999999997,0.05099722648272453,0.863190928363607,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),440.8,0.05104435405378878,0.8639886206034438,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),441.0000000000001,0.05109102327941199,0.8647785547816361,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),441.20000000000005,0.05113724050798118,0.8655608383524601,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),441.4,0.051183012165998035,0.86633558009238,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),441.6,0.0512283447549222,0.8671028900466151,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),441.8,0.05127324484802019,0.8678628794758049,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),442.0,0.05131771908722911,0.8686156608029231,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),442.2,0.051361774180029726,0.8693613475603507,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),442.4,0.05140541689633663,0.8701000543372385,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),442.6000000000001,0.05144865406540319,0.8708318967271187,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),442.80000000000007,0.05149149257274624,0.8715569912758522,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),443.00000000000006,0.05153393935708915,0.8722754554298866,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),443.20000000000005,0.05157600140732738,0.8729874074848932,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),443.40000000000003,0.05161768575951803,0.8736929665348127,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),443.59999999999997,0.05165899949389138,0.8743922524212713,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),443.8,0.05169994973189174,0.8750853856834931,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),444.0,0.051740543633242445,0.8757724875086226,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),444.20000000000005,0.05178078839304269,0.8764536796825835,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),444.40000000000003,0.05182069123889155,0.8771290845414005,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),444.6000000000001,0.05186025942804508,0.8777988249230794,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),444.8,0.05189950024460452,0.8784630241200134,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),445.00000000000006,0.05193842099673783,0.879121805831955,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),445.20000000000005,0.051977029013936624,0.8797752941195855,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),445.40000000000003,0.05201533164430597,0.8804236133586423,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),445.6000000000001,0.05205333625189275,0.8810668881946971,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),445.79999999999995,0.05209105021404944,0.8817052434985357,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),446.0000000000001,0.05212848091883505,0.8823388043221648,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),446.19999999999993,0.05216563576245663,0.8829676958555069,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),446.4000000000001,0.05220252214674713,0.8835920433837099,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),446.6000000000001,0.052239147476684164,0.8842119722451487,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),446.79999999999995,0.052275519157949445,0.8848276077901162,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),447.00000000000006,0.052311644594528015,0.885439075340187,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),447.20000000000005,0.05234753118634862,0.8860465001482778,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),447.4000000000001,0.05238318632696689,0.8866500073594327,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),447.5999999999999,0.052418617401288614,0.8872497219722861,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),447.8,0.05245383178333751,0.8878457688012805,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),448.0000000000001,0.0524888368340638,0.8884382724395731,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),448.2000000000001,0.05252363989919721,0.8890273572226951,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),448.40000000000003,0.05255824830714183,0.8896131471929207,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),448.6,0.05259266936691575,0.8901957660643917,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),448.8000000000001,0.05262691036613281,0.8907753371889563,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),449.0,0.052660978569029473,0.8913519835227723,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),449.20000000000005,0.05269488121453439,0.8919258275936315,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),449.40000000000003,0.052728625514382135,0.892496991469032,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),449.6000000000001,0.0527622186512716,0.8930655967250078,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),449.8,0.052795667777067116,0.8936317644156795,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),450.0000000000001,0.0528289800110443,0.8941956150435636,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),450.2000000000001,0.05286216243817951,0.8947572685306194,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),450.4000000000001,0.052895222107483535,0.8953168441900448,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),450.6,0.0529281660303782,0.8958744606987978,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),450.8,0.052961001179116854,0.896430236070862,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),451.0,0.05299373448524937,0.8969842876312641,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),451.2,0.05302637283812814,0.8975367319907869,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),451.40000000000003,0.053058923083459775,0.8980876850214541,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),451.6,0.053091392021897596,0.8986372618327071,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),451.80000000000007,0.053123786407677794,0.8991855767483202,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),452.0,0.05315611294729752,0.8997327432840255,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),452.2,0.05318837829823551,0.9002788741258582,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),452.40000000000003,0.053220589067713764,0.900824081109196,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),452.6000000000001,0.053252751811501284,0.9013684751985113,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),452.8,0.05328487303275862,0.9019121664678137,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),453.00000000000006,0.053316959180922815,0.902455264081776,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),453.20000000000005,0.05334901665063316,0.9029978762775517,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),453.40000000000003,0.05338105178069664,0.9035401103472634,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),453.59999999999997,0.05341307085309275,0.904082072621159,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),453.80000000000007,0.05344508009201743,0.9046238684514276,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),453.99999999999994,0.053477085662965114,0.9051656021966638,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),454.20000000000005,0.05350909367184965,0.9057073772069866,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),454.4,0.05354111016416207,0.9062492958097847,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),454.60000000000014,0.05357314112416539,0.9067914592960875,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),454.80000000000007,0.05360519247412613,0.9073339679075566,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),455.00000000000006,0.05363727007358213,0.9078769208240938,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),455.2,0.05366937971864432,0.908420416152022,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),455.40000000000003,0.05370152714133498,0.9089645509128849,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),455.6,0.05373371800895889,0.9095094210328025,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),455.8,0.053765957923508606,0.9100551213324054,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),456.00000000000006,0.0537982524211026,0.9106017455173233,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),456.20000000000005,0.053830606971454906,0.9111493861692096,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),456.40000000000003,0.05386302697737804,0.9116981347373269,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),456.6000000000001,0.05389551777431531,0.9122480815306305,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),456.8,0.05392808462990354,0.912799315710368,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),457.0,0.05396073274356626,0.9133519252831923,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),457.2,0.053993467246136656,0.9139059970947806,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),457.40000000000003,0.05402629319950465,0.9144616168238601,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),457.6,0.054059215596296825,0.9150188689767907,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),457.8,0.054092239359579436,0.9155778368825382,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),458.0,0.05412536934258888,0.9161386026881116,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),458.2,0.05415861032848823,0.9167012473544427,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),458.4,0.054191967030146754,0.9172658506526539,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),458.6000000000001,0.05422544408994455,0.9178324911607515,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),458.8000000000001,0.0542590460796007,0.9184012462607172,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),459.00000000000006,0.05429277750002273,0.9189721921359597,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),459.20000000000005,0.05432664278117944,0.919545403769162,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),459.40000000000015,0.05436064628199344,0.9201209549404633,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),459.6000000000001,0.05439479229025496,0.9206989182259993,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),459.8,0.05442908502255518,0.9212793649967738,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),460.00000000000006,0.05446352862423867,0.921862365417854,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),460.20000000000016,0.05449812716937343,0.9224479884478638,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),460.4000000000001,0.05453288466073969,0.9230363018387928,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),460.6000000000001,0.054567805029835256,0.9236273721360886,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),460.8000000000001,0.05460289213689675,0.9242212646790147,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),461.00000000000006,0.05463814977093664,0.9248180436012783,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),461.20000000000005,0.05467358164979633,0.9254177718319287,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),461.4,0.05470919142021157,0.9260205110964642,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),461.6,0.05474498265789423,0.9266263219182164,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),461.8000000000001,0.05478095886762469,0.9272352636199138,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),462.0,0.05481712348335818,0.9278473943254822,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
