mode,wavelength_nm,T_up,R_down,A_or_loss_proxy,T_norm
pol0_angle0,454.00664451827237,0.9334626923902795,0.056353534964014775,0.010183772645705767,0.9508286139207163
pol0_angle0,454.50997782705105,0.8773372757437066,0.11392778061705885,0.008734943639234577,0.8936590531543054
pol0_angle0,455.01442841287457,0.8046479293945454,0.19042052327223638,0.004931547333218184,0.8196174112125203
pol0_angle0,455.52,0.7210115357730347,0.2790447367168675,-5.627248990219824e-05,0.7344250656921707
pol0_angle0,456.0266963292547,0.6326484064445451,0.3720611691909053,-0.004709575635450436,0.6444180493796464
pol0_angle0,456.53452115812917,0.5454503755526485,0.4621984995835205,-0.00764887513616902,0.5555978067224357
pol0_angle0,457.0434782608695,0.46420296655672694,0.5438675066258847,-0.00807047318261156,0.4728388899387079
pol0_angle0,457.55357142857144,0.3920998906518729,0.6138869549250863,-0.0059868455769591655,0.39939442527940827
pol0_angle0,458.0648044692737,0.3306100827692861,0.6715845985360362,-0.00219468130532241,0.3367606753975153
pol0_angle0,458.5771812080537,0.27967257772027243,0.7183145703339885,0.0020128519457390803,0.2848755409222283
pol0_angle0,459.09070548712197,0.23812482199395804,0.7565881078675424,0.0052870701384996055,0.2425548404691553
pol0_angle0,459.60538116591925,0.20423161239340848,0.7891023877134794,0.006665999893112118,0.20803108952706523
pol0_angle0,460.12121212121207,0.17618098471676777,0.8179494887009231,0.005869526582309104,0.17945861453602924
pol0_angle0,460.638202247191,0.15244558562678603,0.844200889278638,0.003353525094575982,0.15528164763466046
pol0_angle0,461.15635545556796,0.13196049299086393,0.8679252179447803,0.0001142890643557326,0.13441545512816055
pol0_angle0,461.6756756756756,0.1141243340908942,0.8885553201839064,-0.002679654274800547,0.1162474765010755
pol0_angle0,462.1961668545659,0.09867436649684211,0.9054204611616916,-0.004094827658533751,0.10051008132467508
pol0_angle0,462.71783295711055,0.08550792137997482,0.9182295251443278,-0.0037374465243025234,0.08709869074335774
pol0_angle0,463.24067796610166,0.07451994145382573,0.9273351572609754,-0.0018550987148011622,0.07590629300947936
pol0_angle0,463.7647058823529,0.06550430717133134,0.9337057883633538,0.0007899044653147946,0.06672293397614783
pol0_angle0,464.28992072480173,0.05813513910816131,0.9386449909030706,0.0032198699887681093,0.059216671634467415
pol0_angle0,464.8163265306122,0.052014431170651715,0.9433856766158986,0.004599892213449697,0.05298209547852765
pol0_angle0,465.343927355278,0.04675303680483167,0.9487216053350292,0.004525357860139079,0.047622819362914744
pol0_angle0,465.8727272727272,0.04204734330731378,0.9548123706386029,0.003140286054083341,0.04282958224454263
pol0_angle0,466.40273037542653,0.037722788157891964,0.9612243838243686,0.0010528280177394267,0.03842457408292104
pol0_angle0,466.9339407744875,0.033732416939056806,0.9671791553455209,-0.0009115722845777219,0.03435996693154297
