wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency,case_id,geometry_id,geometry_hash,polarization
452,1,0.2597701149425287,15.056422020591514,0.8525135367199292,0.6405808746985518,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
452,2,0.5195402298850574,31.301416079556272,0.0650140159551972,0.04885169960876264,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
452,3,0.7793103448275862,51.197474525406115,0.0049689755549402175,0.003733701073634713,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,-3,-0.7810344827586206,-51.35538949052732,0.0036462239102593944,0.0027572604523684015,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,-2,-0.5206896551724137,-31.3785235793501,0.006863849083182874,0.005190416193266332,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,-1,-0.26034482758620686,-15.0905239711439,0.0072876633188935095,0.005510902883068261,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,0,0.0,0.0,0.05629453809010342,0.04256971249720822,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,1,0.26034482758620686,15.0905239711439,0.8570204833334311,0.6480755827737456,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,2,0.5206896551724137,31.3785235793501,0.06321594415892808,0.04780365306093932,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
453,3,0.7810344827586206,51.35538949052732,0.005671298105201783,0.004288613745048993,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
454,-3,-0.7827586206896551,-51.51385068335645,0.0038759826685228703,0.0029506623243812885,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
454,-2,-0.52183908045977,-31.45569441912687,0.006370359501312118,0.004849552069965643,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
