wavelength_nm,pair_DoLP,pair_DoLP__IAR4,pair_DoLP__IAR4_OC1,pair_DoLP__sign,C_source,C_source__IAR4,C_source__IAR4_OC1,C_source__sign,C_angular,C_angular__IAR4,C_angular__IAR4_OC1,C_angular__sign,full_angle_DoLP,full_angle_DoLP__IAR4,full_angle_DoLP__IAR4_OC1,full_angle_DoLP__sign,upward_source_normalized_power,upward_source_normalized_power__IAR4,upward_source_normalized_power__IAR4_OC1,upward_source_normalized_power__sign,useful_LP,useful_LP__IAR4,useful_LP__IAR4_OC1,useful_LP__sign,P_LP_over_S0,P_LP_over_S0__IAR4,P_LP_over_S0__IAR4_OC1,P_LP_over_S0__sign,cone_5deg_DoLP,cone_5deg_DoLP__IAR4,cone_5deg_DoLP__IAR4_OC1,cone_5deg_DoLP__sign,cone_10deg_DoLP,cone_10deg_DoLP__IAR4,cone_10deg_DoLP__IAR4_OC1,cone_10deg_DoLP__sign,cone_20deg_DoLP,cone_20deg_DoLP__IAR4,cone_20deg_DoLP__IAR4_OC1,cone_20deg_DoLP__sign
420.0,-0.005323755565433718,0.01978934355900818,0.014465587993574463,-,-0.013934672411692814,0.04976435019560762,0.035829677783914805,-,-0.0008851761520871186,0.029806703568602027,0.02892152741651491,-,-0.0005546908173105422,0.017669157891752437,0.017114467074441895,-,-3.195786093516256e-05,0.0074860473636253755,0.007454089502690213,-,-0.02295060873370902,1.7998293566751078,1.7768787479413988,-,-0.0026618777827168705,0.5098946717795041,0.5072327939967872,-,0.0015197735832170878,0.3403361010427531,0.34185587462597017,+,-0.00845571567635342,0.16177829875827535,0.15332258308192193,-,-0.008212974035658465,0.018198325639179804,0.009985351603521339,-
421.0,0.0024684067656161185,0.0363677072129861,0.03883611397860222,+,0.004398595232294938,0.08836774742360864,0.09276634265590358,+,-0.004798882826315323,0.011529353775884125,0.006730470949568802,-,-0.002850448064452544,0.006834931724640445,0.0039844836601879005,-,-2.9032165040984367e-05,0.007098894626402294,0.00706986246136131,-,-0.007009383057010599,1.6983423972410203,1.6913330141840097,-,0.0012342033828079968,0.5181838536064931,0.5194180569893011,+,0.005445831693902059,0.37898420632783186,0.3844300380217339,+,-0.00021338354700770057,0.15206417509298123,0.15185079154597353,-,-0.003543322480367695,0.01919868624070362,0.015655363760335925,-
422.0,0.0027607460154743177,0.044025689681473835,0.04678643569694815,+,0.00529839690136838,0.10735876332083054,0.11265716022219892,+,-0.006649908889066285,0.015418202122168339,0.008768293233102053,-,-0.0039443840619235344,0.00912561866837828,0.005181234606454746,-,-1.4303138066770922e-05,0.006710802726682545,0.006696499588615774,-,-0.0022219878300460127,1.5821090605472783,1.5798870727172323,-,0.001380373007737079,0.522012844840737,0.523393217848474,+,0.0020708915330228117,0.36790681209905113,0.36997770363207394,+,0.002091067328552687,0.1437757705566944,0.1458668378852471,+,-0.007639141583846657,0.02502113996637328,0.017381998382526624,-
423.0,0.0013603436868111288,0.04022215264251597,0.0415824963293271,+,0.002457997765871814,0.1005160971329971,0.10297409489886891,+,-0.00825621373665878,0.019299021030651627,0.011042807293992847,-,-0.0048698541622545265,0.011352723559335354,0.006482869397080828,-,-1.1838178663823445e-06,0.006427579786588449,0.006426395968722067,-,-4.764178554839127e-05,1.4801171820682082,1.4800695402826598,-,0.0006801718434056303,0.520111076321258,0.5207912481646636,+,-0.003519409139316698,0.3531674457676841,0.3496480366283674,-,5.172426650301709e-05,0.14263438795365904,0.14268611222016206,+,-0.012902680138309745,0.02986269059474985,0.016960010456440106,-
424.0,0.0004775108261104305,0.03334179861192331,0.03381930943803374,+,0.0003855194741590462,0.08128451025204404,0.08167002972620309,+,-0.007600650886464954,0.023300064647244236,0.015699413760779282,-,-0.004412518338875087,0.013476818113044868,0.009064299774169782,-,-1.81846499812139e-06,0.006303062109559295,0.006301243644561173,-,-0.0009450862061386456,1.4359990190980665,1.4350539328919278,-,0.00023875541305518055,0.5166708993059617,0.5169096547190168,+,-0.006176263330773757,0.32753191468862125,0.3213556513578475,-,-0.002485764753804909,0.13725007812361498,0.13476431336981007,-,-0.009015468642644783,0.035011623957625984,0.0259961553149812,-
425.0,-0.00021551004462451104,0.02440271414077362,0.02418720409614911,-,-0.0011296912763700886,0.0578730018779818,0.05674331060161171,-,-0.003345465199789663,0.04147905563347313,0.038133590433683466,-,-0.0019510402167732949,0.02378223625030024,0.021831196033526946,-,-7.872525453064654e-06,0.006442066317121813,0.006434193791668748,-,-0.003262678007253994,1.4752704563594872,1.4720077783522332,-,-0.00010775502231230583,0.5122013570703868,0.5120936020480745,-,-0.00656987122020064,0.29847164393907083,0.2919017727188702,-,-0.003001164206452661,0.13218887692079068,0.12918771271433802,-,-0.0065788696438880065,0.03118241259856597,0.024603542954677964,-
426.0,-0.000623237438496807,0.019976454608588174,0.019353217170091367,-,-0.0020641257869826873,0.049270909866299416,0.04720678407931673,-,0.0001676655490281745,0.05924403865804405,0.05941170420707222,+,7.63735871900581e-05,0.03455052305645866,0.034626896643648715,+,-1.6728784498249924e-05,0.0067181720529557055,0.0067014432684574556,-,-0.0051573414292331865,1.5804535654778895,1.5752962240486563,-,-0.00031161871924834106,0.509988227304294,0.5096766085850457,-,-0.011465164849879195,0.28432242068057734,0.27285725583069814,-,-0.0044411196746285825,0.12162940112043259,0.11718828144580401,-,-0.0065270836704575536,0.019740844222368832,0.013213760551911279,-
427.0,-0.0008562671263741793,0.023622000004434672,0.022765732878060493,-,-0.0029126097146085703,0.06351404939100114,0.06060143967639257,-,-0.0002397383123451391,0.0645054526578715,0.06426571434552636,-,-0.0001180783556851625,0.03862952811494539,0.03851144975926023,-,-1.1745211140804998e-05,0.007137450126289184,0.007125704915148379,-,-0.003786471820801829,1.730245480494337,1.7264590086735352,-,-0.0004281335631871608,0.5118110000022174,0.5113828664390302,-,-0.018147376948088823,0.30270972067842455,0.28456234373033573,-,-0.008044613188624969,0.1183816864661976,0.11033707327757263,-,-0.008067460594390351,0.024136677298974556,0.016069216704584204,-
428.0,2.7296879938826235e-05,0.01627140415825873,0.016298701038197555,+,-0.00018372794449138252,0.045387281841305,0.04520355389681362,-,-0.000254775188678974,0.07894778756917728,0.0786930123804983,-,-0.00010781005098498692,0.04810082165290148,0.04799301160191649,-,-1.2668682806236432e-05,0.007366709439717488,0.007354040756911252,-,-0.0013664249584763866,1.8080291030997326,1.8066626781412563,-,1.3648439969426995e-05,0.5081357020791294,0.5081493505190988,+,-0.028246895567523467,0.20347041699139484,0.17522352142387138,-,-0.017423740254224454,0.044517232563439944,0.02709349230921549,-,-0.0015125083371985773,0.03921102773808085,0.03769851940088227,-
429.0,0.0013693330806664756,0.006006656530498809,0.0073759896111652845,+,0.0036118898365523067,0.015789606744441322,0.01940149658099363,+,-0.0008691918436874585,0.09115678352910052,0.09028759168541306,-,-0.000555385935773943,0.05543572736768002,0.05488034143190608,-,2.145056357115427e-06,0.0074312790972111045,0.00743342415356822,+,0.005417552080532628,1.8201544902757265,1.8255720423562591,+,0.0006846665403332786,0.5030033282652494,0.5036879948055827,+,-0.03794336916182951,0.06690590887291847,0.028962539711088958,-,0.0033431468250285715,0.0433788523955604,0.04672199922058897,+,0.0013148886232118573,0.06505432257896934,0.0663692112021812,+
