case_id,candidate_id,wavelength_nm,t_xx_real,t_xx_imag,t_yx_real,t_yx_imag,t_xy_real,t_xy_imag,t_yy_real,t_yy_imag,selected_Tx,leakage_xin_to_yout,leakage_yin_to_xout,y_direct_leakage,leakage_sum,ratio,matrix_error,phase_deg,reassigned_bin,phase_err_to_bin_deg
B2E:LPML1B2D_B2D_0283_B01:453:JonesXY,LPML1B2D_B2D_0283_B01,453.0,-0.511843,0.851657,-0.052075,0.0363,-0.034355,-0.046328,-0.033239,-0.101186,0.987303,0.00403,0.003327,0.011343,0.0187,67.301291,0.137622,121.005734,120,1.005734
B2E:LPML1B2D_B2D_0283_B01:454:JonesXY,LPML1B2D_B2D_0283_B01,454.0,-0.459082,0.880809,-0.122403,-0.054063,-0.025801,-0.016708,-0.037694,-0.084639,0.986581,0.017905,0.000945,0.008585,0.027435,103.529739,0.166757,117.528762,120,2.471238
B2E:LPML1B2D_B2D_0283_C02:450.5:JonesXY,LPML1B2D_B2D_0283_C02,450.5,0.079592,0.809563,0.429713,0.098977,0.196265,0.20843,0.013865,0.415806,0.661728,0.19445,0.081963,0.173087,0.4495,2.594505,0.824186,84.385006,60,35.614994
B2E:LPML1B2D_B2D_0283_C02:450:JonesXY,LPML1B2D_B2D_0283_C02,450.0,0.042758,0.828739,0.346838,0.169041,0.09842,0.239115,-0.113614,0.270766,0.688636,0.148871,0.066863,0.086222,0.301956,4.498394,0.662181,87.046491,60,32.953509
B2E:LPML1B2D_B2D_0283_C02:451.5:JonesXY,LPML1B2D_B2D_0283_C02,451.5,0.099151,0.717575,0.349099,-0.281309,0.115387,-0.022122,0.27084,0.58137,0.524745,0.201005,0.013804,0.411346,0.626155,1.23426,1.092362,82.132985,60,37.867015
B2E:LPML1B2D_B2D_0283_C02:451:JonesXY,LPML1B2D_B2D_0283_C02,451.0,0.100461,0.839749,0.465032,0.032911,0.292965,0.172528,0.287374,0.512277,0.715271,0.217338,0.115595,0.345012,0.677945,1.552888,0.973558,83.177982,60,36.822018
B2E:LPML1B2D_B2D_0283_C02:452.5:JonesXY,LPML1B2D_B2D_0283_C02,452.5,0.146931,0.950452,0.073343,-0.205291,0.016526,0.1237,0.984771,-0.051806,0.924947,0.047523,0.015575,0.972458,1.0355560000000001,0.93615,1.058104,81.212157,60,38.787843
B2E:LPML1B2D_B2D_0283_C02:452:JonesXY,LPML1B2D_B2D_0283_C02,452.0,0.063516,0.917755,0.28521,-0.139106,0.169562,0.137564,0.756332,0.497168,0.846308,0.100695,0.047675,0.819214,0.967584,0.976259,1.069252,86.040968,60,33.959032
B2E:LPML1B2D_B2D_0283_C02:453.5:JonesXY,LPML1B2D_B2D_0283_C02,453.5,0.244686,0.826962,0.328242,-0.034784,0.262423,0.221246,0.393871,0.204885,0.743738,0.108953,0.117816,0.197112,0.423881,2.361611,0.754939,73.517273,60,46.482727
B2E:LPML1B2D_B2D_0283_C02:453:JonesXY,LPML1B2D_B2D_0283_C02,453.0,0.273627,0.857069,0.145767,0.112601,0.134754,0.284158,0.101274,-0.300678,0.809439,0.033927,0.098904,0.100664,0.233495,4.055961,0.537089,72.293823,60,47.706177
B2E:LPML1B2D_B2D_0283_C02:454:JonesXY,LPML1B2D_B2D_0283_C02,454.0,0.27803,0.827833,0.294583,-0.094759,0.189023,0.257013,0.536189,0.153806,0.762607,0.095758,0.101786,0.311155,0.508699,1.846774,0.816733,71.435249,60,48.564751
B2E:LPML1B2D_B2D_0283_C05:450.5:JonesXY,LPML1B2D_B2D_0283_C05,450.5,0.514891,0.06039,0.003338,-0.161743,-0.002592,-0.178722,-0.240396,-0.943278,0.268759,0.026172,0.031948,0.947564,1.005684,0.274381,1.934412,6.689532,0,113.310468
B2E:LPML1B2D_B2D_0283_C05:450:JonesXY,LPML1B2D_B2D_0283_C05,450.0,0.505517,0.069813,0.023992,-0.174194,0.008163,-0.188513,-0.162003,-0.957614,0.260421,0.030919,0.035604,0.943269,1.009792,0.266042,1.969147,7.862954,0,112.137046
B2E:LPML1B2D_B2D_0283_C05:451.5:JonesXY,LPML1B2D_B2D_0283_C05,451.5,0.510394,0.019678,-0.012821,-0.172934,-0.031892,-0.176137,-0.334025,-0.913042,0.26089,0.030071,0.032041,0.945218,1.00733,0.26696,1.964978,2.207955,0,117.792045
B2E:LPML1B2D_B2D_0283_C05:451:JonesXY,LPML1B2D_B2D_0283_C05,451.0,0.510777,0.041613,-0.01705,-0.16929,-0.02334,-0.170581,-0.304821,-0.919928,0.262624,0.02895,0.029643,0.939184,0.997777,0.271075,1.949167,4.657603,0,115.342397
B2E:LPML1B2D_B2D_0283_C05:452.5:JonesXY,LPML1B2D_B2D_0283_C05,452.5,0.523816,-0.011255,-0.037044,-0.146798,-0.04354,-0.160221,-0.453218,-0.864065,0.274509,0.022922,0.027566,0.952014,1.002502,0.280231,1.911016,358.769101,0,121.230899
B2E:LPML1B2D_B2D_0283_C05:452:JonesXY,LPML1B2D_B2D_0283_C05,452.0,0.521398,0.004193,-0.013577,-0.156076,-0.032551,-0.175422,-0.385432,-0.898429,0.271874,0.024544,0.031832,0.955732,1.012108,0.275298,1.929433,0.460803,0,119.539197
B2E:LPML1B2D_B2D_0283_C05:453.5:JonesXY,LPML1B2D_B2D_0283_C05,453.5,0.518515,-0.055186,-0.035339,-0.152529,-0.061009,-0.161641,-0.509189,-0.833107,0.271904,0.024514,0.02985,0.953341,1.007705,0.276552,1.925126,353.924884,0,126.075116
B2E:LPML1B2D_B2D_0283_C05:453:JonesXY,LPML1B2D_B2D_0283_C05,453.0,0.515689,-0.032927,-0.046923,-0.157008,-0.057747,-0.155345,-0.48217,-0.845419,0.26702,0.026853,0.027467,0.947221,1.001541,0.273954,1.936701,356.346553,0,123.653447
B2E:LPML1B2D_B2D_0283_C05:454:JonesXY,LPML1B2D_B2D_0283_C05,454.0,0.526749,-0.074252,-0.044233,-0.129546,-0.061134,-0.152603,-0.572612,-0.793118,0.282978,0.018739,0.027025,0.956921,1.002685,0.287595,1.882374,351.976348,0,128.023652
LPML2A_A00_n2p25_wl450p0,A00,450.0,0.0798604697,-0.465000445,-0.064384483,-0.00204632178,-0.140596825,0.35022568,0.0128990923,0.0246962224,0.222603109,0.00414954908,0.142425494,0.000776289984,0.147351333,1.51069627,0.813600903,279.745067,300,20.2549334
LPML2A_A02_n2p35_wl450p0,A02,450.0,0.668882376,-0.37168273,-0.201030328,-0.192003833,0.00514652748,-0.337887936,0.119938904,0.787308844,0.585551684,0.0772786649,0.114194744,0.634240556,0.825713965,0.709145914,1.18749612,330.940067,0,29.0599326
LPML2A_A04_n2p50_wl450p0,A04,450.0,0.934749269,0.0855438133,0.00354971901,0.276018175,-0.0684066746,0.136226022,0.771632643,0.26419138,0.881073941,0.0761986336,0.0232370021,0.66521402,0.764649656,1.15225834,0.931590542,5.22887272,0,5.22887272
LPML2A_A05_n2p60_wl450p0,A05,450.0,0.755326722,0.588184647,-0.19411539,0.0376626131,-0.245288121,0.139152596,0.103051146,0.931826897,0.916479635,0.0390992571,0.0795297069,0.878920904,0.997549868,0.918730647,1.04329205,37.9084458,60,22.0915542
LPML2A_B02_n2p25_wl450p0,B02,450.0,0.226267512,-0.207337342,-0.0187948926,0.0263165049,-0.259526515,0.149078845,-0.00784912329,-0.0179345727,0.0941857605,0.00104580642,0.0895785139,0.000383257636,0.091007578,1.03492217,0.982983332,317.499812,300,17.4998117
LPML2A_C02_n2p25_wl450p0,C02,450.0,0.172968198,-0.604272741,0.483199031,-0.201088054,0.0551068411,-0.474045563,0.332504209,-0.0663970948,0.395063543,0.273917709,0.227755959,0.114967623,0.616641291,0.640669946,1.24934627,285.973342,300,14.0266576
