trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-50.16424710976652,2.9495060907276417e-07
case,-0.7,-50.07484360045067,3.106918147989338e-07
case,-0.7,-49.985606477424184,3.2473722351624654e-07
case,-0.7,-49.89653459989347,3.367733680606114e-07
case,-0.7,-49.80762683918137,3.465266780315849e-07
case,-0.7,-49.71888207854712,3.537692076677517e-07
case,-0.7,-49.63029921300947,3.5832334890283973e-07
case,-0.7,-49.54187714917329,3.600654244677063e-07
case,-0.7,-49.45361480505946,3.589280825472921e-07
case,-0.7,-49.36551110993778,3.549014429431501e-07
case,-0.7,-49.277565004163215,3.480329742003914e-07
case,-0.7,-49.18977543901511,3.384261109817464e-07
case,-0.7,-49.10214137653926,3.2623765036044787e-07
case,-0.7,-49.01466178939312,3.1167399392872813e-07
case,-0.7,-48.92733566069365,2.949863289917922e-07
case,-0.7,-48.840161983868065,2.764648660090721e-07
case,-0.7,-48.753139762507345,2.56432270300926e-07
case,-0.7,-48.666268010222204,2.352364433933121e-07
case,-0.7,-48.57954575050194,2.1324282285701278e-07
case,-0.7,-48.49297201657554,1.908263788488761e-07
case,-0.7,-48.406545851275546,1.6836349062653832e-07
case,-0.7,-48.320266306904145,1.462238870415826e-07
case,-0.7,-48.23413244510175,1.247628314827381e-07
case,-0.7,-48.14814333671792,1.0431372410660979e-07
case,-0.7,-48.06229806168447,8.518128271872461e-08
case,-0.7,-47.9765957088909,6.763544869682852e-08
case,-0.7,-47.89103537606197,5.1906146298085626e-08
case,-0.7,-47.805616169637425,3.8179003037885744e-08
case,-0.7,-47.72033720465376,2.6592116091229572e-08
case,-0.7,-47.63519760462815,1.723392539965181e-08
case,-0.7,-47.55019650144421,1.0142228935262148e-08
case,-0.7,-47.465333035239944,5.304349949242234e-09
case,-0.7,-47.38060635429738,2.6584405751929456e-09
case,-0.7,-47.29601561493421,2.0958814061809608e-09
case,-0.7,-47.211559981397315,3.4647131238203134e-09
case,-0.7,-47.12723862575797,6.5740143926091994e-09
case,-0.7,-47.04305072780886,1.1199120458913296e-08
case,-0.7,-46.958995474962926,1.7087559573280394e-08
case,-0.7,-46.875072062153805,2.396556979097991e-08
case,-0.7,-46.791279691737856,3.154504714200979e-08
case,-0.7,-46.70761757339803,3.9530767779749435e-08
case,-0.7,-46.624084924049136,4.762772163657764e-08
case,-0.7,-46.540680967744755,5.5548393393786e-08
case,-0.7,-46.45740493558569,6.301982821136641e-08
case,-0.7,-46.37425606562987,6.979032460299786e-08
case,-0.7,-46.29123360280377,7.563560497060171e-08
case,-0.7,-46.20833679881527,8.036432546737772e-08
case,-0.7,-46.12556491206784,8.382280082597786e-08
case,-0.7,-46.04291720757627,8.589883631180866e-08
case,-0.7,-45.96039295688358,8.652457774080898e-08
case,-0.7,-45.87799143797939,8.567831119832564e-08
case,-0.7,-45.79571193521955,8.338516633803165e-08
case,-0.7,-45.71355373924702,7.971670052349666e-08
case,-0.7,-45.63151614691408,7.47893651699298e-08
case,-0.7,-45.54959846120565,6.876187999825316e-08
case,-0.7,-45.46779999116394,6.183156506061358e-08
case,-0.7,-45.386120051814274,5.422970385877958e-08
case,-0.7,-45.3045579640919,4.621603317517109e-08
case,-0.7,-45.223113054770195,3.8072475896595255e-08
case,-0.7,-45.14178465638981,3.0096251673221314e-08
